code,name,listing_date,shares,listing_board
AALI,Astra Agro Lestari Tbk.,1997-12-09T00:00:00,1924688333,UTAMA
ABBA,Mahaka Media Tbk.,2002-04-03T00:00:00,3935892857,Pengembangan
ABDA,Asuransi Bina Dana Arta Tbk.,1989-07-06T00:00:00,620806680,Pengembangan
ABMM,ABM Investama Tbk.,2011-12-06T00:00:00,2753165000,Utama
ACES,Ace Hardware Indonesia Tbk.,2007-11-06T00:00:00,17150000000,Utama
ACST,Acset Indonusa Tbk.,2013-06-24T00:00:00,12675160000,Utama
ADCP,Adhi Commuter Properti Tbk.,2021-05-21T00:00:00,22222222200,Utama
ADES,Akasha Wira International Tbk.,1994-06-13T00:00:00,589896800,PENGEMBANGAN
ADHI,Adhi Karya (Persero) Tbk.,2004-03-18T00:00:00,3560849376,Utama
ADMF,Adira Dinamika Multi Finance T,2004-03-31T00:00:00,1000000000,Utama
ADMG,Polychem Indonesia Tbk,1993-10-20T00:00:00,3889179559,Utama
ADMR,Adaro Minerals Indonesia Tbk.,2022-01-03T00:00:00,40882331500,Pengembangan
ADRO,Adaro Energy Indonesia Tbk.,2008-07-16T00:00:00,31985962000,Utama
AGAR,Asia Sejahtera Mina Tbk.,2019-12-02T00:00:00,1000000000,Pengembangan
AGII,Aneka Gas Industri Tbk.,2016-09-28T00:00:00,3066660000,Utama
AGRO,Bank Raya Indonesia Tbk.,2003-08-08T00:00:00,22520054593,Utama
AGRS,Bank IBK Indonesia Tbk.,2014-12-22T00:00:00,17481603282,Pengembangan
AHAP,Asuransi Harta Aman Pratama Tb,1990-09-14T00:00:00,2940000000,Pengembangan
AIMS,Akbar Indo Makmur Stimec Tbk,2001-07-20T00:00:00,220000000,Pengembangan
AISA,FKS Food Sejahtera Tbk.,1997-06-11T00:00:00,9311800000,Utama
AKKU,Anugerah Kagum Karya Utama Tbk,2004-11-01T00:00:00,6449463636,Pengembangan
AKPI,Argha Karya Prima Industry Tbk,1992-12-18T00:00:00,612248000,Pengembangan
AKRA,AKR Corporindo Tbk.,1994-10-03T00:00:00,20073474600,Utama
AKSI,Mineral Sumberdaya Mandiri Tbk,2001-07-13T00:00:00,720000000,Pengembangan
ALDO,Alkindo Naratama Tbk.,2011-07-12T00:00:00,1316856020,Pengembangan
ALKA,Alakasa Industrindo Tbk,1990-07-12T00:00:00,507665055,Pengembangan
ALMI,Alumindo Light Metal Industry ,1997-01-02T00:00:00,3816000000,Pengembangan
ALTO,Tri Banyan Tirta Tbk.,2012-07-10T00:00:00,2191870558,Utama
AMAG,Asuransi Multi Artha Guna Tbk.,2005-12-23T00:00:00,5001552516,Pengembangan
AMAN,Makmur Berkah Amanda Tbk.,2020-03-13T00:00:00,3873500000,Utama
AMAR,Bank Amar Indonesia Tbk.,2020-01-09T00:00:00,13681871000,Pengembangan
AMFG,Asahimas Flat Glass Tbk.,1995-11-08T00:00:00,434000000,Utama
AMIN,Ateliers Mecaniques D Indonesi,2015-12-10T00:00:00,1080000000,Pengembangan
AMOR,Ashmore Asset Management Indon,2020-01-14T00:00:00,2222222400,Pengembangan
AMRT,Sumber Alfaria Trijaya Tbk.,2009-01-15T00:00:00,41524501700,Utama
ANDI,Andira Agro Tbk.,2018-08-16T00:00:00,9350000000,Pengembangan
ANJT,Austindo Nusantara Jaya Tbk.,2013-05-08T00:00:00,3354175000,Utama
ANTM,Aneka Tambang Tbk.,1997-11-27T00:00:00,24030764725,Utama
APEX,Apexindo Pratama Duta Tbk.,2013-06-05T00:00:00,2796804997,Pengembangan
APIC,Pacific Strategic Financial Tb,2002-12-18T00:00:00,11766313488,Pengembangan
APII,Arita Prima Indonesia Tbk.,2013-10-29T00:00:00,1075760000,Pengembangan
APLI,Asiaplast Industries Tbk.,2000-05-01T00:00:00,1362671400,Utama
APLN,Agung Podomoro Land Tbk.,2010-11-11T00:00:00,22699326779,Utama
ARCI,Archi Indonesia Tbk.,2021-06-28T00:00:00,24835000000,Utama
ARGO,Argo Pantes Tbk,1991-01-07T00:00:00,335557450,Pengembangan
ARII,Atlas Resources Tbk.,2011-11-08T00:00:00,3131000000,Pengembangan
ARKA,Arkha Jayanti Persada Tbk.,2019-07-10T00:00:00,2000000000,Pengembangan
ARMY,Armidian Karyatama Tbk.,2017-06-21T00:00:00,9006250000,Pengembangan
ARNA,Arwana Citramulia Tbk.,2001-07-17T00:00:00,7341430976,UTAMA
ARTA,Arthavest Tbk,2002-11-05T00:00:00,446674175,PENGEMBANGAN
ARTI,Ratu Prabu Energi Tbk,2003-04-30T00:00:00,7840000000,Utama
ARTO,Bank Jago Tbk.,2016-01-12T00:00:00,13717687500,Pengembangan
ASBI,Asuransi Bintang Tbk.,1989-11-29T00:00:00,348386472,Pengembangan
ASDM,Asuransi Dayin Mitra Tbk.,1989-12-15T00:00:00,192000000,Utama
ASGR,Astra Graphia Tbk.,1989-11-15T00:00:00,1348780500,Utama
ASII,Astra International Tbk.,1990-04-04T00:00:00,40483553140,Utama
ASJT,Asuransi Jasa Tania Tbk.,2003-12-23T00:00:00,1288890696,Pengembangan
ASLC,Autopedia Sukses Lestari Tbk.,2022-01-25T00:00:00,12746354780,Pengembangan
ASMI,Asuransi Maximus Graha Persada,2014-01-16T00:00:00,8958380460,Utama
ASPI,Andalan Sakti Primaindo Tbk.,2020-02-17T00:00:00,681794825,Pengembangan
ASRI,Alam Sutera Realty Tbk.,2007-12-18T00:00:00,19649411888,Utama
ASRM,Asuransi Ramayana Tbk.,1990-03-19T00:00:00,304283840,PENGEMBANGAN
ASSA,Adi Sarana Armada Tbk.,2012-11-12T00:00:00,3565785062,Utama
