date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,1510.0,1555.0,1505.0,1555.0,45.0,29783300.0,45868673500.0,5748.0
2020-10-09T00:00:00,1555.0,1575.0,1535.0,1550.0,-5.0,16108700.0,25084739500.0,3855.0
2020-10-12T00:00:00,1550.0,1570.0,1550.0,1560.0,10.0,10860800.0,16930295500.0,3186.0
2020-10-13T00:00:00,1560.0,1575.0,1535.0,1565.0,5.0,22286500.0,34616690000.0,4122.0
2020-10-14T00:00:00,1565.0,1580.0,1555.0,1570.0,5.0,15956100.0,25015217500.0,3584.0
2020-10-15T00:00:00,1570.0,1570.0,1520.0,1520.0,-50.0,16112800.0,24815366500.0,4738.0
2020-10-16T00:00:00,1520.0,1540.0,1510.0,1525.0,5.0,13033300.0,19838844500.0,3390.0
2020-10-19T00:00:00,1525.0,1545.0,1500.0,1500.0,-25.0,20303200.0,30651142000.0,4191.0
2020-10-20T00:00:00,1500.0,1485.0,1400.0,1415.0,-85.0,175402400.0,251452509500.0,26037.0
2020-10-21T00:00:00,1415.0,1440.0,1405.0,1415.0,0.0,72285100.0,102304136500.0,10778.0
2020-10-22T00:00:00,1415.0,1415.0,1400.0,1400.0,-15.0,53352200.0,74972244500.0,6100.0
2020-10-23T00:00:00,1400.0,1450.0,1405.0,1440.0,40.0,80930900.0,115564381500.0,9656.0
2020-10-26T00:00:00,1440.0,1450.0,1410.0,1415.0,-25.0,48799300.0,69664400500.0,7651.0
2020-10-27T00:00:00,1415.0,1455.0,1400.0,1415.0,0.0,67497000.0,96485531500.0,9492.0
2020-11-02T00:00:00,1415.0,1435.0,1400.0,1405.0,-10.0,27666500.0,39088965000.0,5408.0
2020-11-03T00:00:00,1405.0,1425.0,1410.0,1420.0,15.0,30774900.0,43614435500.0,3852.0
2020-11-04T00:00:00,1420.0,1425.0,1405.0,1405.0,-15.0,27708800.0,39082363500.0,3964.0
2020-11-05T00:00:00,1405.0,1435.0,1410.0,1425.0,20.0,58574400.0,83420636000.0,5711.0
2020-11-06T00:00:00,1425.0,1470.0,1425.0,1445.0,20.0,92054400.0,133055953000.0,11093.0
2020-11-09T00:00:00,1445.0,1465.0,1425.0,1430.0,-15.0,86743600.0,124836745500.0,11107.0
2020-11-10T00:00:00,1430.0,1520.0,1445.0,1505.0,75.0,157688700.0,234762427500.0,16718.0
2020-11-11T00:00:00,1505.0,1465.0,1400.0,1430.0,-75.0,274189000.0,394746201500.0,26720.0
2020-11-12T00:00:00,1430.0,1480.0,1430.0,1435.0,5.0,94159000.0,136344795000.0,12227.0
2020-11-13T00:00:00,1435.0,1460.0,1430.0,1445.0,10.0,41228300.0,59568177000.0,5357.0
2020-11-16T00:00:00,1445.0,1465.0,1445.0,1445.0,0.0,54751200.0,79440333500.0,8145.0
2020-11-17T00:00:00,1445.0,1515.0,1450.0,1500.0,55.0,173959900.0,259215418000.0,18066.0
2020-11-18T00:00:00,1500.0,1545.0,1470.0,1485.0,-15.0,201060100.0,303106590000.0,19944.0
2020-11-19T00:00:00,1485.0,1570.0,1490.0,1560.0,75.0,246290500.0,380357997000.0,21473.0
2020-11-20T00:00:00,1560.0,1585.0,1520.0,1525.0,-35.0,129690900.0,199865413500.0,14018.0
