date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,565.0,600.0,565.0,590.0,25.0,72110400.0,42183284000.0,2600.0
2020-10-09T00:00:00,590.0,600.0,580.0,590.0,0.0,25374700.0,15006279000.0,1922.0
2020-10-12T00:00:00,590.0,625.0,595.0,625.0,35.0,85898600.0,52335384500.0,3273.0
2020-10-13T00:00:00,625.0,650.0,605.0,625.0,0.0,81682400.0,51617872000.0,4623.0
2020-10-14T00:00:00,625.0,655.0,625.0,650.0,25.0,57496500.0,36925089000.0,3263.0
2020-10-15T00:00:00,650.0,650.0,620.0,620.0,-30.0,35079900.0,22175988500.0,3438.0
2020-10-16T00:00:00,620.0,650.0,620.0,650.0,30.0,40717900.0,26161054500.0,2463.0
2020-10-19T00:00:00,650.0,705.0,650.0,665.0,15.0,138959100.0,94370944000.0,10559.0
2020-10-20T00:00:00,665.0,665.0,645.0,645.0,-20.0,24444300.0,15955832500.0,3997.0
2020-10-21T00:00:00,645.0,660.0,615.0,625.0,-20.0,65255000.0,41446091500.0,5052.0
2020-10-22T00:00:00,625.0,655.0,615.0,650.0,25.0,79001200.0,50955144500.0,4324.0
2020-10-23T00:00:00,650.0,675.0,640.0,655.0,5.0,67519800.0,44622413500.0,5136.0
2020-10-26T00:00:00,655.0,675.0,650.0,655.0,0.0,27613200.0,18267044500.0,2235.0
2020-10-27T00:00:00,655.0,665.0,645.0,660.0,5.0,21237400.0,13944441500.0,2640.0
2020-11-02T00:00:00,660.0,665.0,645.0,660.0,0.0,10406700.0,6830076500.0,1948.0
2020-11-03T00:00:00,660.0,675.0,635.0,645.0,-15.0,58481900.0,38039402500.0,3502.0
2020-11-04T00:00:00,645.0,660.0,620.0,625.0,-20.0,25185500.0,15958818000.0,2851.0
2020-11-05T00:00:00,625.0,670.0,635.0,660.0,35.0,57541100.0,37536857500.0,4485.0
2020-11-06T00:00:00,660.0,715.0,650.0,705.0,45.0,144824900.0,100171467000.0,7518.0
2020-11-09T00:00:00,705.0,745.0,715.0,735.0,30.0,84888200.0,61772808500.0,7488.0
2020-11-10T00:00:00,735.0,765.0,745.0,760.0,25.0,70216500.0,53052859000.0,6111.0
2020-11-11T00:00:00,760.0,760.0,730.0,750.0,-10.0,80656100.0,60139198000.0,5831.0
2020-11-12T00:00:00,750.0,750.0,715.0,720.0,-30.0,33427800.0,24299659500.0,4976.0
2020-11-13T00:00:00,720.0,760.0,710.0,750.0,30.0,39817600.0,29375328500.0,3836.0
2020-11-16T00:00:00,750.0,795.0,765.0,775.0,25.0,56992800.0,44231090000.0,5796.0
2020-11-17T00:00:00,775.0,800.0,775.0,785.0,10.0,44200200.0,34903738000.0,4925.0
2020-11-18T00:00:00,785.0,795.0,775.0,780.0,-5.0,30352400.0,23822206500.0,3349.0
2020-11-19T00:00:00,780.0,810.0,770.0,795.0,15.0,55748200.0,44229828000.0,5084.0
2020-11-20T00:00:00,795.0,815.0,780.0,780.0,-15.0,49522000.0,39214353500.0,4146.0
2020-11-23T00:00:00,780.0,805.0,775.0,800.0,20.0,28667100.0,22709177000.0,3693.0
2020-11-24T00:00:00,800.0,820.0,795.0,795.0,-5.0,39712700.0,32028469000.0,3459.0
2020-11-25T00:00:00,795.0,815.0,780.0,785.0,-10.0,26066800.0,20838418000.0,3406.0
2020-11-26T00:00:00,785.0,860.0,785.0,855.0,70.0,78006000.0,64879714500.0,7433.0
2020-11-27T00:00:00,855.0,855.0,840.0,845.0,-10.0,45774200.0,38948318000.0,6312.0
2020-11-30T00:00:00,845.0,855.0,790.0,820.0,-25.0,114940900.0,92984202500.0,6887.0
2020-12-01T00:00:00,820.0,830.0,785.0,810.0,-10.0,55883600.0,45278929500.0,3766.0
2020-12-02T00:00:00,810.0,840.0,810.0,840.0,30.0,68606600.0,57134821500.0,6016.0
2020-12-03T00:00:00,840.0,855.0,825.0,830.0,-10.0,29135300.0,24434972500.0,3491.0
2020-12-04T00:00:00,830.0,835.0,790.0,800.0,-30.0,91184700.0,73258788000.0,8082.0
2020-12-07T00:00:00,800.0,825.0,795.0,800.0,0.0,58832500.0,47438906000.0,5891.0
2020-12-08T00:00:00,800.0,810.0,780.0,785.0,-15.0,61680700.0,48725141000.0,6627.0
2020-12-10T00:00:00,785.0,810.0,775.0,805.0,20.0,78576900.0,62522722000.0,8690.0
2020-12-11T00:00:00,805.0,825.0,805.0,810.0,5.0,63319000.0,51579674500.0,7088.0
2020-12-14T00:00:00,810.0,815.0,790.0,795.0,-15.0,74500800.0,59453244000.0,5804.0
2020-12-15T00:00:00,795.0,795.0,775.0,780.0,-15.0,68832700.0,53929820000.0,5536.0
2020-12-16T00:00:00,780.0,820.0,780.0,815.0,35.0,98935300.0,79820902000.0,7304.0
2020-12-17T00:00:00,815.0,860.0,820.0,855.0,40.0,212337600.0,178623355000.0,17170.0
2020-12-18T00:00:00,855.0,915.0,865.0,895.0,40.0,303981400.0,268145969000.0,18311.0
2020-12-21T00:00:00,895.0,920.0,870.0,900.0,5.0,85613800.0,77127857500.0,9002.0
2020-12-22T00:00:00,900.0,900.0,850.0,850.0,-50.0,67122800.0,58415141000.0,5782.0
2020-12-23T00:00:00,850.0,870.0,800.0,840.0,-10.0,84216200.0,70567890500.0,7075.0
2020-12-28T00:00:00,840.0,865.0,820.0,845.0,5.0,45563400.0,38400509500.0,4726.0
2020-12-29T00:00:00,845.0,860.0,820.0,830.0,-15.0,61304200.0,51200034500.0,6662.0
2020-12-30T00:00:00,830.0,850.0,800.0,805.0,-25.0,78936300.0,65219123000.0,4754.0
2021-01-04T00:00:00,805.0,835.0,780.0,830.0,25.0,47223000.0,38335234000.0,3727.0
2021-01-05T00:00:00,830.0,855.0,820.0,835.0,5.0,38952000.0,32693408500.0,3277.0
2021-01-06T00:00:00,835.0,860.0,785.0,800.0,-35.0,95255500.0,77812006500.0,6502.0
2021-01-07T00:00:00,800.0,830.0,790.0,800.0,0.0,75979100.0,61157237500.0,5773.0
2021-01-08T00:00:00,800.0,820.0,800.0,810.0,10.0,44001800.0,35639419500.0,5379.0
2021-01-11T00:00:00,810.0,840.0,805.0,830.0,20.0,52542200.0,43161617000.0,6981.0
2021-01-12T00:00:00,830.0,880.0,820.0,880.0,50.0,125587500.0,107487565000.0,10841.0
2021-01-13T00:00:00,880.0,895.0,840.0,840.0,-40.0,77900500.0,66995327500.0,10022.0
2021-01-14T00:00:00,840.0,850.0,815.0,820.0,-20.0,48444200.0,40014714500.0,5999.0
2021-01-15T00:00:00,820.0,845.0,815.0,830.0,10.0,48639400.0,40483893000.0,5053.0
2021-01-18T00:00:00,830.0,845.0,815.0,820.0,-10.0,37026800.0,30761102500.0,4952.0
2021-01-19T00:00:00,820.0,835.0,765.0,785.0,-35.0,86370400.0,68273244500.0,7682.0
2021-01-20T00:00:00,785.0,810.0,765.0,810.0,25.0,53251100.0,42319052000.0,4575.0
