date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,855.0,855.0,855.0,855.0,0.0,100.0,85500.0,1.0
2020-10-08T00:00:00,855.0,855.0,850.0,855.0,0.0,2500.0,2135500.0,3.0
2020-10-09T00:00:00,855.0,855.0,805.0,855.0,0.0,300.0,251500.0,3.0
2020-10-12T00:00:00,855.0,855.0,825.0,855.0,0.0,400.0,336000.0,2.0
2020-10-13T00:00:00,855.0,850.0,825.0,850.0,-5.0,700.0,588500.0,4.0
2020-10-14T00:00:00,850.0,855.0,850.0,855.0,5.0,2100.0,1792500.0,5.0
2020-10-15T00:00:00,855.0,830.0,810.0,810.0,-45.0,2400.0,1957500.0,7.0
2020-10-16T00:00:00,810.0,860.0,825.0,825.0,15.0,9300.0,7734500.0,19.0
2020-10-19T00:00:00,825.0,840.0,810.0,840.0,15.0,1700.0,1398000.0,5.0
2020-10-20T00:00:00,840.0,845.0,825.0,835.0,-5.0,74400.0,62509000.0,9.0
2020-10-21T00:00:00,835.0,835.0,835.0,835.0,0.0,4200.0,3507000.0,5.0
2020-10-22T00:00:00,835.0,835.0,835.0,835.0,0.0,300.0,250500.0,2.0
2020-10-23T00:00:00,835.0,835.0,835.0,835.0,0.0,1100.0,918500.0,3.0
2020-10-26T00:00:00,835.0,835.0,835.0,835.0,0.0,200.0,167000.0,1.0
2020-10-27T00:00:00,835.0,0.0,0.0,835.0,0.0,0.0,0.0,0.0
2020-11-02T00:00:00,835.0,835.0,785.0,790.0,-45.0,9900.0,7966000.0,19.0
2020-11-03T00:00:00,790.0,845.0,780.0,790.0,0.0,21600.0,16987500.0,20.0
2020-11-04T00:00:00,790.0,840.0,795.0,795.0,5.0,13000.0,10345000.0,14.0
2020-11-05T00:00:00,795.0,805.0,780.0,805.0,10.0,11700.0,9356000.0,13.0
2020-11-06T00:00:00,805.0,830.0,795.0,805.0,0.0,16500.0,13182500.0,16.0
2020-11-09T00:00:00,805.0,805.0,755.0,805.0,0.0,7300.0,5662500.0,18.0
2020-11-10T00:00:00,805.0,805.0,795.0,805.0,0.0,13800.0,11006000.0,15.0
2020-11-11T00:00:00,805.0,805.0,755.0,765.0,-40.0,3400.0,2659000.0,10.0
2020-11-12T00:00:00,765.0,815.0,765.0,790.0,25.0,6800.0,5220500.0,18.0
2020-11-13T00:00:00,790.0,790.0,760.0,790.0,0.0,3800.0,2993000.0,8.0
2020-11-16T00:00:00,790.0,795.0,760.0,795.0,5.0,215100.0,163891000.0,13.0
2020-11-17T00:00:00,795.0,795.0,740.0,740.0,-55.0,231200.0,172006500.0,82.0
2020-11-18T00:00:00,740.0,790.0,700.0,735.0,-5.0,53700.0,39200500.0,43.0
2020-11-19T00:00:00,735.0,785.0,715.0,745.0,10.0,63800.0,46931500.0,49.0
2020-11-20T00:00:00,745.0,795.0,730.0,735.0,-10.0,64100.0,47127000.0,21.0
2020-11-23T00:00:00,735.0,745.0,730.0,735.0,0.0,11000.0,8106500.0,26.0
2020-11-24T00:00:00,735.0,735.0,725.0,730.0,-5.0,45400.0,33016000.0,33.0
2020-11-25T00:00:00,730.0,740.0,700.0,700.0,-30.0,207900.0,146242000.0,102.0
2020-11-26T00:00:00,700.0,750.0,700.0,700.0,0.0,70600.0,50067500.0,48.0
2020-11-27T00:00:00,700.0,750.0,700.0,700.0,0.0,55100.0,38692000.0,30.0
2020-11-30T00:00:00,700.0,750.0,695.0,705.0,5.0,337100.0,237948000.0,134.0
2020-12-01T00:00:00,705.0,755.0,700.0,705.0,0.0,27200.0,19208000.0,29.0
2020-12-02T00:00:00,705.0,850.0,705.0,850.0,145.0,1550800.0,1199764000.0,341.0
2020-12-03T00:00:00,850.0,1060.0,850.0,1045.0,195.0,936800.0,961901500.0,392.0
2020-12-04T00:00:00,1045.0,1160.0,1000.0,1045.0,0.0,361800.0,394134500.0,262.0
2020-12-07T00:00:00,1045.0,1120.0,1040.0,1045.0,0.0,638400.0,693448000.0,160.0
2020-12-08T00:00:00,1045.0,1095.0,990.0,1000.0,-45.0,1037900.0,1044360000.0,160.0
2020-12-10T00:00:00,1000.0,1050.0,995.0,995.0,-5.0,366500.0,365157500.0,79.0
2020-12-11T00:00:00,995.0,1045.0,930.0,935.0,-60.0,159600.0,153221500.0,77.0
2020-12-14T00:00:00,935.0,985.0,935.0,955.0,20.0,26900.0,25520500.0,35.0
2020-12-15T00:00:00,955.0,1005.0,930.0,940.0,-15.0,135900.0,127892500.0,50.0
2020-12-16T00:00:00,940.0,950.0,920.0,925.0,-15.0,113500.0,105825500.0,54.0
2020-12-17T00:00:00,925.0,950.0,915.0,925.0,0.0,429600.0,395612500.0,50.0
2020-12-18T00:00:00,925.0,915.0,865.0,880.0,-45.0,431000.0,383104500.0,117.0
2020-12-21T00:00:00,880.0,900.0,830.0,830.0,-50.0,861800.0,730607000.0,307.0
2020-12-22T00:00:00,830.0,910.0,790.0,790.0,-40.0,1827200.0,1514879000.0,248.0
2020-12-23T00:00:00,790.0,840.0,750.0,770.0,-20.0,792300.0,613121000.0,221.0
2020-12-28T00:00:00,770.0,820.0,745.0,750.0,-20.0,1034700.0,785509000.0,221.0
2020-12-29T00:00:00,750.0,790.0,750.0,755.0,5.0,570000.0,430036000.0,147.0
2020-12-30T00:00:00,755.0,805.0,750.0,760.0,5.0,830800.0,633750500.0,84.0
2021-01-04T00:00:00,760.0,790.0,760.0,780.0,20.0,199100.0,155115000.0,144.0
2021-01-05T00:00:00,780.0,795.0,760.0,765.0,-15.0,141000.0,108277000.0,86.0
2021-01-06T00:00:00,765.0,765.0,750.0,750.0,-15.0,518800.0,393915000.0,93.0
2021-01-07T00:00:00,750.0,770.0,750.0,765.0,15.0,323600.0,243287000.0,70.0
2021-01-08T00:00:00,765.0,775.0,765.0,770.0,5.0,583900.0,449504000.0,102.0
2021-01-11T00:00:00,770.0,885.0,775.0,835.0,65.0,528000.0,436498000.0,260.0
2021-01-12T00:00:00,835.0,885.0,780.0,795.0,-40.0,427000.0,336877000.0,187.0
2021-01-13T00:00:00,795.0,845.0,765.0,795.0,0.0,510200.0,400221000.0,138.0
2021-01-14T00:00:00,795.0,845.0,765.0,770.0,-25.0,304300.0,236867000.0,132.0
2021-01-15T00:00:00,770.0,800.0,750.0,780.0,10.0,561700.0,426411000.0,136.0
2021-01-18T00:00:00,780.0,830.0,750.0,755.0,-25.0,587700.0,445791000.0,182.0
2021-01-19T00:00:00,755.0,805.0,735.0,750.0,-5.0,652100.0,487087500.0,174.0
2021-01-20T00:00:00,750.0,800.0,735.0,750.0,0.0,640300.0,477194000.0,165.0
2021-01-21T00:00:00,750.0,800.0,730.0,760.0,10.0,554800.0,409698000.0,172.0
2021-01-22T00:00:00,760.0,760.0,715.0,735.0,-25.0,358900.0,262359500.0,133.0
2021-01-25T00:00:00,735.0,785.0,720.0,740.0,5.0,484900.0,356200500.0,136.0
2021-01-26T00:00:00,740.0,740.0,715.0,720.0,-20.0,333600.0,240183500.0,117.0
2021-01-27T00:00:00,720.0,770.0,700.0,720.0,0.0,438400.0,310997000.0,113.0
2021-01-28T00:00:00,720.0,770.0,700.0,715.0,-5.0,370700.0,260672000.0,131.0
2021-01-29T00:00:00,715.0,715.0,695.0,715.0,0.0,98400.0,68826000.0,54.0
2021-02-01T00:00:00,715.0,715.0,695.0,710.0,-5.0,189200.0,134492000.0,71.0
2021-02-02T00:00:00,710.0,760.0,695.0,710.0,0.0,258500.0,181409000.0,133.0
2021-02-03T00:00:00,710.0,715.0,700.0,710.0,0.0,37100.0,26352000.0,29.0
2021-02-04T00:00:00,710.0,760.0,710.0,725.0,15.0,154000.0,111662000.0,35.0
2021-02-05T00:00:00,725.0,775.0,715.0,740.0,15.0,990500.0,719362000.0,65.0
2021-02-08T00:00:00,740.0,760.0,735.0,740.0,0.0,203800.0,150485500.0,80.0
2021-02-09T00:00:00,740.0,765.0,735.0,740.0,0.0,230300.0,170507500.0,52.0
2021-02-10T00:00:00,740.0,755.0,730.0,740.0,0.0,319200.0,237554500.0,69.0
2021-02-11T00:00:00,740.0,790.0,740.0,745.0,5.0,171800.0,129239500.0,97.0
2021-02-15T00:00:00,745.0,795.0,740.0,765.0,20.0,171700.0,128948000.0,64.0
2021-02-16T00:00:00,765.0,815.0,750.0,765.0,0.0,135600.0,104131500.0,60.0
2021-02-17T00:00:00,765.0,765.0,745.0,755.0,-10.0,45200.0,34366000.0,35.0
2021-02-18T00:00:00,755.0,765.0,740.0,765.0,10.0,86700.0,65501000.0,45.0
2021-02-19T00:00:00,765.0,765.0,750.0,760.0,-5.0,52800.0,39672000.0,35.0
2021-02-22T00:00:00,760.0,760.0,750.0,760.0,0.0,101800.0,77140500.0,37.0
2021-02-23T00:00:00,760.0,765.0,750.0,760.0,0.0,99800.0,75532500.0,36.0
2021-02-24T00:00:00,760.0,760.0,755.0,760.0,0.0,110200.0,83206500.0,20.0
2021-02-25T00:00:00,760.0,760.0,750.0,755.0,-5.0,154200.0,115870000.0,40.0
2021-02-26T00:00:00,755.0,755.0,740.0,750.0,-5.0,62900.0,47140500.0,28.0
2021-03-01T00:00:00,750.0,755.0,740.0,755.0,5.0,681400.0,511228500.0,43.0
2021-03-02T00:00:00,755.0,755.0,745.0,755.0,0.0,44400.0,33157000.0,25.0
2021-03-03T00:00:00,755.0,755.0,745.0,755.0,0.0,38100.0,28759500.0,16.0
2021-03-04T00:00:00,755.0,755.0,745.0,755.0,0.0,7500.0,5608000.0,11.0
2021-03-05T00:00:00,755.0,755.0,745.0,745.0,-10.0,10700.0,8021000.0,17.0
2021-03-08T00:00:00,745.0,755.0,745.0,750.0,5.0,153900.0,115825000.0,24.0
2021-03-09T00:00:00,750.0,770.0,725.0,725.0,-25.0,198000.0,145211000.0,106.0
2021-03-10T00:00:00,725.0,780.0,725.0,755.0,30.0,177000.0,134678500.0,65.0
2021-03-12T00:00:00,755.0,805.0,750.0,760.0,5.0,37700.0,28485500.0,35.0
2021-03-15T00:00:00,760.0,790.0,745.0,745.0,-15.0,62100.0,46566500.0,40.0
2021-03-16T00:00:00,745.0,790.0,740.0,760.0,15.0,45800.0,34391500.0,33.0
2021-03-17T00:00:00,760.0,760.0,750.0,755.0,-5.0,75200.0,56971500.0,18.0
2021-03-18T00:00:00,755.0,770.0,750.0,760.0,5.0,38300.0,28946000.0,39.0
2021-03-19T00:00:00,760.0,765.0,750.0,765.0,5.0,245100.0,185401500.0,33.0
2021-03-22T00:00:00,765.0,835.0,765.0,790.0,25.0,626700.0,493507000.0,204.0
2021-03-23T00:00:00,790.0,840.0,795.0,815.0,25.0,303500.0,245632000.0,178.0
