date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,125.0,138.0,125.0,133.0,8.0,19314700.0,2575689900.0,1562.0
2020-10-08T00:00:00,133.0,150.0,131.0,141.0,8.0,24853300.0,3545737600.0,2129.0
2020-10-09T00:00:00,141.0,154.0,138.0,140.0,-1.0,15562100.0,2296263100.0,1290.0
2020-10-12T00:00:00,140.0,146.0,132.0,141.0,1.0,3022200.0,429634400.0,346.0
2020-10-13T00:00:00,141.0,147.0,133.0,142.0,1.0,9968700.0,1374416500.0,565.0
2020-10-14T00:00:00,142.0,144.0,138.0,140.0,-2.0,1493900.0,209600500.0,210.0
2020-10-15T00:00:00,140.0,153.0,139.0,143.0,3.0,13042300.0,1910338100.0,1368.0
2020-10-16T00:00:00,143.0,145.0,142.0,143.0,0.0,1248000.0,178750400.0,220.0
2020-10-19T00:00:00,143.0,145.0,141.0,142.0,-1.0,1023600.0,145705400.0,183.0
2020-10-20T00:00:00,142.0,142.0,137.0,139.0,-3.0,1092100.0,151761800.0,167.0
2020-10-21T00:00:00,139.0,142.0,139.0,140.0,1.0,458800.0,64274100.0,83.0
2020-10-22T00:00:00,140.0,142.0,137.0,138.0,-2.0,522900.0,72845200.0,109.0
2020-10-23T00:00:00,138.0,139.0,135.0,135.0,-3.0,714800.0,97118500.0,148.0
2020-10-26T00:00:00,135.0,135.0,129.0,134.0,-1.0,925500.0,122276700.0,148.0
2020-10-27T00:00:00,134.0,139.0,134.0,134.0,0.0,1543900.0,209242900.0,184.0
2020-11-02T00:00:00,134.0,144.0,134.0,142.0,8.0,2663700.0,375011700.0,346.0
2020-11-03T00:00:00,142.0,147.0,141.0,141.0,-1.0,1001200.0,142831400.0,187.0
2020-11-04T00:00:00,141.0,150.0,137.0,150.0,9.0,6471000.0,945638600.0,362.0
2020-11-05T00:00:00,150.0,153.0,143.0,145.0,-5.0,1872800.0,273965500.0,302.0
