date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,54.0,71.0,54.0,61.0,7.0,8618700.0,538343100.0,1277.0
2020-10-08T00:00:00,61.0,74.0,61.0,62.0,1.0,11100700.0,736102900.0,1083.0
2020-10-09T00:00:00,62.0,65.0,60.0,64.0,2.0,3666200.0,231662600.0,321.0
2020-10-12T00:00:00,64.0,64.0,61.0,62.0,-2.0,444000.0,27723500.0,87.0
2020-10-13T00:00:00,62.0,68.0,58.0,62.0,0.0,673200.0,42055900.0,137.0
2020-10-14T00:00:00,62.0,63.0,59.0,60.0,-2.0,279700.0,16769400.0,63.0
2020-10-15T00:00:00,60.0,65.0,56.0,56.0,-4.0,431500.0,24274700.0,157.0
2020-10-16T00:00:00,56.0,60.0,53.0,56.0,0.0,260100.0,14214100.0,55.0
2020-10-19T00:00:00,56.0,62.0,54.0,57.0,1.0,206000.0,11651700.0,59.0
2020-10-20T00:00:00,57.0,59.0,55.0,55.0,-2.0,107400.0,6025500.0,45.0
2020-10-21T00:00:00,55.0,58.0,53.0,55.0,0.0,117800.0,6534400.0,50.0
2020-10-22T00:00:00,55.0,57.0,54.0,56.0,1.0,14800.0,810200.0,23.0
2020-10-23T00:00:00,56.0,58.0,53.0,57.0,1.0,359000.0,19536200.0,64.0
2020-10-26T00:00:00,57.0,58.0,54.0,58.0,1.0,91400.0,5072900.0,30.0
2020-10-27T00:00:00,58.0,58.0,55.0,57.0,-1.0,38400.0,2125700.0,17.0
2020-11-02T00:00:00,57.0,59.0,54.0,56.0,-1.0,120800.0,6565600.0,41.0
2020-11-03T00:00:00,56.0,59.0,54.0,56.0,0.0,222900.0,12542100.0,69.0
2020-11-04T00:00:00,56.0,59.0,55.0,57.0,1.0,179900.0,10305500.0,65.0
2020-11-05T00:00:00,57.0,58.0,55.0,56.0,-1.0,227200.0,12964000.0,66.0
2020-11-06T00:00:00,56.0,59.0,56.0,57.0,1.0,47900.0,2736900.0,32.0
2020-11-09T00:00:00,57.0,60.0,56.0,58.0,1.0,18400.0,1036800.0,27.0
2020-11-10T00:00:00,58.0,58.0,55.0,58.0,0.0,76300.0,4287100.0,19.0
2020-11-11T00:00:00,58.0,58.0,55.0,56.0,-2.0,75100.0,4185300.0,15.0
2020-11-12T00:00:00,56.0,57.0,54.0,57.0,1.0,32900.0,1833400.0,18.0
2020-11-13T00:00:00,57.0,60.0,57.0,57.0,0.0,4400.0,251100.0,6.0
2020-11-16T00:00:00,57.0,57.0,56.0,56.0,-1.0,121200.0,6814600.0,13.0
2020-11-17T00:00:00,56.0,56.0,55.0,55.0,-1.0,95100.0,5271800.0,18.0
2020-11-18T00:00:00,55.0,55.0,54.0,54.0,-1.0,54100.0,2975100.0,24.0
2020-11-19T00:00:00,54.0,57.0,54.0,57.0,3.0,93300.0,5221600.0,42.0
2020-11-20T00:00:00,57.0,60.0,57.0,58.0,1.0,113700.0,6593300.0,53.0
2020-11-23T00:00:00,58.0,59.0,55.0,58.0,0.0,95000.0,5279600.0,30.0
2020-11-24T00:00:00,58.0,58.0,55.0,57.0,-1.0,32100.0,1824400.0,14.0
2020-11-25T00:00:00,57.0,62.0,55.0,56.0,-1.0,71500.0,4068800.0,28.0
2020-11-26T00:00:00,56.0,58.0,55.0,57.0,1.0,31000.0,1765400.0,21.0
2020-11-27T00:00:00,57.0,58.0,56.0,57.0,0.0,11800.0,672700.0,22.0
2020-11-30T00:00:00,57.0,60.0,57.0,58.0,1.0,189100.0,10949400.0,45.0
2020-12-01T00:00:00,58.0,59.0,58.0,58.0,0.0,35900.0,2083200.0,25.0
2020-12-02T00:00:00,58.0,65.0,58.0,60.0,2.0,103000.0,6245500.0,80.0
2020-12-03T00:00:00,60.0,62.0,60.0,60.0,0.0,12400.0,749300.0,29.0
2020-12-04T00:00:00,60.0,60.0,56.0,58.0,-2.0,590000.0,33390900.0,58.0
2020-12-07T00:00:00,58.0,63.0,56.0,58.0,0.0,70400.0,3956000.0,44.0
2020-12-08T00:00:00,58.0,58.0,56.0,57.0,-1.0,80800.0,4615500.0,47.0
2020-12-10T00:00:00,57.0,57.0,56.0,56.0,-1.0,6300.0,356100.0,22.0
2020-12-11T00:00:00,56.0,59.0,55.0,57.0,1.0,104200.0,5837500.0,38.0
2020-12-14T00:00:00,57.0,59.0,57.0,57.0,0.0,143800.0,8233800.0,91.0
2020-12-15T00:00:00,57.0,58.0,56.0,57.0,0.0,95600.0,5438500.0,36.0
2020-12-16T00:00:00,57.0,60.0,56.0,57.0,0.0,9900.0,564200.0,32.0
2020-12-17T00:00:00,57.0,57.0,55.0,56.0,-1.0,249100.0,13828200.0,39.0
2020-12-18T00:00:00,56.0,58.0,56.0,57.0,1.0,9700.0,552200.0,42.0
2020-12-21T00:00:00,57.0,62.0,57.0,61.0,4.0,157600.0,9252900.0,83.0
2020-12-22T00:00:00,61.0,62.0,58.0,58.0,-3.0,196600.0,11843900.0,58.0
2020-12-23T00:00:00,58.0,63.0,57.0,61.0,3.0,117700.0,7151600.0,112.0
2020-12-28T00:00:00,61.0,70.0,58.0,62.0,1.0,70300.0,4216800.0,65.0
2020-12-29T00:00:00,62.0,62.0,58.0,60.0,-2.0,56300.0,3308400.0,38.0
2020-12-30T00:00:00,60.0,70.0,58.0,70.0,10.0,674400.0,46917400.0,99.0
2021-01-04T00:00:00,70.0,69.0,66.0,66.0,-4.0,64000.0,4224300.0,19.0
2021-01-05T00:00:00,66.0,66.0,62.0,62.0,-4.0,98800.0,6138500.0,48.0
2021-01-06T00:00:00,62.0,60.0,58.0,58.0,-4.0,212800.0,12347900.0,66.0
2021-01-07T00:00:00,58.0,59.0,56.0,57.0,-1.0,50500.0,2892900.0,45.0
2021-01-08T00:00:00,57.0,65.0,54.0,62.0,5.0,297800.0,17436600.0,100.0
2021-01-11T00:00:00,62.0,62.0,58.0,60.0,-2.0,190100.0,11388000.0,76.0
2021-01-12T00:00:00,60.0,62.0,57.0,60.0,0.0,14700.0,891100.0,44.0
2021-01-13T00:00:00,60.0,62.0,57.0,60.0,0.0,41200.0,2461100.0,45.0
2021-01-14T00:00:00,60.0,67.0,56.0,61.0,1.0,145400.0,8681000.0,129.0
2021-01-15T00:00:00,61.0,63.0,59.0,60.0,-1.0,22200.0,1352900.0,46.0
2021-01-18T00:00:00,60.0,64.0,57.0,60.0,0.0,52000.0,3169900.0,61.0
2021-01-19T00:00:00,60.0,66.0,57.0,59.0,-1.0,251000.0,14752900.0,73.0
2021-01-20T00:00:00,59.0,59.0,57.0,59.0,0.0,12000.0,687600.0,19.0
2021-01-21T00:00:00,59.0,59.0,57.0,57.0,-2.0,166900.0,9514900.0,54.0
2021-01-22T00:00:00,57.0,66.0,56.0,60.0,3.0,308500.0,18827500.0,228.0
2021-01-25T00:00:00,60.0,61.0,56.0,57.0,-3.0,401000.0,22697000.0,82.0
2021-01-26T00:00:00,57.0,57.0,56.0,56.0,-1.0,114700.0,6436700.0,54.0
2021-01-27T00:00:00,56.0,58.0,56.0,58.0,2.0,145600.0,8428400.0,81.0
2021-01-28T00:00:00,58.0,61.0,55.0,58.0,0.0,38600.0,2231700.0,65.0
2021-01-29T00:00:00,58.0,60.0,56.0,58.0,0.0,25100.0,1424300.0,36.0
2021-02-01T00:00:00,58.0,63.0,54.0,59.0,1.0,130100.0,7115400.0,71.0
2021-02-02T00:00:00,59.0,60.0,57.0,59.0,0.0,7500.0,435400.0,31.0
2021-02-03T00:00:00,59.0,59.0,57.0,57.0,-2.0,32100.0,1832100.0,24.0
2021-02-04T00:00:00,57.0,63.0,57.0,60.0,3.0,397200.0,24181600.0,125.0
2021-02-05T00:00:00,60.0,63.0,58.0,60.0,0.0,48300.0,2904500.0,60.0
2021-02-08T00:00:00,60.0,67.0,59.0,62.0,2.0,94700.0,5907400.0,101.0
2021-02-09T00:00:00,62.0,64.0,58.0,62.0,0.0,84700.0,5199000.0,103.0
2021-02-10T00:00:00,62.0,63.0,58.0,60.0,-2.0,363700.0,21267600.0,117.0
2021-02-11T00:00:00,60.0,61.0,56.0,58.0,-2.0,2701400.0,154557700.0,464.0
2021-02-15T00:00:00,58.0,59.0,55.0,57.0,-1.0,336600.0,19133400.0,187.0
2021-02-16T00:00:00,57.0,62.0,55.0,56.0,-1.0,1246400.0,70889300.0,353.0
2021-02-17T00:00:00,56.0,60.0,56.0,57.0,1.0,849400.0,49098000.0,241.0
2021-02-18T00:00:00,57.0,60.0,55.0,60.0,3.0,468900.0,27231100.0,204.0
2021-02-19T00:00:00,60.0,60.0,57.0,59.0,-1.0,114300.0,6636400.0,66.0
2021-02-22T00:00:00,59.0,61.0,57.0,61.0,2.0,501600.0,29797100.0,164.0
2021-02-23T00:00:00,61.0,61.0,59.0,60.0,-1.0,100500.0,6034000.0,64.0
2021-02-24T00:00:00,60.0,64.0,57.0,61.0,1.0,607200.0,37016700.0,184.0
2021-02-25T00:00:00,61.0,61.0,57.0,60.0,-1.0,138900.0,8170600.0,107.0
2021-02-26T00:00:00,60.0,62.0,58.0,62.0,2.0,204300.0,12378200.0,101.0
2021-03-01T00:00:00,62.0,62.0,58.0,60.0,-2.0,182300.0,10829900.0,100.0
2021-03-02T00:00:00,60.0,60.0,58.0,60.0,0.0,196700.0,11682700.0,93.0
2021-03-03T00:00:00,60.0,61.0,57.0,59.0,-1.0,92800.0,5567700.0,82.0
2021-03-04T00:00:00,59.0,62.0,60.0,60.0,1.0,707500.0,42771700.0,268.0
2021-03-05T00:00:00,60.0,65.0,57.0,61.0,1.0,1058800.0,63806600.0,380.0
2021-03-08T00:00:00,61.0,82.0,61.0,82.0,21.0,10468900.0,831205600.0,1393.0
2021-03-09T00:00:00,82.0,102.0,77.0,77.0,-5.0,2138000.0,180463700.0,381.0
2021-03-10T00:00:00,77.0,72.0,72.0,72.0,-5.0,300700.0,21650400.0,83.0
2021-03-12T00:00:00,72.0,68.0,67.0,67.0,-5.0,635400.0,42572000.0,126.0
2021-03-15T00:00:00,67.0,86.0,63.0,68.0,1.0,23373500.0,1713683100.0,2218.0
2021-03-16T00:00:00,68.0,73.0,67.0,69.0,1.0,4664200.0,326286800.0,521.0
2021-03-17T00:00:00,69.0,80.0,66.0,73.0,4.0,21188700.0,1556947600.0,1889.0
2021-03-18T00:00:00,73.0,74.0,68.0,68.0,-5.0,4687400.0,323769200.0,738.0
2021-03-19T00:00:00,68.0,77.0,64.0,66.0,-2.0,29999300.0,2091773500.0,1913.0
2021-03-22T00:00:00,66.0,71.0,65.0,70.0,4.0,6108400.0,417761200.0,701.0
