date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,145.0,152.0,135.0,152.0,7.0,300.0,42900.0,3.0
2020-10-08T00:00:00,152.0,152.0,152.0,152.0,0.0,100.0,15200.0,1.0
2020-10-09T00:00:00,152.0,142.0,142.0,142.0,-10.0,300.0,42600.0,2.0
2020-10-12T00:00:00,142.0,190.0,134.0,176.0,34.0,23500.0,3589600.0,41.0
2020-10-13T00:00:00,176.0,176.0,165.0,173.0,-3.0,14800.0,2468800.0,24.0
2020-10-14T00:00:00,173.0,169.0,161.0,165.0,-8.0,1300.0,214400.0,10.0
2020-10-15T00:00:00,165.0,155.0,155.0,155.0,-10.0,800.0,124000.0,4.0
2020-10-16T00:00:00,155.0,155.0,145.0,146.0,-9.0,1800.0,271500.0,5.0
2020-10-19T00:00:00,146.0,145.0,136.0,145.0,-1.0,3500.0,477200.0,6.0
2020-10-20T00:00:00,145.0,137.0,136.0,137.0,-8.0,500.0,68400.0,3.0
2020-10-21T00:00:00,137.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0
2020-10-22T00:00:00,137.0,129.0,129.0,129.0,-8.0,100.0,12900.0,1.0
2020-10-23T00:00:00,129.0,126.0,120.0,120.0,-9.0,200.0,24600.0,2.0
2020-10-26T00:00:00,120.0,113.0,113.0,113.0,-7.0,400.0,45200.0,3.0
2020-10-27T00:00:00,113.0,131.0,115.0,131.0,18.0,200.0,24600.0,2.0
2020-11-02T00:00:00,131.0,126.0,122.0,126.0,-5.0,600.0,74300.0,4.0
2020-11-03T00:00:00,126.0,119.0,119.0,119.0,-7.0,200.0,23800.0,2.0
2020-11-04T00:00:00,119.0,113.0,113.0,113.0,-6.0,100.0,11300.0,1.0
2020-11-05T00:00:00,113.0,126.0,111.0,125.0,12.0,2400.0,282800.0,7.0
2020-11-06T00:00:00,125.0,164.0,117.0,118.0,-7.0,12900.0,1851500.0,32.0
2020-11-09T00:00:00,118.0,159.0,113.0,120.0,2.0,29500.0,4360900.0,22.0
2020-11-10T00:00:00,120.0,156.0,120.0,155.0,35.0,8100.0,996100.0,14.0
2020-11-11T00:00:00,155.0,155.0,145.0,145.0,-10.0,21400.0,3112900.0,8.0
2020-11-12T00:00:00,145.0,145.0,135.0,136.0,-9.0,1400.0,197500.0,7.0
2020-11-13T00:00:00,136.0,130.0,128.0,130.0,-6.0,1400.0,181100.0,4.0
2020-11-16T00:00:00,130.0,130.0,130.0,130.0,0.0,700.0,91000.0,4.0
2020-11-17T00:00:00,130.0,150.0,130.0,149.0,19.0,4600.0,642200.0,8.0
2020-11-18T00:00:00,149.0,193.0,142.0,142.0,-7.0,48400.0,7068100.0,41.0
2020-11-19T00:00:00,142.0,144.0,142.0,144.0,2.0,500.0,71600.0,4.0
2020-11-20T00:00:00,144.0,154.0,144.0,144.0,0.0,4100.0,591400.0,4.0
