date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,362.0,452.0,380.0,452.0,90.0,97600.0,42823200.0,80.0
2020-10-08T00:00:00,452.0,550.0,452.0,452.0,0.0,153400.0,75837600.0,111.0
2020-10-09T00:00:00,452.0,545.0,456.0,472.0,20.0,67800.0,34022300.0,31.0
2020-10-12T00:00:00,472.0,482.0,450.0,450.0,-22.0,38900.0,18506200.0,43.0
2020-10-13T00:00:00,450.0,450.0,448.0,448.0,-2.0,6300.0,2822800.0,15.0
2020-10-14T00:00:00,448.0,448.0,434.0,434.0,-14.0,11600.0,5109800.0,14.0
2020-10-15T00:00:00,434.0,418.0,404.0,404.0,-30.0,2100.0,859000.0,14.0
2020-10-16T00:00:00,404.0,404.0,404.0,404.0,0.0,200.0,80800.0,2.0
2020-10-19T00:00:00,404.0,404.0,376.0,376.0,-28.0,11300.0,4534400.0,11.0
2020-10-20T00:00:00,376.0,376.0,374.0,374.0,-2.0,24000.0,9001800.0,14.0
2020-10-21T00:00:00,374.0,394.0,374.0,390.0,16.0,700.0,270200.0,5.0
2020-10-22T00:00:00,390.0,398.0,380.0,380.0,-10.0,6600.0,2548200.0,14.0
2020-10-23T00:00:00,380.0,380.0,362.0,362.0,-18.0,2000.0,743800.0,9.0
2020-10-26T00:00:00,362.0,382.0,362.0,362.0,0.0,7100.0,2572200.0,9.0
2020-10-27T00:00:00,362.0,370.0,360.0,360.0,-2.0,7600.0,2782400.0,9.0
2020-11-02T00:00:00,360.0,418.0,336.0,396.0,36.0,30600.0,11511200.0,42.0
2020-11-03T00:00:00,396.0,396.0,372.0,396.0,0.0,12200.0,4828800.0,14.0
2020-11-04T00:00:00,396.0,396.0,396.0,396.0,0.0,800.0,316800.0,3.0
2020-11-05T00:00:00,396.0,396.0,370.0,396.0,0.0,1800.0,705000.0,7.0
2020-11-06T00:00:00,396.0,396.0,380.0,380.0,-16.0,500.0,194400.0,4.0
2020-11-09T00:00:00,380.0,400.0,378.0,378.0,-2.0,13900.0,5408600.0,13.0
2020-11-10T00:00:00,378.0,380.0,376.0,376.0,-2.0,42300.0,15988600.0,10.0
2020-11-11T00:00:00,376.0,378.0,354.0,354.0,-22.0,5700.0,2148600.0,15.0
2020-11-12T00:00:00,354.0,354.0,354.0,354.0,0.0,2700.0,955800.0,7.0
2020-11-13T00:00:00,354.0,442.0,360.0,360.0,6.0,12800.0,4969000.0,42.0
2020-11-16T00:00:00,360.0,380.0,340.0,340.0,-20.0,6100.0,2163800.0,24.0
2020-11-17T00:00:00,340.0,424.0,320.0,370.0,30.0,88600.0,34738800.0,80.0
2020-11-18T00:00:00,370.0,440.0,348.0,438.0,68.0,64200.0,23433600.0,83.0
2020-11-19T00:00:00,438.0,438.0,408.0,410.0,-28.0,61400.0,25453600.0,61.0
2020-11-20T00:00:00,410.0,410.0,382.0,384.0,-26.0,35300.0,13916800.0,47.0
2020-11-23T00:00:00,384.0,414.0,384.0,404.0,20.0,14900.0,5953200.0,30.0
2020-11-24T00:00:00,404.0,420.0,394.0,408.0,4.0,11200.0,4503000.0,23.0
2020-11-25T00:00:00,408.0,408.0,390.0,406.0,-2.0,3200.0,1272600.0,13.0
2020-11-26T00:00:00,406.0,406.0,386.0,386.0,-20.0,2400.0,959200.0,5.0
2020-11-27T00:00:00,386.0,400.0,386.0,398.0,12.0,32700.0,12795800.0,18.0
2020-11-30T00:00:00,398.0,398.0,372.0,394.0,-4.0,24500.0,9589800.0,24.0
2020-12-01T00:00:00,394.0,394.0,374.0,394.0,0.0,23800.0,9374600.0,15.0
2020-12-02T00:00:00,394.0,394.0,368.0,368.0,-26.0,25200.0,9492000.0,28.0
2020-12-03T00:00:00,368.0,368.0,368.0,368.0,0.0,16500.0,6072000.0,10.0
2020-12-04T00:00:00,368.0,370.0,368.0,368.0,0.0,1500.0,552600.0,5.0
2020-12-07T00:00:00,368.0,386.0,368.0,386.0,18.0,8600.0,3266600.0,21.0
2020-12-08T00:00:00,386.0,390.0,368.0,388.0,2.0,11400.0,4422400.0,13.0
2020-12-10T00:00:00,388.0,434.0,388.0,400.0,12.0,20700.0,8287000.0,26.0
