date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,294.0,298.0,294.0,298.0,4.0,414500.0,122479400.0,48.0
2020-10-08T00:00:00,298.0,306.0,298.0,306.0,8.0,876800.0,263617000.0,55.0
2020-10-09T00:00:00,306.0,310.0,306.0,310.0,4.0,502700.0,154868600.0,83.0
2020-10-12T00:00:00,310.0,316.0,310.0,316.0,6.0,735500.0,230265400.0,98.0
2020-10-13T00:00:00,316.0,322.0,316.0,322.0,6.0,855800.0,271829800.0,111.0
2020-10-14T00:00:00,322.0,328.0,322.0,328.0,6.0,637700.0,207785200.0,123.0
2020-10-15T00:00:00,328.0,340.0,328.0,340.0,12.0,1495900.0,501297800.0,213.0
2020-10-16T00:00:00,340.0,348.0,318.0,318.0,-22.0,3083200.0,1029785200.0,447.0
2020-10-19T00:00:00,318.0,318.0,296.0,296.0,-22.0,909200.0,281347600.0,124.0
2020-10-20T00:00:00,296.0,296.0,276.0,276.0,-20.0,944500.0,271562200.0,165.0
2020-10-21T00:00:00,276.0,276.0,258.0,258.0,-18.0,1041500.0,277697600.0,112.0
2020-10-22T00:00:00,258.0,258.0,252.0,252.0,-6.0,430300.0,109702200.0,69.0
2020-10-23T00:00:00,252.0,252.0,250.0,250.0,-2.0,118600.0,29840400.0,26.0
2020-10-26T00:00:00,250.0,252.0,250.0,252.0,2.0,293400.0,73688200.0,62.0
2020-10-27T00:00:00,252.0,258.0,252.0,258.0,6.0,733300.0,186855600.0,130.0
2020-11-02T00:00:00,258.0,268.0,258.0,268.0,10.0,1156100.0,304609800.0,220.0
2020-11-03T00:00:00,268.0,280.0,268.0,280.0,12.0,1652700.0,452500800.0,276.0
2020-11-04T00:00:00,280.0,284.0,262.0,262.0,-18.0,1427700.0,393748000.0,216.0
2020-11-05T00:00:00,262.0,270.0,244.0,264.0,2.0,2231200.0,578865800.0,249.0
2020-11-06T00:00:00,264.0,264.0,260.0,260.0,-4.0,287800.0,75686600.0,45.0
2020-11-09T00:00:00,260.0,260.0,258.0,260.0,0.0,309100.0,80213000.0,41.0
2020-11-10T00:00:00,260.0,272.0,260.0,272.0,12.0,1212300.0,321729000.0,97.0
2020-11-11T00:00:00,272.0,278.0,272.0,278.0,6.0,578300.0,158586200.0,51.0
2020-11-12T00:00:00,278.0,282.0,278.0,282.0,4.0,435700.0,121734800.0,50.0
2020-11-13T00:00:00,282.0,286.0,280.0,280.0,-2.0,621100.0,175607600.0,76.0
2020-11-16T00:00:00,280.0,280.0,280.0,280.0,0.0,195700.0,54796000.0,19.0
2020-11-17T00:00:00,280.0,280.0,276.0,276.0,-4.0,401900.0,112089600.0,44.0
2020-11-18T00:00:00,276.0,276.0,276.0,276.0,0.0,115200.0,31795200.0,14.0
2020-11-19T00:00:00,276.0,276.0,276.0,276.0,0.0,119300.0,32926800.0,11.0
2020-11-20T00:00:00,276.0,276.0,276.0,276.0,0.0,151600.0,41841600.0,16.0
2020-11-23T00:00:00,276.0,276.0,274.0,274.0,-2.0,239200.0,66016200.0,18.0
2020-11-24T00:00:00,274.0,276.0,274.0,276.0,2.0,182600.0,50051400.0,16.0
2020-11-25T00:00:00,276.0,278.0,276.0,278.0,2.0,110500.0,30511400.0,17.0
2020-11-26T00:00:00,278.0,302.0,278.0,300.0,22.0,3883200.0,1136818000.0,328.0
2020-11-27T00:00:00,300.0,304.0,298.0,302.0,2.0,561900.0,168940600.0,62.0
2020-11-30T00:00:00,302.0,306.0,302.0,306.0,4.0,466100.0,141568200.0,69.0
2020-12-01T00:00:00,306.0,308.0,302.0,308.0,2.0,442700.0,135249600.0,83.0
2020-12-02T00:00:00,308.0,308.0,306.0,306.0,-2.0,145500.0,44767200.0,15.0
2020-12-03T00:00:00,306.0,308.0,304.0,304.0,-2.0,284100.0,86933200.0,29.0
2020-12-04T00:00:00,304.0,306.0,304.0,306.0,2.0,174100.0,53006600.0,14.0
2020-12-07T00:00:00,306.0,306.0,304.0,306.0,0.0,250600.0,76682800.0,15.0
2020-12-08T00:00:00,306.0,306.0,302.0,302.0,-4.0,282200.0,85960200.0,55.0
2020-12-10T00:00:00,302.0,302.0,302.0,302.0,0.0,276900.0,83623800.0,21.0
2020-12-11T00:00:00,302.0,302.0,300.0,300.0,-2.0,234900.0,70713600.0,22.0
2020-12-14T00:00:00,300.0,302.0,300.0,302.0,2.0,224100.0,67231000.0,22.0
2020-12-15T00:00:00,302.0,302.0,302.0,302.0,0.0,158300.0,47806600.0,15.0
2020-12-16T00:00:00,302.0,304.0,302.0,304.0,2.0,17100.0,5171200.0,5.0
2020-12-17T00:00:00,304.0,306.0,304.0,306.0,2.0,158000.0,48034000.0,16.0
2020-12-18T00:00:00,306.0,308.0,306.0,308.0,2.0,156500.0,47890000.0,9.0
2020-12-21T00:00:00,308.0,308.0,308.0,308.0,0.0,261900.0,80665200.0,42.0
2020-12-22T00:00:00,308.0,310.0,306.0,308.0,0.0,269300.0,82961800.0,35.0
2020-12-23T00:00:00,308.0,308.0,308.0,308.0,0.0,245000.0,75460000.0,35.0
2020-12-28T00:00:00,308.0,308.0,306.0,308.0,0.0,258200.0,79494400.0,37.0
2020-12-29T00:00:00,308.0,308.0,308.0,308.0,0.0,197100.0,60706800.0,16.0
2020-12-30T00:00:00,308.0,312.0,308.0,312.0,4.0,480800.0,149113000.0,45.0
2021-01-04T00:00:00,312.0,314.0,312.0,314.0,2.0,251100.0,78526200.0,37.0
2021-01-05T00:00:00,314.0,314.0,314.0,314.0,0.0,164800.0,51747200.0,15.0
2021-01-06T00:00:00,314.0,316.0,314.0,316.0,2.0,210400.0,66076000.0,19.0
2021-01-07T00:00:00,316.0,318.0,316.0,318.0,2.0,177300.0,56027000.0,21.0
2021-01-08T00:00:00,318.0,320.0,318.0,320.0,2.0,247200.0,78686000.0,37.0
2021-01-11T00:00:00,320.0,322.0,320.0,322.0,2.0,193300.0,61884600.0,27.0
2021-01-12T00:00:00,322.0,324.0,322.0,322.0,0.0,181700.0,58528600.0,27.0
2021-01-13T00:00:00,322.0,322.0,322.0,322.0,0.0,173400.0,55834800.0,20.0
2021-01-14T00:00:00,322.0,324.0,322.0,322.0,0.0,162900.0,52462400.0,21.0
2021-01-15T00:00:00,322.0,324.0,322.0,322.0,0.0,175100.0,56386000.0,23.0
2021-01-18T00:00:00,322.0,322.0,322.0,322.0,0.0,156600.0,50425200.0,17.0
2021-01-19T00:00:00,322.0,324.0,322.0,324.0,2.0,177900.0,57327600.0,20.0
2021-01-20T00:00:00,324.0,324.0,324.0,324.0,0.0,171000.0,55404000.0,9.0
2021-01-21T00:00:00,324.0,324.0,324.0,324.0,0.0,156800.0,50803200.0,16.0
2021-01-22T00:00:00,324.0,324.0,324.0,324.0,0.0,170200.0,55144800.0,14.0
2021-01-25T00:00:00,324.0,324.0,324.0,324.0,0.0,157500.0,51030000.0,15.0
2021-01-26T00:00:00,324.0,326.0,324.0,324.0,0.0,136700.0,44291000.0,20.0
2021-01-27T00:00:00,324.0,324.0,324.0,324.0,0.0,128800.0,41731200.0,15.0
2021-01-28T00:00:00,324.0,326.0,324.0,326.0,2.0,129800.0,42055600.0,18.0
2021-01-29T00:00:00,326.0,326.0,322.0,322.0,-4.0,304800.0,98606000.0,34.0
2021-02-01T00:00:00,322.0,322.0,322.0,322.0,0.0,118200.0,38060400.0,16.0
2021-02-02T00:00:00,322.0,324.0,322.0,324.0,2.0,127200.0,40979800.0,24.0
2021-02-03T00:00:00,324.0,324.0,324.0,324.0,0.0,116000.0,37584000.0,20.0
2021-02-04T00:00:00,324.0,324.0,324.0,324.0,0.0,115900.0,37551600.0,16.0
2021-02-05T00:00:00,324.0,326.0,324.0,324.0,0.0,165800.0,53793400.0,22.0
2021-02-08T00:00:00,324.0,324.0,324.0,324.0,0.0,115400.0,37389600.0,14.0
2021-02-09T00:00:00,324.0,326.0,324.0,324.0,0.0,118000.0,38234000.0,19.0
2021-02-10T00:00:00,324.0,324.0,302.0,302.0,-22.0,1027600.0,326636200.0,66.0
2021-02-11T00:00:00,302.0,302.0,298.0,298.0,-4.0,158000.0,47607000.0,42.0
2021-02-15T00:00:00,298.0,298.0,288.0,298.0,0.0,1041400.0,307976400.0,138.0
2021-02-16T00:00:00,298.0,298.0,296.0,296.0,-2.0,98900.0,29471400.0,19.0
2021-02-17T00:00:00,296.0,296.0,296.0,296.0,0.0,115500.0,34188000.0,15.0
2021-02-18T00:00:00,296.0,296.0,296.0,296.0,0.0,128400.0,38006400.0,16.0
2021-02-19T00:00:00,296.0,296.0,296.0,296.0,0.0,124700.0,36911200.0,15.0
2021-02-22T00:00:00,296.0,298.0,296.0,298.0,2.0,116700.0,34545800.0,19.0
2021-02-23T00:00:00,298.0,298.0,296.0,296.0,-2.0,88800.0,26459200.0,11.0
2021-02-24T00:00:00,296.0,296.0,296.0,296.0,0.0,128200.0,37947200.0,16.0
2021-02-25T00:00:00,296.0,296.0,296.0,296.0,0.0,79500.0,23532000.0,7.0
2021-02-26T00:00:00,296.0,296.0,294.0,294.0,-2.0,85700.0,25354800.0,7.0
2021-03-01T00:00:00,294.0,294.0,294.0,294.0,0.0,79800.0,23461200.0,8.0
2021-03-02T00:00:00,294.0,294.0,294.0,294.0,0.0,80200.0,23578800.0,11.0
2021-03-03T00:00:00,294.0,294.0,292.0,292.0,-2.0,88500.0,26001000.0,11.0
2021-03-04T00:00:00,292.0,292.0,292.0,292.0,0.0,89500.0,26134000.0,15.0
2021-03-05T00:00:00,292.0,292.0,292.0,292.0,0.0,83200.0,24294400.0,22.0
