date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,158.0,158.0,154.0,158.0,0.0,5900.0,926300.0,9.0
2020-10-08T00:00:00,158.0,159.0,158.0,159.0,1.0,800.0,126500.0,4.0
2020-10-09T00:00:00,159.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0
2020-10-12T00:00:00,159.0,157.0,150.0,157.0,-2.0,1100.0,165700.0,3.0
2020-10-13T00:00:00,157.0,163.0,160.0,160.0,3.0,25700.0,4112600.0,5.0
2020-10-14T00:00:00,160.0,162.0,158.0,162.0,2.0,2700.0,431700.0,5.0
2020-10-15T00:00:00,162.0,168.0,151.0,166.0,4.0,15700.0,2548700.0,26.0
2020-10-16T00:00:00,166.0,168.0,165.0,165.0,-1.0,1400.0,234400.0,7.0
2020-10-19T00:00:00,165.0,168.0,162.0,168.0,3.0,13400.0,2240400.0,13.0
2020-10-20T00:00:00,168.0,169.0,157.0,157.0,-11.0,800.0,128900.0,6.0
2020-10-21T00:00:00,157.0,168.0,157.0,157.0,0.0,10600.0,1667800.0,13.0
2020-10-22T00:00:00,157.0,148.0,148.0,148.0,-9.0,1200.0,177600.0,1.0
2020-10-23T00:00:00,148.0,170.0,159.0,159.0,11.0,2400.0,387300.0,12.0
2020-10-26T00:00:00,159.0,149.0,148.0,148.0,-11.0,8500.0,1258200.0,5.0
2020-10-27T00:00:00,148.0,166.0,141.0,155.0,7.0,6300.0,956300.0,24.0
2020-11-02T00:00:00,155.0,158.0,155.0,157.0,2.0,75900.0,11789000.0,16.0
2020-11-03T00:00:00,157.0,157.0,157.0,157.0,0.0,1000.0,157000.0,3.0
2020-11-04T00:00:00,157.0,158.0,147.0,157.0,0.0,9400.0,1473000.0,11.0
2020-11-05T00:00:00,157.0,157.0,156.0,156.0,-1.0,800.0,125400.0,3.0
2020-11-06T00:00:00,156.0,150.0,147.0,150.0,-6.0,5200.0,774200.0,4.0
2020-11-09T00:00:00,150.0,154.0,140.0,154.0,4.0,49400.0,7155600.0,24.0
2020-11-10T00:00:00,154.0,153.0,144.0,150.0,-4.0,56400.0,8421700.0,18.0
2020-11-11T00:00:00,150.0,150.0,149.0,149.0,-1.0,202400.0,30359300.0,14.0
2020-11-12T00:00:00,149.0,150.0,150.0,150.0,1.0,21200.0,3180000.0,3.0
