date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,110.0,111.0,103.0,103.0,-7.0,5153600.0,545037200.0,764.0
2020-10-08T00:00:00,103.0,105.0,96.0,96.0,-7.0,13344600.0,1323122700.0,1752.0
2020-10-09T00:00:00,96.0,97.0,90.0,95.0,-1.0,12070500.0,1109262100.0,1423.0
2020-10-12T00:00:00,95.0,95.0,90.0,91.0,-4.0,7336100.0,674503100.0,3247.0
2020-10-13T00:00:00,91.0,95.0,90.0,92.0,1.0,9905800.0,915906200.0,3053.0
2020-10-14T00:00:00,92.0,92.0,86.0,87.0,-5.0,16925900.0,1529409500.0,3494.0
2020-10-15T00:00:00,87.0,91.0,81.0,82.0,-5.0,11674900.0,971285700.0,1565.0
2020-10-16T00:00:00,82.0,82.0,78.0,80.0,-2.0,10463500.0,839027500.0,1628.0
2020-10-19T00:00:00,80.0,84.0,76.0,80.0,0.0,13199700.0,1052914300.0,2353.0
2020-10-20T00:00:00,80.0,80.0,76.0,78.0,-2.0,1646200.0,127657700.0,173.0
2020-10-21T00:00:00,78.0,80.0,75.0,77.0,-1.0,2480200.0,191331300.0,283.0
2020-10-22T00:00:00,77.0,79.0,74.0,79.0,2.0,6229500.0,486565700.0,1029.0
2020-10-23T00:00:00,79.0,85.0,74.0,75.0,-4.0,17712400.0,1360494400.0,1129.0
2020-10-26T00:00:00,75.0,75.0,70.0,71.0,-4.0,3158400.0,222648800.0,386.0
2020-10-27T00:00:00,71.0,82.0,71.0,72.0,1.0,2266600.0,170259700.0,279.0
2020-11-02T00:00:00,72.0,74.0,67.0,73.0,1.0,1918000.0,133461100.0,289.0
2020-11-03T00:00:00,73.0,74.0,70.0,72.0,-1.0,1536400.0,111795300.0,502.0
2020-11-04T00:00:00,72.0,77.0,69.0,73.0,1.0,5177000.0,376416600.0,787.0
2020-11-05T00:00:00,73.0,75.0,70.0,73.0,0.0,8765400.0,633212200.0,904.0
2020-11-06T00:00:00,73.0,76.0,72.0,74.0,1.0,5340400.0,392032900.0,720.0
2020-11-09T00:00:00,74.0,79.0,73.0,77.0,3.0,10345700.0,782506000.0,1692.0
2020-11-10T00:00:00,77.0,77.0,72.0,72.0,-5.0,8071500.0,593035100.0,1310.0
2020-11-11T00:00:00,72.0,74.0,71.0,74.0,2.0,6681300.0,479767700.0,1399.0
2020-11-12T00:00:00,74.0,75.0,72.0,73.0,-1.0,6384400.0,469009400.0,1132.0
2020-11-13T00:00:00,73.0,75.0,71.0,73.0,0.0,3804100.0,278378800.0,868.0
2020-11-16T00:00:00,73.0,74.0,71.0,72.0,-1.0,6470800.0,468244300.0,1406.0
2020-11-17T00:00:00,72.0,73.0,70.0,72.0,0.0,6424900.0,456864000.0,876.0
2020-11-18T00:00:00,72.0,73.0,71.0,72.0,0.0,2295300.0,164405400.0,250.0
2020-11-19T00:00:00,72.0,75.0,71.0,73.0,1.0,9510200.0,693108300.0,1055.0
2020-11-20T00:00:00,73.0,74.0,71.0,73.0,0.0,5642700.0,406683400.0,1022.0
2020-11-23T00:00:00,73.0,74.0,71.0,74.0,1.0,8593100.0,621949500.0,1813.0
2020-11-24T00:00:00,74.0,74.0,71.0,73.0,-1.0,8468100.0,615753700.0,1202.0
2020-11-25T00:00:00,73.0,73.0,71.0,72.0,-1.0,6498200.0,465681400.0,690.0
2020-11-26T00:00:00,72.0,73.0,71.0,72.0,0.0,4674400.0,336194600.0,1024.0
2020-11-27T00:00:00,72.0,72.0,71.0,72.0,0.0,6952800.0,499831600.0,654.0
2020-11-30T00:00:00,72.0,74.0,72.0,72.0,0.0,1486400.0,107677400.0,113.0
2020-12-01T00:00:00,72.0,76.0,72.0,74.0,2.0,2531000.0,187240800.0,226.0
2020-12-02T00:00:00,74.0,74.0,73.0,74.0,0.0,1160000.0,84719600.0,86.0
2020-12-03T00:00:00,74.0,74.0,71.0,73.0,-1.0,8500600.0,612210800.0,1381.0
2020-12-04T00:00:00,73.0,74.0,71.0,72.0,-1.0,5049300.0,365317900.0,790.0
2020-12-07T00:00:00,72.0,73.0,71.0,73.0,1.0,973400.0,69839100.0,99.0
2020-12-08T00:00:00,73.0,75.0,70.0,71.0,-2.0,15397100.0,1109400400.0,929.0
2020-12-10T00:00:00,71.0,72.0,70.0,71.0,0.0,11037400.0,783251200.0,526.0
2020-12-11T00:00:00,71.0,71.0,69.0,70.0,-1.0,12323100.0,864960900.0,814.0
2020-12-14T00:00:00,70.0,81.0,70.0,70.0,0.0,63296800.0,4646371200.0,2227.0
2020-12-15T00:00:00,70.0,72.0,68.0,70.0,0.0,38132900.0,2638781100.0,2636.0
2020-12-16T00:00:00,70.0,71.0,67.0,68.0,-2.0,24565800.0,1703738000.0,1452.0
2020-12-17T00:00:00,68.0,74.0,66.0,71.0,3.0,24316700.0,1719356900.0,867.0
2020-12-18T00:00:00,71.0,77.0,70.0,71.0,0.0,31798900.0,2312213700.0,1570.0
2020-12-21T00:00:00,71.0,74.0,68.0,71.0,0.0,36523800.0,2583835600.0,1274.0
2020-12-22T00:00:00,71.0,72.0,69.0,70.0,-1.0,22327900.0,1560070800.0,1077.0
2020-12-23T00:00:00,70.0,70.0,66.0,67.0,-3.0,29750000.0,1982167100.0,957.0
2020-12-28T00:00:00,67.0,68.0,63.0,63.0,-4.0,28031000.0,1792782600.0,1559.0
2020-12-29T00:00:00,63.0,63.0,59.0,59.0,-4.0,12439100.0,735869900.0,554.0
2020-12-30T00:00:00,59.0,58.0,55.0,55.0,-4.0,18847900.0,1038084300.0,612.0
2021-01-04T00:00:00,55.0,62.0,52.0,55.0,0.0,23293700.0,1282368800.0,1139.0
2021-01-05T00:00:00,55.0,67.0,55.0,63.0,8.0,39888500.0,2498046500.0,1943.0
2021-01-06T00:00:00,63.0,65.0,59.0,60.0,-3.0,19846000.0,1217236300.0,1310.0
2021-01-07T00:00:00,60.0,61.0,59.0,60.0,0.0,9829400.0,587367700.0,1093.0
2021-01-08T00:00:00,60.0,61.0,58.0,59.0,-1.0,12970800.0,773804500.0,1175.0
2021-01-11T00:00:00,59.0,66.0,59.0,61.0,2.0,17225500.0,1064332000.0,851.0
2021-01-12T00:00:00,61.0,63.0,57.0,59.0,-2.0,8054700.0,480658400.0,570.0
2021-01-13T00:00:00,59.0,60.0,55.0,55.0,-4.0,17215900.0,962119900.0,996.0
2021-01-14T00:00:00,55.0,56.0,52.0,53.0,-2.0,19734300.0,1049091200.0,633.0
2021-01-15T00:00:00,53.0,53.0,51.0,53.0,0.0,13650300.0,706485300.0,551.0
