date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,2840.0,2840.0,2790.0,2810.0,-30.0,56300.0,157645000.0,31.0
2020-10-08T00:00:00,2810.0,2820.0,2800.0,2800.0,-10.0,76400.0,214296000.0,38.0
2020-10-09T00:00:00,2800.0,2810.0,2790.0,2800.0,0.0,137000.0,383600000.0,52.0
2020-10-12T00:00:00,2800.0,2800.0,2780.0,2780.0,-20.0,18000.0,50126000.0,18.0
2020-10-13T00:00:00,2780.0,2780.0,2710.0,2780.0,0.0,142000.0,391784000.0,78.0
2020-10-14T00:00:00,2780.0,2780.0,2690.0,2740.0,-40.0,318300.0,861401000.0,99.0
2020-10-15T00:00:00,2740.0,2760.0,2640.0,2730.0,-10.0,180000.0,481661000.0,48.0
2020-10-16T00:00:00,2730.0,2730.0,2630.0,2710.0,-20.0,172700.0,462125000.0,59.0
2020-10-19T00:00:00,2710.0,2710.0,2590.0,2600.0,-110.0,181900.0,483053000.0,72.0
2020-10-20T00:00:00,2600.0,2740.0,2600.0,2700.0,100.0,467700.0,1269264000.0,84.0
2020-10-21T00:00:00,2700.0,2700.0,2700.0,2700.0,0.0,18800.0,50760000.0,18.0
2020-10-22T00:00:00,2700.0,2700.0,2660.0,2670.0,-30.0,168600.0,452096000.0,32.0
2020-10-23T00:00:00,2670.0,2720.0,2690.0,2700.0,30.0,234100.0,631849000.0,52.0
2020-10-26T00:00:00,2700.0,2800.0,2690.0,2800.0,100.0,325300.0,895934000.0,128.0
2020-10-27T00:00:00,2800.0,2870.0,2800.0,2850.0,50.0,345900.0,979634000.0,217.0
2020-11-02T00:00:00,2850.0,2900.0,2850.0,2860.0,10.0,137500.0,395105000.0,92.0
2020-11-03T00:00:00,2860.0,2940.0,2860.0,2920.0,60.0,360200.0,1048514000.0,122.0
2020-11-04T00:00:00,2920.0,2960.0,2900.0,2950.0,30.0,254300.0,749174000.0,90.0
2020-11-05T00:00:00,2950.0,3090.0,2900.0,2900.0,-50.0,396100.0,1188041000.0,159.0
2020-11-06T00:00:00,2900.0,2920.0,2850.0,2920.0,20.0,116100.0,335794000.0,59.0
2020-11-09T00:00:00,2920.0,2990.0,2890.0,2900.0,-20.0,135200.0,392610000.0,55.0
2020-11-10T00:00:00,2900.0,2930.0,2870.0,2930.0,30.0,203300.0,594041000.0,50.0
2020-11-11T00:00:00,2930.0,2930.0,2900.0,2900.0,-30.0,91200.0,264945000.0,32.0
2020-11-12T00:00:00,2900.0,2950.0,2910.0,2910.0,10.0,188300.0,550974000.0,35.0
2020-11-13T00:00:00,2910.0,2920.0,2860.0,2900.0,-10.0,26000.0,75359000.0,32.0
2020-11-16T00:00:00,2900.0,2900.0,2890.0,2890.0,-10.0,85900.0,248865000.0,35.0
2020-11-17T00:00:00,2890.0,2930.0,2900.0,2910.0,20.0,132900.0,386985000.0,40.0
2020-11-18T00:00:00,2910.0,2940.0,2900.0,2900.0,-10.0,158800.0,464920000.0,53.0
2020-11-19T00:00:00,2900.0,2930.0,2900.0,2920.0,20.0,207300.0,605192000.0,51.0
2020-11-20T00:00:00,2920.0,2930.0,2900.0,2900.0,-20.0,183800.0,536417000.0,56.0
2020-11-23T00:00:00,2900.0,2930.0,2900.0,2930.0,30.0,75100.0,219447000.0,23.0
2020-11-24T00:00:00,2930.0,2940.0,2920.0,2920.0,-10.0,92700.0,270975000.0,20.0
2020-11-25T00:00:00,2920.0,2950.0,2900.0,2920.0,0.0,169900.0,495885000.0,75.0
2020-11-26T00:00:00,2920.0,2960.0,2900.0,2930.0,10.0,114300.0,334023000.0,51.0
2020-11-27T00:00:00,2930.0,2950.0,2900.0,2950.0,20.0,101900.0,298083000.0,40.0
2020-11-30T00:00:00,2950.0,3000.0,2890.0,2890.0,-60.0,1110200.0,3248854000.0,163.0
2020-12-01T00:00:00,2890.0,2920.0,2850.0,2900.0,10.0,286600.0,827964000.0,88.0
2020-12-02T00:00:00,2900.0,2930.0,2850.0,2910.0,10.0,578900.0,1671744000.0,117.0
2020-12-03T00:00:00,2910.0,3500.0,2900.0,3300.0,390.0,1864300.0,5984892000.0,722.0
2020-12-04T00:00:00,3300.0,4050.0,3300.0,4050.0,750.0,1810600.0,6754574000.0,1511.0
2020-12-07T00:00:00,4050.0,4050.0,3770.0,3770.0,-280.0,1890800.0,7214988000.0,928.0
2020-12-08T00:00:00,3770.0,3770.0,3510.0,3510.0,-260.0,1337100.0,4705861000.0,449.0
2020-12-10T00:00:00,3510.0,3510.0,3270.0,3350.0,-160.0,2537000.0,8372683000.0,712.0
2020-12-11T00:00:00,3350.0,3400.0,3210.0,3310.0,-40.0,1084500.0,3585489000.0,449.0
2020-12-14T00:00:00,3310.0,3790.0,3350.0,3700.0,390.0,1563000.0,5727059000.0,1057.0
2020-12-15T00:00:00,3700.0,3910.0,3700.0,3750.0,50.0,1719500.0,6551830000.0,877.0
2020-12-16T00:00:00,3750.0,3880.0,3740.0,3840.0,90.0,1239300.0,4737897000.0,478.0
2020-12-17T00:00:00,3840.0,3910.0,3720.0,3840.0,0.0,1446800.0,5568624000.0,455.0
2020-12-18T00:00:00,3840.0,4550.0,3800.0,3900.0,60.0,4059200.0,16194462000.0,1662.0
2020-12-21T00:00:00,3900.0,4870.0,3990.0,4050.0,150.0,23690600.0,102896883000.0,11107.0
2020-12-22T00:00:00,4050.0,4250.0,4030.0,4100.0,50.0,7424800.0,30541784000.0,2710.0
2020-12-23T00:00:00,4100.0,4160.0,3900.0,4070.0,-30.0,3034600.0,12351652000.0,1039.0
2020-12-28T00:00:00,4070.0,4400.0,4080.0,4270.0,200.0,4547400.0,19341399000.0,2035.0
2020-12-29T00:00:00,4270.0,4430.0,4280.0,4310.0,40.0,3627100.0,15712715000.0,1226.0
2020-12-30T00:00:00,4310.0,4400.0,4260.0,4300.0,-10.0,2647300.0,11409254000.0,1176.0
2021-01-04T00:00:00,4300.0,4390.0,4180.0,4240.0,-60.0,1685900.0,7138902000.0,799.0
2021-01-05T00:00:00,4240.0,4800.0,4280.0,4450.0,210.0,10448500.0,47251251000.0,3590.0
2021-01-06T00:00:00,4450.0,4600.0,4140.0,4210.0,-240.0,13589500.0,57962032000.0,3821.0
2021-01-07T00:00:00,4210.0,4350.0,4230.0,4310.0,100.0,5031100.0,21626686000.0,1269.0
2021-01-08T00:00:00,4310.0,4350.0,4270.0,4280.0,-30.0,2132200.0,9168224000.0,1112.0
2021-01-11T00:00:00,4280.0,4320.0,4170.0,4300.0,20.0,3823000.0,16369350000.0,1450.0
2021-01-12T00:00:00,4300.0,4340.0,4250.0,4300.0,0.0,2868000.0,12317040000.0,956.0
2021-01-13T00:00:00,4300.0,4590.0,4280.0,4350.0,50.0,4248000.0,18753346000.0,1972.0
2021-01-14T00:00:00,4350.0,4600.0,4380.0,4540.0,190.0,4135500.0,18536328000.0,1544.0
2021-01-15T00:00:00,4540.0,5675.0,4540.0,5675.0,1135.0,26218100.0,145073989500.0,5920.0
2021-01-18T00:00:00,5675.0,6150.0,5300.0,5700.0,25.0,8346800.0,48248197500.0,3711.0
2021-01-19T00:00:00,5700.0,6050.0,5350.0,5600.0,-100.0,4053700.0,22675417500.0,1734.0
2021-01-20T00:00:00,5600.0,5950.0,5625.0,5850.0,250.0,2039800.0,11871290000.0,1341.0
2021-01-21T00:00:00,5850.0,7000.0,5825.0,6200.0,350.0,20156900.0,129119275000.0,7690.0
