date,previous,high,low,close,change,volume,value,frequency
2022-01-25T00:00:00,256.0,320.0,290.0,320.0,64.0,922992200.0,290208804600.0,47198.0
2022-01-26T00:00:00,320.0,350.0,298.0,298.0,-22.0,402828100.0,124060355600.0,27040.0
2022-01-27T00:00:00,298.0,308.0,278.0,302.0,4.0,256881600.0,73745939600.0,16406.0
2022-01-28T00:00:00,302.0,308.0,292.0,298.0,-4.0,79465700.0,23941230600.0,5773.0
2022-01-31T00:00:00,298.0,302.0,284.0,288.0,-10.0,89356000.0,25940343000.0,6005.0
2022-02-02T00:00:00,288.0,306.0,284.0,304.0,16.0,92766200.0,27665131800.0,5323.0
2022-02-03T00:00:00,304.0,308.0,296.0,298.0,-6.0,28448000.0,8516953800.0,2518.0
2022-02-04T00:00:00,298.0,300.0,290.0,296.0,-2.0,19120700.0,5631820200.0,1714.0
2022-02-07T00:00:00,296.0,302.0,292.0,292.0,-4.0,28391200.0,8354351400.0,2033.0
2022-02-08T00:00:00,292.0,296.0,282.0,286.0,-6.0,41175400.0,11864926400.0,2784.0
2022-02-09T00:00:00,286.0,292.0,280.0,282.0,-4.0,21361400.0,6086471600.0,2125.0
2022-02-10T00:00:00,282.0,284.0,264.0,272.0,-10.0,66097300.0,18055970200.0,4145.0
2022-02-11T00:00:00,272.0,278.0,264.0,272.0,0.0,15467800.0,4206582800.0,1555.0
2022-02-14T00:00:00,272.0,272.0,260.0,264.0,-8.0,26024900.0,6864469800.0,1907.0
2022-02-15T00:00:00,264.0,278.0,262.0,270.0,6.0,26986100.0,7331342400.0,2144.0
2022-02-16T00:00:00,270.0,292.0,272.0,278.0,8.0,49914500.0,14163791400.0,4018.0
2022-02-17T00:00:00,278.0,280.0,266.0,268.0,-10.0,34094700.0,9196909400.0,1783.0
2022-02-18T00:00:00,268.0,272.0,262.0,266.0,-2.0,12144400.0,3231875600.0,1354.0
2022-02-21T00:00:00,266.0,274.0,264.0,266.0,0.0,12029100.0,3211017400.0,1481.0
2022-02-22T00:00:00,266.0,268.0,258.0,258.0,-8.0,42181000.0,10953349200.0,2042.0
2022-02-23T00:00:00,258.0,264.0,256.0,260.0,2.0,22939900.0,5958191800.0,1061.0
2022-02-24T00:00:00,260.0,268.0,252.0,260.0,0.0,48494400.0,12496082800.0,2177.0
2022-02-25T00:00:00,260.0,272.0,258.0,266.0,6.0,31527300.0,8321191800.0,3182.0
2022-03-01T00:00:00,266.0,270.0,262.0,268.0,2.0,15186200.0,4041686200.0,982.0
2022-03-02T00:00:00,268.0,270.0,260.0,260.0,-8.0,16496800.0,4320346600.0,968.0
2022-03-04T00:00:00,260.0,262.0,254.0,256.0,-4.0,43017200.0,11077877400.0,1667.0
2022-03-07T00:00:00,256.0,258.0,240.0,250.0,-6.0,62005400.0,15474222600.0,1573.0
2022-03-08T00:00:00,250.0,254.0,238.0,240.0,-10.0,30773700.0,7545703200.0,820.0
2022-03-09T00:00:00,240.0,256.0,242.0,250.0,10.0,15512200.0,3865027600.0,814.0
2022-03-10T00:00:00,250.0,256.0,248.0,248.0,-2.0,5219700.0,1307624400.0,425.0
2022-03-11T00:00:00,248.0,252.0,246.0,246.0,-2.0,7925200.0,1962273200.0,394.0
2022-03-14T00:00:00,246.0,260.0,246.0,254.0,8.0,15063600.0,3803176400.0,787.0
2022-03-15T00:00:00,254.0,258.0,248.0,250.0,-4.0,7812700.0,1954098600.0,511.0
2022-03-16T00:00:00,250.0,254.0,246.0,248.0,-2.0,5120500.0,1277033400.0,464.0
2022-03-17T00:00:00,248.0,274.0,248.0,260.0,12.0,46949100.0,12337122200.0,2960.0
2022-03-18T00:00:00,260.0,268.0,256.0,260.0,0.0,15687100.0,4089569400.0,1167.0
2022-03-21T00:00:00,260.0,266.0,256.0,256.0,-4.0,10978400.0,2845217200.0,793.0
2022-03-22T00:00:00,256.0,262.0,254.0,258.0,2.0,6743500.0,1739758800.0,560.0
2022-03-23T00:00:00,258.0,282.0,254.0,276.0,18.0,48646000.0,13286595000.0,4365.0
2022-03-24T00:00:00,276.0,278.0,268.0,270.0,-6.0,22566800.0,6144066800.0,1900.0
2022-03-25T00:00:00,270.0,276.0,264.0,270.0,0.0,20744000.0,5566277600.0,1293.0
2022-03-28T00:00:00,270.0,274.0,262.0,262.0,-8.0,17507100.0,4637497200.0,1364.0
2022-03-29T00:00:00,262.0,266.0,258.0,260.0,-2.0,6301600.0,1646111600.0,796.0
2022-03-30T00:00:00,260.0,264.0,256.0,258.0,-2.0,22491700.0,5834819200.0,1922.0
2022-03-31T00:00:00,258.0,268.0,258.0,260.0,2.0,23688700.0,6223284400.0,1577.0
2022-04-01T00:00:00,260.0,266.0,256.0,256.0,-4.0,15202600.0,3946040000.0,1872.0
