date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,115.0,117.0,110.0,114.0,-1.0,216300.0,24673100.0,74.0
2020-10-08T00:00:00,114.0,118.0,111.0,115.0,1.0,231700.0,26815900.0,71.0
2020-10-09T00:00:00,115.0,120.0,111.0,116.0,1.0,752800.0,88165500.0,121.0
2020-10-12T00:00:00,116.0,117.0,113.0,116.0,0.0,242400.0,27420600.0,38.0
2020-10-13T00:00:00,116.0,140.0,109.0,137.0,21.0,29372000.0,3768705600.0,3344.0
2020-10-14T00:00:00,137.0,139.0,128.0,128.0,-9.0,6565400.0,854788800.0,544.0
2020-10-15T00:00:00,128.0,120.0,120.0,120.0,-8.0,335800.0,40296000.0,48.0
2020-10-16T00:00:00,120.0,124.0,112.0,112.0,-8.0,42719400.0,4915513000.0,4443.0
2020-10-19T00:00:00,112.0,111.0,105.0,105.0,-7.0,8434900.0,898254700.0,1674.0
2020-10-20T00:00:00,105.0,102.0,98.0,98.0,-7.0,1301600.0,127877800.0,242.0
2020-10-21T00:00:00,98.0,98.0,92.0,93.0,-5.0,2181400.0,202932300.0,290.0
2020-10-22T00:00:00,93.0,97.0,88.0,94.0,1.0,1851700.0,174015900.0,265.0
2020-10-23T00:00:00,94.0,98.0,88.0,94.0,0.0,3793000.0,347642400.0,379.0
2020-10-26T00:00:00,94.0,94.0,89.0,92.0,-2.0,1188000.0,107596300.0,166.0
2020-10-27T00:00:00,92.0,92.0,90.0,92.0,0.0,507500.0,46053500.0,85.0
2020-11-02T00:00:00,92.0,92.0,89.0,92.0,0.0,306100.0,27522000.0,64.0
2020-11-03T00:00:00,92.0,93.0,90.0,93.0,1.0,375100.0,34284600.0,64.0
2020-11-04T00:00:00,93.0,94.0,91.0,92.0,-1.0,155500.0,14529900.0,48.0
2020-11-05T00:00:00,92.0,95.0,92.0,93.0,1.0,507600.0,47381700.0,66.0
2020-11-06T00:00:00,93.0,95.0,92.0,94.0,1.0,698000.0,65595400.0,99.0
2020-11-09T00:00:00,94.0,103.0,91.0,93.0,-1.0,4095200.0,392485800.0,378.0
2020-11-10T00:00:00,93.0,96.0,91.0,94.0,1.0,1018700.0,95171100.0,109.0
2020-11-11T00:00:00,94.0,96.0,92.0,92.0,-2.0,2032800.0,191076800.0,98.0
2020-11-12T00:00:00,92.0,97.0,91.0,91.0,-1.0,7054000.0,657152900.0,354.0
2020-11-13T00:00:00,91.0,92.0,90.0,91.0,0.0,932700.0,84664800.0,79.0
