date,previous,high,low,close,change,volume,value,frequency
2022-01-28T00:00:00,100.0,135.0,107.0,135.0,35.0,1060598500.0,135544100000.0,72711.0
2022-01-31T00:00:00,135.0,182.0,135.0,182.0,47.0,687243600.0,114143175300.0,55093.0
2022-02-02T00:00:00,182.0,244.0,190.0,244.0,62.0,123577800.0,28927378600.0,10906.0
2022-02-03T00:00:00,244.0,304.0,228.0,228.0,-16.0,328047500.0,83807210200.0,32873.0
2022-02-04T00:00:00,228.0,238.0,214.0,214.0,-14.0,10920700.0,2337059800.0,1762.0
2022-02-07T00:00:00,214.0,200.0,200.0,200.0,-14.0,4819800.0,963960000.0,1365.0
2022-02-08T00:00:00,200.0,186.0,186.0,186.0,-14.0,14797100.0,2752260600.0,3299.0
2022-02-09T00:00:00,186.0,218.0,173.0,178.0,-8.0,440922500.0,84454656000.0,47198.0
2022-02-10T00:00:00,178.0,191.0,168.0,170.0,-8.0,104936600.0,18688271600.0,13944.0
2022-02-11T00:00:00,170.0,175.0,159.0,160.0,-10.0,77958200.0,12703465600.0,12017.0
2022-02-14T00:00:00,160.0,164.0,149.0,149.0,-11.0,59012100.0,9048712800.0,8092.0
2022-02-15T00:00:00,149.0,154.0,139.0,141.0,-8.0,60513000.0,8633465700.0,7589.0
2022-02-16T00:00:00,141.0,190.0,132.0,190.0,49.0,723326600.0,128202790000.0,58602.0
2022-02-17T00:00:00,190.0,224.0,195.0,199.0,9.0,544825000.0,113706243400.0,50065.0
2022-02-18T00:00:00,199.0,222.0,197.0,204.0,5.0,265691100.0,55678829800.0,33154.0
2022-02-21T00:00:00,204.0,218.0,190.0,190.0,-14.0,1714536600.0,335057132700.0,44677.0
2022-02-22T00:00:00,190.0,199.0,177.0,177.0,-13.0,811860800.0,147333488500.0,15971.0
2022-02-23T00:00:00,177.0,165.0,165.0,165.0,-12.0,13464300.0,2221609500.0,2025.0
2022-02-24T00:00:00,165.0,154.0,154.0,154.0,-11.0,51571800.0,7942057200.0,6409.0
2022-02-25T00:00:00,154.0,155.0,144.0,144.0,-10.0,402043100.0,58572726000.0,20324.0
2022-03-01T00:00:00,144.0,154.0,134.0,134.0,-10.0,671504700.0,93358358800.0,13335.0
2022-03-02T00:00:00,134.0,141.0,125.0,125.0,-9.0,737713000.0,95830110100.0,11520.0
2022-03-04T00:00:00,125.0,125.0,117.0,117.0,-8.0,99444900.0,11689453600.0,5938.0
2022-03-07T00:00:00,117.0,116.0,109.0,109.0,-8.0,30657800.0,3359916600.0,2886.0
2022-03-08T00:00:00,109.0,127.0,102.0,102.0,-7.0,622879500.0,69829720300.0,25463.0
2022-03-09T00:00:00,102.0,101.0,95.0,95.0,-7.0,102777400.0,9903294200.0,5871.0
2022-03-10T00:00:00,95.0,95.0,89.0,93.0,-2.0,168451200.0,15309065400.0,10216.0
2022-03-11T00:00:00,93.0,108.0,93.0,104.0,11.0,330627000.0,33736050800.0,22656.0
2022-03-14T00:00:00,104.0,105.0,97.0,97.0,-7.0,91765200.0,9061115200.0,7663.0
2022-03-15T00:00:00,97.0,97.0,91.0,91.0,-6.0,106214600.0,9788998400.0,6684.0
2022-03-16T00:00:00,91.0,97.0,88.0,92.0,1.0,72365000.0,6597807600.0,5710.0
2022-03-17T00:00:00,92.0,93.0,89.0,91.0,-1.0,21835300.0,1984555700.0,3015.0
2022-03-18T00:00:00,91.0,93.0,88.0,90.0,-1.0,28559400.0,2567692500.0,3422.0
2022-03-21T00:00:00,90.0,93.0,85.0,87.0,-3.0,25189400.0,2226363100.0,3427.0
2022-03-22T00:00:00,87.0,93.0,85.0,89.0,2.0,66619700.0,5955764100.0,5142.0
2022-03-23T00:00:00,89.0,102.0,90.0,99.0,10.0,327388300.0,32068167700.0,24326.0
2022-03-24T00:00:00,99.0,110.0,93.0,93.0,-6.0,2266193200.0,225937805500.0,42595.0
2022-03-25T00:00:00,93.0,93.0,87.0,87.0,-6.0,982936300.0,87422514900.0,20538.0
2022-03-28T00:00:00,87.0,81.0,81.0,81.0,-6.0,76486100.0,6195374100.0,3329.0
2022-03-29T00:00:00,81.0,80.0,76.0,77.0,-4.0,287524000.0,22205806700.0,12547.0
2022-03-30T00:00:00,77.0,82.0,77.0,79.0,2.0,126281100.0,9975050400.0,7901.0
2022-03-31T00:00:00,79.0,80.0,75.0,77.0,-2.0,55911500.0,4288603500.0,4225.0
2022-04-01T00:00:00,77.0,78.0,72.0,73.0,-4.0,69299400.0,5099419500.0,9081.0
