date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,117.0,117.0,114.0,116.0,-1.0,934800.0,107973100.0,95.0
2020-10-08T00:00:00,116.0,116.0,114.0,115.0,-1.0,854600.0,98197800.0,79.0
2020-10-09T00:00:00,115.0,118.0,114.0,118.0,3.0,760200.0,88756000.0,59.0
2020-10-12T00:00:00,118.0,118.0,116.0,117.0,-1.0,1139500.0,133238900.0,84.0
2020-10-13T00:00:00,117.0,117.0,115.0,117.0,0.0,338200.0,39399300.0,50.0
2020-10-14T00:00:00,117.0,117.0,115.0,117.0,0.0,579000.0,67273200.0,80.0
2020-10-15T00:00:00,117.0,117.0,115.0,115.0,-2.0,561500.0,64766600.0,59.0
2020-10-16T00:00:00,115.0,116.0,114.0,116.0,1.0,308100.0,35697300.0,42.0
2020-10-19T00:00:00,116.0,116.0,114.0,115.0,-1.0,548900.0,62968800.0,60.0
2020-10-20T00:00:00,115.0,115.0,114.0,115.0,0.0,321600.0,36923800.0,30.0
2020-10-21T00:00:00,115.0,115.0,114.0,114.0,-1.0,538300.0,61375100.0,34.0
2020-10-22T00:00:00,114.0,115.0,113.0,114.0,0.0,490000.0,55860500.0,36.0
2020-10-23T00:00:00,114.0,115.0,113.0,113.0,-1.0,528500.0,59766200.0,43.0
2020-10-26T00:00:00,113.0,114.0,113.0,114.0,1.0,434200.0,49489200.0,35.0
2020-10-27T00:00:00,114.0,115.0,110.0,115.0,1.0,865000.0,98946100.0,78.0
2020-11-02T00:00:00,115.0,115.0,111.0,115.0,0.0,373200.0,42767300.0,56.0
2020-11-03T00:00:00,115.0,115.0,113.0,115.0,0.0,435400.0,49809600.0,45.0
2020-11-04T00:00:00,115.0,116.0,112.0,114.0,-1.0,726800.0,82797400.0,100.0
2020-11-05T00:00:00,114.0,116.0,112.0,116.0,2.0,965600.0,111092700.0,74.0
2020-11-06T00:00:00,116.0,118.0,114.0,118.0,2.0,1111600.0,130013500.0,110.0
2020-11-09T00:00:00,118.0,119.0,115.0,118.0,0.0,736900.0,86671600.0,91.0
2020-11-10T00:00:00,118.0,118.0,115.0,117.0,-1.0,1308500.0,151970700.0,98.0
2020-11-11T00:00:00,117.0,117.0,115.0,117.0,0.0,624100.0,72450200.0,66.0
2020-11-12T00:00:00,117.0,117.0,116.0,117.0,0.0,2201000.0,255525200.0,39.0
2020-11-13T00:00:00,117.0,117.0,114.0,117.0,0.0,2311100.0,266063400.0,94.0
2020-11-16T00:00:00,117.0,117.0,114.0,116.0,-1.0,1464400.0,168889800.0,103.0
2020-11-17T00:00:00,116.0,116.0,114.0,116.0,0.0,967300.0,111693500.0,62.0
2020-11-18T00:00:00,116.0,117.0,116.0,117.0,1.0,458100.0,53462900.0,53.0
2020-11-19T00:00:00,117.0,118.0,115.0,118.0,1.0,458500.0,53892200.0,67.0
2020-11-20T00:00:00,118.0,125.0,118.0,123.0,5.0,1451500.0,177560300.0,205.0
2020-11-23T00:00:00,123.0,126.0,122.0,126.0,3.0,875500.0,109516300.0,120.0
2020-11-24T00:00:00,126.0,135.0,126.0,134.0,8.0,903100.0,119301600.0,199.0
2020-11-25T00:00:00,134.0,139.0,130.0,130.0,-4.0,1050700.0,141429000.0,169.0
2020-11-26T00:00:00,130.0,130.0,127.0,130.0,0.0,159400.0,20527400.0,81.0
2020-11-27T00:00:00,130.0,130.0,127.0,129.0,-1.0,148500.0,19121200.0,69.0
2020-11-30T00:00:00,129.0,129.0,124.0,127.0,-2.0,248700.0,31510500.0,61.0
2020-12-01T00:00:00,127.0,127.0,125.0,127.0,0.0,124800.0,15823400.0,43.0
2020-12-02T00:00:00,127.0,127.0,122.0,126.0,-1.0,700700.0,87970800.0,80.0
2020-12-03T00:00:00,126.0,128.0,123.0,128.0,2.0,259700.0,32724000.0,87.0
2020-12-04T00:00:00,128.0,129.0,126.0,128.0,0.0,87800.0,11173900.0,39.0
2020-12-07T00:00:00,128.0,128.0,125.0,127.0,-1.0,448100.0,56350100.0,80.0
2020-12-08T00:00:00,127.0,127.0,126.0,127.0,0.0,42100.0,5340800.0,26.0
