date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,910.0,915.0,895.0,905.0,-5.0,2966400.0,2676913500.0,760.0
2020-10-08T00:00:00,905.0,925.0,905.0,915.0,10.0,5761000.0,5268895500.0,818.0
2020-10-09T00:00:00,915.0,925.0,910.0,915.0,0.0,2660400.0,2443823500.0,434.0
2020-10-12T00:00:00,915.0,945.0,920.0,930.0,15.0,9990100.0,9313216000.0,1485.0
2020-10-13T00:00:00,930.0,975.0,920.0,960.0,30.0,15528800.0,14786445500.0,3453.0
2020-10-14T00:00:00,960.0,980.0,960.0,970.0,10.0,12007300.0,11657160500.0,2478.0
2020-10-15T00:00:00,970.0,975.0,950.0,975.0,5.0,16048600.0,15519376500.0,2104.0
2020-10-16T00:00:00,975.0,1065.0,970.0,1035.0,60.0,38596900.0,39293926500.0,7003.0
2020-10-19T00:00:00,1035.0,1060.0,1025.0,1055.0,20.0,19768500.0,20762416500.0,3844.0
2020-10-20T00:00:00,1055.0,1085.0,1030.0,1055.0,0.0,19911600.0,21131348500.0,3100.0
2020-10-21T00:00:00,1055.0,1080.0,1050.0,1080.0,25.0,17069500.0,18275456500.0,3303.0
2020-10-22T00:00:00,1080.0,1135.0,1040.0,1040.0,-40.0,60274800.0,65422606000.0,7245.0
2020-10-23T00:00:00,1040.0,1055.0,1035.0,1050.0,10.0,18512300.0,19388772000.0,1940.0
2020-10-26T00:00:00,1050.0,1160.0,1070.0,1105.0,55.0,41060300.0,45717514500.0,6647.0
2020-10-27T00:00:00,1105.0,1130.0,1085.0,1085.0,-20.0,18781200.0,20698770000.0,2978.0
2020-11-02T00:00:00,1085.0,1110.0,1075.0,1105.0,20.0,18519500.0,20329107500.0,3033.0
2020-11-03T00:00:00,1105.0,1130.0,1105.0,1115.0,10.0,11436100.0,12750017000.0,1779.0
2020-11-04T00:00:00,1115.0,1135.0,1080.0,1090.0,-25.0,11153200.0,12284483000.0,1993.0
2020-11-05T00:00:00,1090.0,1120.0,1100.0,1110.0,20.0,11651300.0,12939619000.0,1997.0
2020-11-06T00:00:00,1110.0,1130.0,1110.0,1130.0,20.0,13412500.0,15067802500.0,2649.0
2020-11-09T00:00:00,1130.0,1185.0,1135.0,1170.0,40.0,28974800.0,33770727000.0,3786.0
