date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,55.0,74.0,55.0,74.0,19.0,11444000.0,745700900.0,568.0
2020-10-08T00:00:00,74.0,99.0,81.0,99.0,25.0,7458700.0,722400100.0,644.0
2020-10-09T00:00:00,99.0,112.0,93.0,93.0,-6.0,1322200.0,131744000.0,173.0
2020-10-12T00:00:00,93.0,87.0,87.0,87.0,-6.0,35900.0,3123300.0,28.0
2020-10-13T00:00:00,87.0,81.0,81.0,81.0,-6.0,162500.0,13162500.0,20.0
2020-10-14T00:00:00,81.0,92.0,76.0,76.0,-5.0,6994700.0,565723500.0,583.0
2020-10-15T00:00:00,76.0,77.0,71.0,72.0,-4.0,2543500.0,186470300.0,122.0
2020-10-16T00:00:00,72.0,72.0,67.0,69.0,-3.0,1473100.0,99517700.0,76.0
2020-10-19T00:00:00,69.0,72.0,69.0,70.0,1.0,318500.0,22289600.0,62.0
2020-10-20T00:00:00,70.0,76.0,66.0,66.0,-4.0,5093500.0,366464900.0,463.0
2020-10-21T00:00:00,66.0,65.0,62.0,62.0,-4.0,450500.0,27943500.0,61.0
2020-10-22T00:00:00,62.0,68.0,58.0,62.0,0.0,3109200.0,188258700.0,143.0
2020-10-23T00:00:00,62.0,63.0,60.0,62.0,0.0,517300.0,31574000.0,58.0
2020-10-26T00:00:00,62.0,62.0,61.0,61.0,-1.0,459800.0,28058600.0,42.0
2020-10-27T00:00:00,61.0,62.0,58.0,58.0,-3.0,275000.0,16802000.0,36.0
2020-11-02T00:00:00,58.0,62.0,55.0,60.0,2.0,175100.0,10426700.0,40.0
2020-11-03T00:00:00,60.0,63.0,60.0,62.0,2.0,404800.0,25065000.0,51.0
2020-11-04T00:00:00,62.0,63.0,61.0,61.0,-1.0,80000.0,4907400.0,25.0
2020-11-05T00:00:00,61.0,63.0,58.0,59.0,-2.0,297100.0,17768900.0,53.0
2020-11-06T00:00:00,59.0,62.0,56.0,60.0,1.0,689800.0,39948700.0,62.0
2020-11-09T00:00:00,60.0,81.0,63.0,68.0,8.0,10803500.0,766781500.0,1063.0
2020-11-10T00:00:00,68.0,72.0,64.0,69.0,1.0,3503500.0,239718500.0,246.0
2020-11-11T00:00:00,69.0,71.0,65.0,68.0,-1.0,2465200.0,167744800.0,117.0
2020-11-12T00:00:00,68.0,70.0,65.0,67.0,-1.0,1785200.0,121770200.0,96.0
2020-11-13T00:00:00,67.0,68.0,65.0,67.0,0.0,2467700.0,163833600.0,81.0
2020-11-16T00:00:00,67.0,74.0,67.0,70.0,3.0,7017800.0,497914300.0,414.0
2020-11-17T00:00:00,70.0,74.0,68.0,69.0,-1.0,1693700.0,119797200.0,78.0
2020-11-18T00:00:00,69.0,70.0,68.0,68.0,-1.0,439100.0,30109800.0,48.0
2020-11-19T00:00:00,68.0,70.0,67.0,68.0,0.0,1061200.0,72671500.0,62.0
2020-11-20T00:00:00,68.0,70.0,68.0,68.0,0.0,299700.0,20815300.0,20.0
2020-11-23T00:00:00,68.0,72.0,68.0,70.0,2.0,1488300.0,104073100.0,58.0
2020-11-24T00:00:00,70.0,72.0,67.0,69.0,-1.0,2538500.0,177196400.0,64.0
2020-11-25T00:00:00,69.0,74.0,69.0,73.0,4.0,4732800.0,339604400.0,174.0
2020-11-26T00:00:00,73.0,74.0,69.0,71.0,-2.0,1212000.0,86680000.0,90.0
2020-11-27T00:00:00,71.0,75.0,67.0,71.0,0.0,2299500.0,165094500.0,107.0
2020-11-30T00:00:00,71.0,74.0,69.0,69.0,-2.0,599500.0,42773400.0,47.0
2020-12-01T00:00:00,69.0,72.0,68.0,70.0,1.0,618800.0,43010600.0,31.0
2020-12-02T00:00:00,70.0,73.0,69.0,70.0,0.0,226400.0,15899800.0,28.0
2020-12-03T00:00:00,70.0,71.0,68.0,69.0,-1.0,287500.0,19861800.0,18.0
2020-12-04T00:00:00,69.0,73.0,69.0,71.0,2.0,1122100.0,79747900.0,80.0
2020-12-07T00:00:00,71.0,78.0,69.0,77.0,6.0,2317200.0,171736900.0,177.0
2020-12-08T00:00:00,77.0,77.0,72.0,72.0,-5.0,2356100.0,175777900.0,111.0
2020-12-10T00:00:00,72.0,94.0,72.0,79.0,7.0,8240600.0,674354400.0,698.0
2020-12-11T00:00:00,79.0,81.0,77.0,78.0,-1.0,1215700.0,96213400.0,140.0
2020-12-14T00:00:00,78.0,85.0,76.0,85.0,7.0,1964500.0,161242700.0,161.0
2020-12-15T00:00:00,85.0,88.0,82.0,84.0,-1.0,1563600.0,131636500.0,175.0
2020-12-16T00:00:00,84.0,90.0,82.0,87.0,3.0,2187600.0,189180000.0,154.0
2020-12-17T00:00:00,87.0,91.0,84.0,88.0,1.0,2037500.0,180290400.0,174.0
2020-12-18T00:00:00,88.0,99.0,89.0,90.0,2.0,1515400.0,139152700.0,165.0
2020-12-21T00:00:00,90.0,90.0,87.0,87.0,-3.0,1139100.0,101794300.0,70.0
2020-12-22T00:00:00,87.0,99.0,83.0,92.0,5.0,1355000.0,123502000.0,111.0
2020-12-23T00:00:00,92.0,92.0,86.0,86.0,-6.0,265600.0,23164300.0,42.0
2020-12-28T00:00:00,86.0,86.0,81.0,86.0,0.0,19800.0,1660400.0,19.0
2020-12-29T00:00:00,86.0,86.0,80.0,80.0,-6.0,868900.0,69893900.0,80.0
2020-12-30T00:00:00,80.0,85.0,76.0,80.0,0.0,1940200.0,155237300.0,52.0
2021-01-04T00:00:00,80.0,84.0,76.0,80.0,0.0,224300.0,17624400.0,30.0
2021-01-05T00:00:00,80.0,81.0,77.0,80.0,0.0,78700.0,6284300.0,23.0
2021-01-06T00:00:00,80.0,81.0,76.0,79.0,-1.0,105300.0,8196300.0,53.0
2021-01-07T00:00:00,79.0,82.0,77.0,79.0,0.0,1424600.0,114745400.0,62.0
2021-01-08T00:00:00,79.0,89.0,79.0,88.0,9.0,4517800.0,384058900.0,251.0
2021-01-11T00:00:00,88.0,89.0,82.0,82.0,-6.0,685800.0,56766900.0,225.0
2021-01-12T00:00:00,82.0,84.0,77.0,80.0,-2.0,1515600.0,122505000.0,96.0
2021-01-13T00:00:00,80.0,80.0,78.0,80.0,0.0,487700.0,38688200.0,32.0
2021-01-14T00:00:00,80.0,85.0,78.0,81.0,1.0,1633800.0,133097600.0,65.0
2021-01-15T00:00:00,81.0,83.0,80.0,83.0,2.0,883000.0,72182200.0,41.0
2021-01-18T00:00:00,83.0,84.0,79.0,80.0,-3.0,383500.0,31698700.0,40.0
