date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,745.0,750.0,730.0,735.0,-10.0,1602100.0,1180985500.0,346.0
2020-10-08T00:00:00,735.0,760.0,740.0,740.0,5.0,2718900.0,2031081500.0,583.0
2020-10-09T00:00:00,740.0,770.0,745.0,755.0,15.0,2802200.0,2122098000.0,589.0
2020-10-12T00:00:00,755.0,790.0,755.0,765.0,10.0,9210500.0,7106715000.0,1443.0
2020-10-13T00:00:00,765.0,775.0,755.0,775.0,10.0,5292900.0,4046803500.0,970.0
2020-10-14T00:00:00,775.0,790.0,765.0,770.0,-5.0,5769900.0,4478168500.0,1109.0
2020-10-15T00:00:00,770.0,775.0,760.0,760.0,-10.0,1458200.0,1115987000.0,328.0
2020-10-16T00:00:00,760.0,765.0,755.0,755.0,-5.0,1172000.0,890578500.0,263.0
2020-10-19T00:00:00,755.0,775.0,755.0,765.0,10.0,1353700.0,1036877000.0,291.0
2020-10-20T00:00:00,765.0,775.0,755.0,760.0,-5.0,1827700.0,1399909500.0,277.0
2020-10-21T00:00:00,760.0,770.0,755.0,755.0,-5.0,1728400.0,1314752500.0,237.0
2020-10-22T00:00:00,755.0,765.0,745.0,750.0,-5.0,2198700.0,1654171000.0,441.0
2020-10-23T00:00:00,750.0,760.0,750.0,755.0,5.0,1147200.0,866475000.0,212.0
2020-10-26T00:00:00,755.0,770.0,755.0,760.0,5.0,3326000.0,2533212000.0,423.0
2020-10-27T00:00:00,760.0,760.0,750.0,760.0,0.0,1034600.0,782516500.0,307.0
2020-11-02T00:00:00,760.0,760.0,745.0,750.0,-10.0,2555500.0,1921562500.0,424.0
2020-11-03T00:00:00,750.0,765.0,745.0,750.0,0.0,2072400.0,1557675000.0,342.0
2020-11-04T00:00:00,750.0,765.0,745.0,745.0,-5.0,4541900.0,3416299500.0,604.0
2020-11-05T00:00:00,745.0,770.0,750.0,765.0,20.0,3251500.0,2480633000.0,637.0
2020-11-06T00:00:00,765.0,795.0,760.0,785.0,20.0,8840400.0,6877750500.0,1239.0
2020-11-09T00:00:00,785.0,820.0,785.0,790.0,5.0,7735200.0,6152627500.0,1162.0
2020-11-10T00:00:00,790.0,810.0,790.0,805.0,15.0,10685800.0,8547920000.0,1068.0
2020-11-11T00:00:00,805.0,815.0,800.0,805.0,0.0,6279000.0,5059475500.0,990.0
2020-11-12T00:00:00,805.0,810.0,795.0,800.0,-5.0,2583100.0,2061818000.0,510.0
2020-11-13T00:00:00,800.0,800.0,790.0,795.0,-5.0,2769000.0,2196321500.0,549.0
2020-11-16T00:00:00,795.0,815.0,790.0,815.0,20.0,4829300.0,3897106000.0,668.0
2020-11-17T00:00:00,815.0,845.0,815.0,830.0,15.0,10458400.0,8719353500.0,1284.0
2020-11-18T00:00:00,830.0,850.0,830.0,830.0,0.0,7384800.0,6180318000.0,907.0
2020-11-19T00:00:00,830.0,845.0,810.0,840.0,10.0,4631700.0,3860319500.0,767.0
2020-11-20T00:00:00,840.0,845.0,830.0,835.0,-5.0,4540700.0,3808092500.0,604.0
2020-11-23T00:00:00,835.0,860.0,825.0,855.0,20.0,7852600.0,6692119500.0,1147.0
2020-11-24T00:00:00,855.0,880.0,860.0,875.0,20.0,8662400.0,7544918000.0,986.0
2020-11-25T00:00:00,875.0,915.0,850.0,860.0,-15.0,14280300.0,12546112000.0,1812.0
2020-11-26T00:00:00,860.0,885.0,855.0,875.0,15.0,3676800.0,3214013500.0,507.0
2020-11-27T00:00:00,875.0,885.0,860.0,875.0,0.0,5838000.0,5100854000.0,808.0
2020-11-30T00:00:00,875.0,885.0,815.0,830.0,-45.0,10315700.0,8733067500.0,1803.0
2020-12-01T00:00:00,830.0,860.0,820.0,850.0,20.0,6737400.0,5701029000.0,790.0
2020-12-02T00:00:00,850.0,870.0,855.0,865.0,15.0,5351100.0,4603469000.0,751.0
2020-12-03T00:00:00,865.0,885.0,865.0,870.0,5.0,4400400.0,3838029500.0,918.0
2020-12-04T00:00:00,870.0,885.0,855.0,870.0,0.0,5967400.0,5203767000.0,1159.0
2020-12-07T00:00:00,870.0,1060.0,880.0,1030.0,160.0,92804600.0,90699864500.0,6213.0
2020-12-08T00:00:00,1030.0,1170.0,1030.0,1055.0,25.0,151156200.0,167597049500.0,13456.0
2020-12-10T00:00:00,1055.0,1085.0,1020.0,1065.0,10.0,28542200.0,30130068000.0,3369.0
2020-12-11T00:00:00,1065.0,1065.0,1030.0,1030.0,-35.0,11404100.0,11844891500.0,1789.0
2020-12-14T00:00:00,1030.0,1055.0,1010.0,1025.0,-5.0,15825000.0,16330112500.0,1958.0
2020-12-15T00:00:00,1025.0,1045.0,1005.0,1035.0,10.0,13639700.0,13973621000.0,2326.0
2020-12-16T00:00:00,1035.0,1050.0,1025.0,1030.0,-5.0,11524900.0,11910949500.0,1713.0
2020-12-17T00:00:00,1030.0,1110.0,1025.0,1080.0,50.0,41135900.0,44228310500.0,4614.0
2020-12-18T00:00:00,1080.0,1095.0,1060.0,1065.0,-15.0,8176400.0,8738259500.0,1446.0
2020-12-21T00:00:00,1065.0,1085.0,1045.0,1065.0,0.0,12486300.0,13329185000.0,1671.0
2020-12-22T00:00:00,1065.0,1070.0,1005.0,1010.0,-55.0,17681700.0,18290035500.0,2519.0
2020-12-23T00:00:00,1010.0,1035.0,965.0,1005.0,-5.0,12498100.0,12445922000.0,1952.0
2020-12-28T00:00:00,1005.0,1095.0,1005.0,1085.0,80.0,34797900.0,37017022500.0,4447.0
2020-12-29T00:00:00,1085.0,1105.0,1030.0,1040.0,-45.0,17528200.0,18820243500.0,3400.0
2020-12-30T00:00:00,1040.0,1055.0,990.0,995.0,-45.0,10929000.0,11066081000.0,1970.0
2021-01-04T00:00:00,995.0,1025.0,940.0,1020.0,25.0,9424800.0,9348980000.0,1847.0
2021-01-05T00:00:00,1020.0,1030.0,980.0,1005.0,-15.0,6360900.0,6412625000.0,1149.0
2021-01-06T00:00:00,1005.0,1030.0,975.0,995.0,-10.0,10499900.0,10507802500.0,1862.0
2021-01-07T00:00:00,995.0,1040.0,1000.0,1025.0,30.0,17275100.0,17660673000.0,2048.0
2021-01-08T00:00:00,1025.0,1045.0,1010.0,1010.0,-15.0,16698200.0,17084204500.0,2328.0
2021-01-11T00:00:00,1010.0,1035.0,1005.0,1005.0,-5.0,10098100.0,10270007500.0,1628.0
2021-01-12T00:00:00,1005.0,1025.0,995.0,1000.0,-5.0,9328300.0,9388934500.0,1835.0
2021-01-13T00:00:00,1000.0,1020.0,1000.0,1000.0,0.0,9732700.0,9793107500.0,1441.0
2021-01-14T00:00:00,1000.0,1020.0,1000.0,1005.0,5.0,7923900.0,8016251500.0,1614.0
2021-01-15T00:00:00,1005.0,1020.0,1000.0,1005.0,0.0,5855800.0,5900857000.0,1023.0
2021-01-18T00:00:00,1005.0,1075.0,1000.0,1015.0,10.0,21960000.0,22609697000.0,3399.0
2021-01-19T00:00:00,1015.0,1030.0,990.0,990.0,-25.0,13187100.0,13180767500.0,1717.0
2021-01-20T00:00:00,990.0,1010.0,985.0,1005.0,15.0,7621700.0,7591362000.0,1218.0
2021-01-21T00:00:00,1005.0,1015.0,1000.0,1000.0,-5.0,5003000.0,5035165500.0,653.0
2021-01-22T00:00:00,1000.0,1010.0,980.0,990.0,-10.0,7489000.0,7420019000.0,1410.0
2021-01-25T00:00:00,990.0,990.0,950.0,960.0,-30.0,8763800.0,8407853000.0,1603.0
2021-01-26T00:00:00,960.0,975.0,915.0,925.0,-35.0,9636300.0,9056806000.0,1580.0
2021-01-27T00:00:00,925.0,930.0,885.0,900.0,-25.0,6646700.0,5991514000.0,1325.0
2021-01-28T00:00:00,900.0,915.0,855.0,860.0,-40.0,7336400.0,6437024500.0,1412.0
2021-01-29T00:00:00,860.0,905.0,825.0,855.0,-5.0,7062100.0,5998165500.0,1309.0
2021-02-01T00:00:00,855.0,910.0,825.0,895.0,40.0,6497300.0,5641329000.0,1401.0
2021-02-02T00:00:00,895.0,915.0,890.0,905.0,10.0,5440000.0,4902613500.0,1228.0
2021-02-03T00:00:00,905.0,980.0,900.0,980.0,75.0,14124600.0,13469019500.0,2656.0
2021-02-04T00:00:00,980.0,995.0,955.0,985.0,5.0,11388200.0,11192170500.0,2382.0
2021-02-05T00:00:00,985.0,1015.0,975.0,1005.0,20.0,11632500.0,11662639500.0,2094.0
2021-02-08T00:00:00,1005.0,1015.0,995.0,995.0,-10.0,6030100.0,6054181500.0,1723.0
