date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,83.0,88.0,80.0,84.0,1.0,66500.0,5474700.0,45.0
2020-10-08T00:00:00,84.0,99.0,80.0,88.0,4.0,244200.0,21222800.0,154.0
2020-10-09T00:00:00,88.0,93.0,85.0,89.0,1.0,80900.0,7102500.0,48.0
2020-10-12T00:00:00,89.0,94.0,83.0,84.0,-5.0,658400.0,56753900.0,69.0
2020-10-13T00:00:00,84.0,87.0,80.0,85.0,1.0,6100.0,507300.0,10.0
2020-10-14T00:00:00,85.0,87.0,85.0,87.0,2.0,7600.0,656500.0,17.0
2020-10-15T00:00:00,87.0,87.0,84.0,87.0,0.0,5600.0,471700.0,6.0
2020-10-16T00:00:00,87.0,87.0,82.0,82.0,-5.0,2000.0,170800.0,7.0
2020-10-19T00:00:00,82.0,87.0,80.0,86.0,4.0,1500.0,125600.0,8.0
2020-10-20T00:00:00,86.0,86.0,86.0,86.0,0.0,200.0,17200.0,1.0
2020-10-21T00:00:00,86.0,87.0,86.0,86.0,0.0,300.0,26000.0,2.0
2020-10-22T00:00:00,86.0,86.0,86.0,86.0,0.0,1500.0,129000.0,5.0
2020-10-23T00:00:00,86.0,87.0,86.0,86.0,0.0,6500.0,559200.0,2.0
2020-10-26T00:00:00,86.0,86.0,86.0,86.0,0.0,200.0,17200.0,1.0
2020-10-27T00:00:00,86.0,91.0,80.0,86.0,0.0,2800.0,235200.0,9.0
2020-11-02T00:00:00,86.0,91.0,80.0,88.0,2.0,7700.0,671000.0,22.0
2020-11-03T00:00:00,88.0,89.0,89.0,89.0,1.0,800.0,71200.0,2.0
2020-11-04T00:00:00,89.0,89.0,83.0,88.0,-1.0,900.0,78900.0,4.0
2020-11-05T00:00:00,88.0,89.0,82.0,87.0,-1.0,16800.0,1407400.0,13.0
2020-11-06T00:00:00,87.0,87.0,82.0,87.0,0.0,5500.0,478000.0,5.0
2020-11-09T00:00:00,87.0,88.0,81.0,86.0,-1.0,41600.0,3440400.0,22.0
2020-11-10T00:00:00,86.0,87.0,82.0,82.0,-4.0,12000.0,1001300.0,7.0
2020-11-11T00:00:00,82.0,86.0,78.0,84.0,2.0,7200.0,599800.0,21.0
2020-11-12T00:00:00,84.0,87.0,84.0,84.0,0.0,1300.0,109800.0,6.0
2020-11-13T00:00:00,84.0,87.0,83.0,87.0,3.0,70200.0,6047500.0,14.0
2020-11-16T00:00:00,87.0,90.0,87.0,87.0,0.0,2300.0,203200.0,15.0
2020-11-17T00:00:00,87.0,90.0,82.0,86.0,-1.0,17500.0,1496800.0,33.0
2020-11-18T00:00:00,86.0,86.0,80.0,83.0,-3.0,29000.0,2338900.0,16.0
2020-11-19T00:00:00,83.0,83.0,78.0,82.0,-1.0,171600.0,13505400.0,56.0
2020-11-20T00:00:00,82.0,83.0,77.0,82.0,0.0,95900.0,7495000.0,30.0
2020-11-23T00:00:00,82.0,86.0,77.0,85.0,3.0,110700.0,9015100.0,52.0
2020-11-24T00:00:00,85.0,85.0,80.0,81.0,-4.0,40000.0,3226200.0,23.0
2020-11-25T00:00:00,81.0,85.0,79.0,84.0,3.0,50600.0,4061700.0,23.0
2020-11-26T00:00:00,84.0,86.0,79.0,81.0,-3.0,227900.0,18159200.0,57.0
2020-11-27T00:00:00,81.0,83.0,80.0,81.0,0.0,74200.0,5944000.0,24.0
2020-11-30T00:00:00,81.0,83.0,76.0,76.0,-5.0,60700.0,4654100.0,31.0
2020-12-01T00:00:00,76.0,81.0,75.0,79.0,3.0,66700.0,5326500.0,39.0
2020-12-02T00:00:00,79.0,81.0,77.0,80.0,1.0,43600.0,3457700.0,50.0
2020-12-03T00:00:00,80.0,85.0,78.0,81.0,1.0,102800.0,8243700.0,74.0
2020-12-04T00:00:00,81.0,82.0,77.0,79.0,-2.0,165300.0,13066600.0,56.0
2020-12-07T00:00:00,79.0,83.0,75.0,79.0,0.0,119900.0,9296600.0,49.0
2020-12-08T00:00:00,79.0,92.0,78.0,82.0,3.0,137700.0,11057400.0,68.0
2020-12-10T00:00:00,82.0,84.0,79.0,82.0,0.0,48100.0,3879000.0,46.0
2020-12-11T00:00:00,82.0,84.0,80.0,82.0,0.0,37000.0,2982300.0,32.0
2020-12-14T00:00:00,82.0,83.0,78.0,81.0,-1.0,66800.0,5268700.0,34.0
2020-12-15T00:00:00,81.0,82.0,80.0,82.0,1.0,3400.0,276600.0,20.0
2020-12-16T00:00:00,82.0,84.0,78.0,83.0,1.0,119100.0,9630000.0,62.0
2020-12-17T00:00:00,83.0,83.0,80.0,83.0,0.0,26000.0,2106400.0,22.0
2020-12-18T00:00:00,83.0,88.0,78.0,82.0,-1.0,74100.0,5896900.0,17.0
2020-12-21T00:00:00,82.0,82.0,79.0,81.0,-1.0,3200.0,258300.0,8.0
2020-12-22T00:00:00,81.0,82.0,78.0,81.0,0.0,44500.0,3530100.0,27.0
2020-12-23T00:00:00,81.0,82.0,78.0,81.0,0.0,148800.0,11632100.0,36.0
2020-12-28T00:00:00,81.0,81.0,76.0,81.0,0.0,586500.0,44738000.0,24.0
2020-12-29T00:00:00,81.0,81.0,77.0,80.0,-1.0,21500.0,1705400.0,31.0
2020-12-30T00:00:00,80.0,85.0,78.0,81.0,1.0,16200.0,1295100.0,20.0
2021-01-04T00:00:00,81.0,82.0,80.0,80.0,-1.0,1900.0,152600.0,6.0
2021-01-05T00:00:00,80.0,82.0,80.0,80.0,0.0,11800.0,944200.0,12.0
2021-01-06T00:00:00,80.0,80.0,77.0,79.0,-1.0,7100.0,558400.0,10.0
2021-01-07T00:00:00,79.0,82.0,76.0,80.0,1.0,30300.0,2315700.0,16.0
2021-01-08T00:00:00,80.0,82.0,76.0,79.0,-1.0,39600.0,3037300.0,28.0
2021-01-11T00:00:00,79.0,82.0,75.0,77.0,-2.0,21200.0,1647200.0,19.0
2021-01-12T00:00:00,77.0,82.0,77.0,79.0,2.0,3400.0,267900.0,15.0
2021-01-13T00:00:00,79.0,80.0,78.0,80.0,1.0,15100.0,1205900.0,16.0
2021-01-14T00:00:00,80.0,84.0,77.0,80.0,0.0,58400.0,4657200.0,18.0
2021-01-15T00:00:00,80.0,80.0,79.0,79.0,-1.0,1200.0,95300.0,6.0
2021-01-18T00:00:00,79.0,99.0,79.0,81.0,2.0,105400.0,8798700.0,80.0
2021-01-19T00:00:00,81.0,81.0,79.0,79.0,-2.0,6200.0,495000.0,13.0
2021-01-20T00:00:00,79.0,80.0,79.0,79.0,0.0,10700.0,845600.0,6.0
2021-01-21T00:00:00,79.0,84.0,78.0,80.0,1.0,3500.0,281000.0,17.0
2021-01-22T00:00:00,80.0,81.0,78.0,78.0,-2.0,11800.0,941700.0,24.0
2021-01-25T00:00:00,78.0,82.0,75.0,79.0,1.0,13600.0,1082700.0,38.0
2021-01-26T00:00:00,79.0,79.0,74.0,78.0,-1.0,22700.0,1723000.0,20.0
2021-01-27T00:00:00,78.0,78.0,75.0,78.0,0.0,3300.0,252000.0,14.0
2021-01-28T00:00:00,78.0,79.0,75.0,79.0,1.0,53900.0,4072100.0,31.0
2021-01-29T00:00:00,79.0,76.0,74.0,76.0,-3.0,30300.0,2250200.0,14.0
2021-02-01T00:00:00,76.0,76.0,74.0,76.0,0.0,2300.0,172200.0,8.0
2021-02-02T00:00:00,76.0,80.0,76.0,76.0,0.0,2800.0,218800.0,17.0
2021-02-03T00:00:00,76.0,80.0,76.0,79.0,3.0,19900.0,1572200.0,21.0
2021-02-04T00:00:00,79.0,84.0,74.0,79.0,0.0,9600.0,757100.0,28.0
2021-02-05T00:00:00,79.0,80.0,75.0,80.0,1.0,7800.0,618200.0,12.0
2021-02-08T00:00:00,80.0,80.0,75.0,79.0,-1.0,12600.0,976500.0,20.0
2021-02-09T00:00:00,79.0,80.0,76.0,78.0,-1.0,92700.0,7067400.0,37.0
2021-02-10T00:00:00,78.0,89.0,76.0,78.0,0.0,38200.0,3046800.0,47.0
2021-02-11T00:00:00,78.0,80.0,77.0,78.0,0.0,3200.0,248600.0,12.0
2021-02-15T00:00:00,78.0,80.0,73.0,76.0,-2.0,300300.0,22096400.0,38.0
2021-02-16T00:00:00,76.0,78.0,74.0,76.0,0.0,4200.0,318700.0,16.0
2021-02-17T00:00:00,76.0,78.0,76.0,76.0,0.0,1500.0,115400.0,10.0
2021-02-18T00:00:00,76.0,78.0,76.0,76.0,0.0,12400.0,944800.0,15.0
2021-02-19T00:00:00,76.0,81.0,75.0,79.0,3.0,22200.0,1748100.0,29.0
