date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,53.0,54.0,50.0,51.0,-2.0,561887000.0,28436458800.0,2553.0
2020-10-08T00:00:00,51.0,54.0,51.0,52.0,1.0,108610300.0,5690560000.0,1062.0
2020-10-09T00:00:00,52.0,53.0,52.0,53.0,1.0,25363300.0,1325416700.0,517.0
2020-10-12T00:00:00,53.0,53.0,51.0,52.0,-1.0,41902400.0,2180183900.0,689.0
2020-10-13T00:00:00,52.0,53.0,50.0,51.0,-1.0,75763900.0,3877092800.0,932.0
2020-10-14T00:00:00,51.0,53.0,51.0,52.0,1.0,44797800.0,2307840700.0,503.0
2020-10-15T00:00:00,52.0,53.0,51.0,51.0,-1.0,37136500.0,1916305900.0,351.0
2020-10-16T00:00:00,51.0,53.0,51.0,52.0,1.0,63560800.0,3332535700.0,483.0
2020-10-19T00:00:00,52.0,53.0,50.0,51.0,-1.0,160031100.0,8205311700.0,541.0
2020-10-20T00:00:00,51.0,53.0,51.0,51.0,0.0,43373300.0,2240754100.0,342.0
2020-10-21T00:00:00,51.0,53.0,50.0,51.0,0.0,311105800.0,15701760000.0,796.0
2020-10-22T00:00:00,51.0,52.0,50.0,51.0,0.0,137059600.0,6926402400.0,367.0
2020-10-23T00:00:00,51.0,53.0,51.0,52.0,1.0,98117100.0,5116612600.0,1145.0
2020-10-26T00:00:00,52.0,53.0,50.0,51.0,-1.0,305412800.0,15405093500.0,608.0
2020-10-27T00:00:00,51.0,52.0,50.0,51.0,0.0,72067000.0,3670564600.0,292.0
2020-11-02T00:00:00,51.0,53.0,50.0,52.0,1.0,138504200.0,7186492800.0,1093.0
2020-11-03T00:00:00,52.0,59.0,52.0,58.0,6.0,334593700.0,18596567600.0,3739.0
2020-11-04T00:00:00,58.0,60.0,54.0,56.0,-2.0,155915800.0,8775073500.0,1580.0
2020-11-05T00:00:00,56.0,62.0,56.0,62.0,6.0,300336900.0,17901535400.0,2626.0
2020-11-06T00:00:00,62.0,66.0,61.0,65.0,3.0,212293600.0,13448458800.0,1721.0
2020-11-09T00:00:00,65.0,67.0,62.0,65.0,0.0,172935100.0,11119108300.0,1492.0
2020-11-10T00:00:00,65.0,65.0,61.0,61.0,-4.0,98759900.0,6071915700.0,947.0
2020-11-11T00:00:00,61.0,63.0,58.0,61.0,0.0,69620200.0,4235284400.0,1005.0
2020-11-12T00:00:00,61.0,65.0,61.0,64.0,3.0,132615400.0,8459503400.0,1658.0
2020-11-13T00:00:00,64.0,66.0,63.0,65.0,1.0,119320700.0,7726116700.0,888.0
2020-11-16T00:00:00,65.0,66.0,63.0,64.0,-1.0,43630100.0,2798417000.0,460.0
