date,previous,high,low,close,change,volume,value,frequency
2021-12-16T00:00:00,117.0,157.0,130.0,157.0,40.0,285218500.0,43875957400.0,11158.0
2021-12-17T00:00:00,157.0,208.0,147.0,153.0,-4.0,212272300.0,33608212300.0,18941.0
2021-12-20T00:00:00,153.0,154.0,143.0,143.0,-10.0,44465000.0,6410519900.0,6481.0
2021-12-21T00:00:00,143.0,143.0,133.0,140.0,-3.0,24014700.0,3294781900.0,1408.0
2021-12-22T00:00:00,140.0,140.0,131.0,131.0,-9.0,7602400.0,1007351200.0,1152.0
2021-12-23T00:00:00,131.0,153.0,130.0,140.0,9.0,32662900.0,4690472900.0,3415.0
2021-12-24T00:00:00,140.0,150.0,135.0,148.0,8.0,16541200.0,2381248500.0,1167.0
2021-12-27T00:00:00,148.0,153.0,142.0,151.0,3.0,13406500.0,2007151500.0,697.0
2021-12-28T00:00:00,151.0,175.0,151.0,167.0,16.0,60809300.0,9947129000.0,3328.0
2021-12-29T00:00:00,167.0,199.0,163.0,184.0,17.0,73545100.0,13280271700.0,5482.0
2021-12-30T00:00:00,184.0,210.0,183.0,194.0,10.0,63802400.0,12563338800.0,4636.0
2022-01-03T00:00:00,194.0,196.0,181.0,182.0,-12.0,18364200.0,3416064400.0,1322.0
2022-01-04T00:00:00,182.0,200.0,182.0,193.0,11.0,24438100.0,4742125900.0,1249.0
2022-01-05T00:00:00,193.0,254.0,195.0,246.0,53.0,82104600.0,19140791100.0,7519.0
2022-01-06T00:00:00,246.0,258.0,230.0,238.0,-8.0,27693300.0,6769802000.0,2374.0
2022-01-07T00:00:00,238.0,292.0,238.0,278.0,40.0,50184700.0,13712688200.0,5583.0
2022-01-10T00:00:00,278.0,332.0,278.0,322.0,44.0,53727600.0,16985332000.0,6828.0
2022-01-11T00:00:00,322.0,366.0,304.0,316.0,-6.0,50288900.0,16918553000.0,7962.0
2022-01-12T00:00:00,316.0,368.0,318.0,350.0,34.0,50179000.0,17514242600.0,6544.0
2022-01-13T00:00:00,350.0,394.0,350.0,392.0,42.0,40296400.0,14958622200.0,6170.0
2022-01-14T00:00:00,392.0,418.0,374.0,406.0,14.0,52409100.0,21091536600.0,6022.0
2022-01-17T00:00:00,406.0,418.0,386.0,392.0,-14.0,15264900.0,6041722800.0,2154.0
2022-01-18T00:00:00,392.0,402.0,380.0,390.0,-2.0,10599600.0,4101936400.0,1591.0
2022-01-19T00:00:00,390.0,404.0,384.0,396.0,6.0,12687300.0,5036782600.0,1349.0
2022-01-20T00:00:00,396.0,400.0,386.0,398.0,2.0,10388300.0,4086671400.0,1080.0
2022-01-21T00:00:00,398.0,416.0,398.0,412.0,14.0,24855400.0,10176537800.0,2990.0
2022-01-24T00:00:00,412.0,430.0,404.0,430.0,18.0,27163900.0,11362304400.0,3260.0
2022-01-25T00:00:00,430.0,450.0,426.0,430.0,0.0,27986700.0,12275893200.0,3293.0
2022-01-26T00:00:00,430.0,456.0,426.0,456.0,26.0,18541700.0,8215818800.0,2033.0
2022-01-27T00:00:00,456.0,476.0,448.0,472.0,16.0,11379500.0,5311978200.0,2193.0
2022-01-28T00:00:00,472.0,480.0,470.0,470.0,-2.0,5804100.0,2750078400.0,1336.0
2022-01-31T00:00:00,470.0,498.0,442.0,494.0,24.0,33752100.0,16258896600.0,2951.0
2022-02-02T00:00:00,494.0,580.0,488.0,560.0,66.0,35172300.0,18640435600.0,4561.0
2022-02-03T00:00:00,560.0,585.0,550.0,580.0,20.0,15653900.0,8928614500.0,2652.0
2022-02-04T00:00:00,580.0,680.0,565.0,620.0,40.0,29439600.0,18003604000.0,5147.0
2022-02-07T00:00:00,620.0,650.0,610.0,645.0,25.0,7273100.0,4648845000.0,2085.0
2022-02-08T00:00:00,645.0,720.0,650.0,720.0,75.0,15885800.0,10992837500.0,4460.0
2022-02-09T00:00:00,720.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0
2022-02-10T00:00:00,720.0,725.0,670.0,670.0,-50.0,2672100.0,1792935500.0,622.0
2022-02-11T00:00:00,670.0,625.0,625.0,625.0,-45.0,620200.0,387625000.0,347.0
2022-02-14T00:00:00,625.0,585.0,585.0,585.0,-40.0,2175400.0,1272609000.0,420.0
2022-02-15T00:00:00,585.0,715.0,545.0,680.0,95.0,69782600.0,43439601500.0,11885.0
2022-02-16T00:00:00,680.0,710.0,635.0,665.0,-15.0,30797300.0,20892559000.0,4436.0
2022-02-17T00:00:00,665.0,695.0,620.0,620.0,-45.0,22363200.0,14461882500.0,3754.0
2022-02-18T00:00:00,620.0,640.0,580.0,580.0,-40.0,16382200.0,9755357000.0,3154.0
2022-02-21T00:00:00,580.0,605.0,540.0,580.0,0.0,14490400.0,8178352000.0,2704.0
2022-02-22T00:00:00,580.0,615.0,570.0,575.0,-5.0,10272500.0,6105167500.0,1837.0
2022-02-23T00:00:00,575.0,600.0,550.0,590.0,15.0,10728900.0,6197412500.0,1177.0
2022-02-24T00:00:00,590.0,595.0,550.0,550.0,-40.0,6887200.0,3904158000.0,1051.0
2022-02-25T00:00:00,550.0,535.0,515.0,515.0,-35.0,3169300.0,1638910500.0,565.0
2022-03-01T00:00:00,515.0,480.0,480.0,480.0,-35.0,647000.0,310560000.0,222.0
2022-03-02T00:00:00,480.0,450.0,448.0,448.0,-32.0,626900.0,280871200.0,205.0
2022-03-04T00:00:00,448.0,492.0,418.0,430.0,-18.0,9136900.0,3950328400.0,2641.0
2022-03-07T00:00:00,430.0,448.0,400.0,410.0,-20.0,8678700.0,3644579800.0,1665.0
2022-03-08T00:00:00,410.0,505.0,406.0,408.0,-2.0,2013200.0,832960100.0,768.0
2022-03-09T00:00:00,408.0,426.0,400.0,408.0,0.0,4886700.0,2024536400.0,722.0
2022-03-10T00:00:00,408.0,422.0,408.0,418.0,10.0,3002200.0,1241464800.0,505.0
2022-03-11T00:00:00,418.0,510.0,420.0,456.0,38.0,21355500.0,10017357000.0,7072.0
2022-03-14T00:00:00,456.0,488.0,434.0,454.0,-2.0,8361900.0,3861387600.0,2612.0
2022-03-15T00:00:00,454.0,480.0,440.0,470.0,16.0,5983800.0,2739979000.0,1205.0
2022-03-16T00:00:00,470.0,505.0,472.0,488.0,18.0,8298700.0,4044554800.0,2468.0
2022-03-17T00:00:00,488.0,498.0,466.0,472.0,-16.0,3750500.0,1793423200.0,1222.0
2022-03-18T00:00:00,472.0,498.0,462.0,498.0,26.0,7304500.0,3506832000.0,1421.0
2022-03-21T00:00:00,498.0,535.0,492.0,535.0,37.0,10021300.0,5199119700.0,2265.0
2022-03-22T00:00:00,535.0,585.0,498.0,575.0,40.0,70456900.0,36340709500.0,5403.0
2022-03-23T00:00:00,575.0,585.0,560.0,565.0,-10.0,5714900.0,3274676500.0,1594.0
2022-03-24T00:00:00,565.0,570.0,535.0,535.0,-30.0,6516100.0,3542779500.0,1425.0
2022-03-25T00:00:00,535.0,665.0,535.0,665.0,130.0,49140200.0,31119178000.0,7046.0
2022-03-28T00:00:00,665.0,810.0,650.0,675.0,10.0,113882900.0,82794174500.0,23196.0
2022-03-29T00:00:00,675.0,680.0,630.0,635.0,-40.0,20989000.0,13453275500.0,3950.0
2022-03-30T00:00:00,635.0,730.0,630.0,705.0,70.0,55793200.0,39101399500.0,10562.0
2022-03-31T00:00:00,705.0,880.0,660.0,880.0,175.0,80418800.0,63168159000.0,14759.0
2022-04-01T00:00:00,880.0,1070.0,870.0,890.0,10.0,97906800.0,93653832000.0,26332.0
