date,previous,high,low,close,change,volume,value,frequency
2020-10-07T00:00:00,92.0,94.0,91.0,93.0,1.0,15615200.0,1445915600.0,621.0
2020-10-08T00:00:00,93.0,95.0,92.0,92.0,-1.0,30734300.0,2855802900.0,765.0
2020-10-09T00:00:00,92.0,96.0,92.0,95.0,3.0,54125100.0,5087456700.0,1423.0
2020-10-12T00:00:00,95.0,97.0,94.0,96.0,1.0,67400000.0,6447692800.0,1735.0
2020-10-13T00:00:00,96.0,97.0,94.0,95.0,-1.0,23094000.0,2195125200.0,878.0
2020-10-14T00:00:00,95.0,98.0,95.0,97.0,2.0,41849300.0,4043983300.0,1586.0
2020-10-15T00:00:00,97.0,97.0,95.0,96.0,-1.0,30667900.0,2935271100.0,783.0
2020-10-16T00:00:00,96.0,96.0,94.0,95.0,-1.0,12594500.0,1191011600.0,410.0
2020-10-19T00:00:00,95.0,96.0,94.0,94.0,-1.0,12404900.0,1172593900.0,480.0
2020-10-20T00:00:00,94.0,95.0,93.0,94.0,0.0,18672100.0,1749905500.0,440.0
2020-10-21T00:00:00,94.0,97.0,93.0,94.0,0.0,41155800.0,3901696200.0,923.0
2020-10-22T00:00:00,94.0,95.0,93.0,95.0,1.0,12988200.0,1225414400.0,375.0
2020-10-23T00:00:00,95.0,97.0,94.0,94.0,-1.0,35203100.0,3352622600.0,1053.0
2020-10-26T00:00:00,94.0,97.0,94.0,95.0,1.0,28568300.0,2724752600.0,811.0
2020-10-27T00:00:00,95.0,99.0,95.0,96.0,1.0,76750100.0,7468692300.0,2328.0
2020-11-02T00:00:00,96.0,98.0,94.0,96.0,0.0,32705100.0,3146628100.0,745.0
2020-11-03T00:00:00,96.0,96.0,94.0,95.0,-1.0,29952700.0,2853814000.0,753.0
2020-11-04T00:00:00,95.0,97.0,94.0,94.0,-1.0,17330300.0,1653333700.0,501.0
2020-11-05T00:00:00,94.0,96.0,93.0,96.0,2.0,19216500.0,1824154700.0,673.0
2020-11-06T00:00:00,96.0,98.0,95.0,96.0,0.0,27817700.0,2682183800.0,775.0
2020-11-09T00:00:00,96.0,107.0,96.0,102.0,6.0,320081100.0,33017538300.0,7830.0
2020-11-10T00:00:00,102.0,104.0,100.0,101.0,-1.0,49900200.0,5068693400.0,1655.0
2020-11-11T00:00:00,101.0,106.0,101.0,102.0,1.0,60522800.0,6240629900.0,2053.0
2020-11-12T00:00:00,102.0,110.0,103.0,103.0,1.0,164128300.0,17428793400.0,4410.0
2020-11-13T00:00:00,103.0,111.0,104.0,106.0,3.0,201668900.0,21711877500.0,4560.0
2020-11-16T00:00:00,106.0,109.0,102.0,104.0,-2.0,64716800.0,6724092500.0,1736.0
2020-11-17T00:00:00,104.0,105.0,101.0,101.0,-3.0,84180300.0,8613166600.0,1953.0
2020-11-18T00:00:00,101.0,103.0,98.0,100.0,-1.0,67302300.0,6736591800.0,1925.0
2020-11-19T00:00:00,100.0,106.0,101.0,104.0,4.0,136498900.0,14207890500.0,3599.0
2020-11-20T00:00:00,104.0,107.0,102.0,104.0,0.0,95744300.0,10029592400.0,2600.0
2020-11-23T00:00:00,104.0,107.0,104.0,106.0,2.0,69676900.0,7356839700.0,1991.0
2020-11-24T00:00:00,106.0,109.0,106.0,106.0,0.0,58238500.0,6208647500.0,1362.0
2020-11-25T00:00:00,106.0,109.0,104.0,105.0,-1.0,74089800.0,7904807200.0,1486.0
2020-11-26T00:00:00,105.0,107.0,103.0,104.0,-1.0,47440900.0,4955035600.0,1179.0
2020-11-27T00:00:00,104.0,122.0,104.0,115.0,11.0,770759000.0,89436137700.0,17335.0
2020-11-30T00:00:00,115.0,136.0,117.0,125.0,10.0,1253224100.0,159665329300.0,27645.0
2020-12-01T00:00:00,125.0,130.0,120.0,126.0,1.0,261166300.0,32804556900.0,6762.0
2020-12-02T00:00:00,126.0,130.0,124.0,126.0,0.0,102980000.0,12974766400.0,2960.0
2020-12-03T00:00:00,126.0,134.0,124.0,133.0,7.0,317503900.0,41492019200.0,7323.0
2020-12-04T00:00:00,133.0,135.0,126.0,132.0,-1.0,167390700.0,21796201100.0,4302.0
2020-12-07T00:00:00,132.0,139.0,132.0,133.0,1.0,252123000.0,34001994500.0,7567.0
2020-12-08T00:00:00,133.0,139.0,130.0,134.0,1.0,209666600.0,28338214800.0,5755.0
2020-12-10T00:00:00,134.0,136.0,130.0,131.0,-3.0,60805500.0,8016333400.0,2200.0
2020-12-11T00:00:00,131.0,143.0,131.0,140.0,9.0,377878500.0,52192431000.0,7685.0
2020-12-14T00:00:00,140.0,154.0,137.0,145.0,5.0,482414000.0,70610697200.0,13051.0
2020-12-15T00:00:00,145.0,146.0,139.0,141.0,-4.0,137502300.0,19465374200.0,3565.0
2020-12-16T00:00:00,141.0,149.0,140.0,143.0,2.0,157581700.0,22862502300.0,3830.0
2020-12-17T00:00:00,143.0,146.0,138.0,140.0,-3.0,94355200.0,13330671200.0,2608.0
2020-12-18T00:00:00,140.0,145.0,139.0,143.0,3.0,89960300.0,12766622300.0,2439.0
2020-12-21T00:00:00,143.0,166.0,141.0,159.0,16.0,727855200.0,113373598400.0,15206.0
2020-12-22T00:00:00,159.0,161.0,148.0,148.0,-11.0,243597600.0,37281183500.0,6694.0
2020-12-23T00:00:00,148.0,152.0,138.0,149.0,1.0,165912500.0,24056690600.0,4898.0
2020-12-28T00:00:00,149.0,163.0,151.0,157.0,8.0,373782500.0,58961557900.0,8154.0
2020-12-29T00:00:00,157.0,159.0,151.0,151.0,-6.0,99212300.0,15295224400.0,3481.0
2020-12-30T00:00:00,151.0,153.0,141.0,144.0,-7.0,151136600.0,21898827900.0,4200.0
2021-01-04T00:00:00,144.0,155.0,138.0,153.0,9.0,285343700.0,42597978400.0,7780.0
2021-01-05T00:00:00,153.0,158.0,151.0,153.0,0.0,251802500.0,38996251700.0,7755.0
2021-01-06T00:00:00,153.0,159.0,146.0,153.0,0.0,194112900.0,29614321300.0,4859.0
2021-01-07T00:00:00,153.0,160.0,151.0,154.0,1.0,181555500.0,28302787400.0,5068.0
2021-01-08T00:00:00,154.0,156.0,149.0,150.0,-4.0,108818800.0,16514056300.0,3443.0
2021-01-11T00:00:00,150.0,152.0,147.0,148.0,-2.0,94110400.0,13975013900.0,3328.0
2021-01-12T00:00:00,148.0,151.0,143.0,146.0,-2.0,84992100.0,12472626000.0,3076.0
2021-01-13T00:00:00,146.0,152.0,144.0,151.0,5.0,200287900.0,29942025700.0,5068.0
2021-01-14T00:00:00,151.0,154.0,147.0,147.0,-4.0,93518900.0,14006276300.0,3680.0
2021-01-15T00:00:00,147.0,149.0,141.0,144.0,-3.0,97193700.0,14099784500.0,3190.0
2021-01-18T00:00:00,144.0,145.0,134.0,134.0,-10.0,144937500.0,20042312900.0,5143.0
2021-01-19T00:00:00,134.0,145.0,126.0,130.0,-4.0,214969700.0,29171206800.0,6870.0
2021-01-20T00:00:00,130.0,135.0,125.0,135.0,5.0,82382800.0,10844802100.0,2818.0
2021-01-21T00:00:00,135.0,145.0,136.0,141.0,6.0,187453500.0,26447889300.0,6890.0
2021-01-22T00:00:00,141.0,144.0,132.0,132.0,-9.0,174330000.0,23610945000.0,5873.0
2021-01-25T00:00:00,132.0,132.0,123.0,124.0,-8.0,88733800.0,11149490000.0,2904.0
2021-01-26T00:00:00,124.0,127.0,116.0,116.0,-8.0,100010200.0,11969425800.0,3044.0
2021-01-27T00:00:00,116.0,130.0,108.0,130.0,14.0,234354700.0,27752582500.0,6000.0
2021-01-28T00:00:00,130.0,133.0,121.0,121.0,-9.0,152601100.0,19158420400.0,4865.0
2021-01-29T00:00:00,121.0,122.0,113.0,113.0,-8.0,120667500.0,13811524800.0,3295.0
2021-02-01T00:00:00,113.0,118.0,108.0,118.0,5.0,92744200.0,10768870700.0,3149.0
2021-02-02T00:00:00,118.0,124.0,113.0,114.0,-4.0,75754400.0,8956172100.0,2783.0
2021-02-03T00:00:00,114.0,117.0,113.0,116.0,2.0,41957000.0,4843734400.0,1385.0
2021-02-04T00:00:00,116.0,117.0,111.0,114.0,-2.0,35452200.0,4049609100.0,1621.0
2021-02-05T00:00:00,114.0,120.0,115.0,117.0,3.0,51620300.0,6038366400.0,1947.0
2021-02-08T00:00:00,117.0,122.0,117.0,120.0,3.0,72747600.0,8691433900.0,2621.0
2021-02-09T00:00:00,120.0,129.0,120.0,124.0,4.0,230113100.0,28568090500.0,6444.0
2021-02-10T00:00:00,124.0,127.0,121.0,122.0,-2.0,94544300.0,11732301200.0,4514.0
2021-02-11T00:00:00,122.0,124.0,118.0,119.0,-3.0,35900300.0,4318313500.0,2057.0
2021-02-15T00:00:00,119.0,123.0,119.0,122.0,3.0,44448000.0,5384554200.0,1803.0
2021-02-16T00:00:00,122.0,128.0,123.0,123.0,1.0,160895400.0,20222795700.0,6239.0
2021-02-17T00:00:00,123.0,125.0,120.0,123.0,0.0,52168100.0,6400626400.0,1751.0
2021-02-18T00:00:00,123.0,127.0,121.0,121.0,-2.0,38469700.0,4738137700.0,2487.0
2021-02-19T00:00:00,121.0,121.0,117.0,119.0,-2.0,37383900.0,4433861500.0,1692.0
2021-02-22T00:00:00,119.0,121.0,118.0,119.0,0.0,25904700.0,3086442600.0,1359.0
2021-02-23T00:00:00,119.0,124.0,117.0,123.0,4.0,60795200.0,7385061000.0,3083.0
2021-02-24T00:00:00,123.0,126.0,119.0,122.0,-1.0,83017700.0,10166802100.0,2954.0
2021-02-25T00:00:00,122.0,124.0,120.0,121.0,-1.0,52731800.0,6422017600.0,1677.0
2021-02-26T00:00:00,121.0,121.0,117.0,118.0,-3.0,53030800.0,6306310800.0,1673.0
2021-03-01T00:00:00,118.0,120.0,117.0,119.0,1.0,45515800.0,5386410700.0,1854.0
2021-03-02T00:00:00,119.0,121.0,116.0,117.0,-2.0,52276700.0,6160557500.0,2095.0
2021-03-03T00:00:00,117.0,118.0,113.0,114.0,-3.0,68115400.0,7829608000.0,2394.0
2021-03-04T00:00:00,114.0,116.0,111.0,114.0,0.0,30812700.0,3505380800.0,1602.0
2021-03-05T00:00:00,114.0,116.0,113.0,113.0,-1.0,24375300.0,2775876000.0,1122.0
2021-03-08T00:00:00,113.0,120.0,113.0,120.0,7.0,177808600.0,20897389800.0,5138.0
2021-03-09T00:00:00,120.0,127.0,118.0,119.0,-1.0,317661500.0,39186460400.0,11966.0
2021-03-10T00:00:00,119.0,122.0,117.0,118.0,-1.0,45377600.0,5400977500.0,2083.0
2021-03-12T00:00:00,118.0,138.0,119.0,135.0,17.0,1138747300.0,151111599200.0,27213.0
2021-03-15T00:00:00,135.0,146.0,128.0,131.0,-4.0,830701000.0,114093075600.0,26122.0
2021-03-16T00:00:00,131.0,132.0,125.0,127.0,-4.0,155173700.0,19936788300.0,6568.0
2021-03-17T00:00:00,127.0,128.0,123.0,126.0,-1.0,88888700.0,11081959900.0,3953.0
2021-03-18T00:00:00,126.0,134.0,128.0,129.0,3.0,191120600.0,24963745000.0,6320.0
2021-03-19T00:00:00,129.0,128.0,124.0,125.0,-4.0,69635700.0,8749225500.0,2756.0
2021-03-22T00:00:00,125.0,126.0,123.0,123.0,-2.0,55758300.0,6908997800.0,2267.0
2021-03-23T00:00:00,123.0,134.0,125.0,134.0,11.0,384421900.0,50062556500.0,12630.0
2021-03-24T00:00:00,134.0,136.0,125.0,125.0,-9.0,218784700.0,28074423100.0,8733.0
2021-03-25T00:00:00,125.0,127.0,117.0,120.0,-5.0,164445100.0,19800279400.0,5225.0
2021-03-26T00:00:00,120.0,122.0,118.0,121.0,1.0,59381400.0,7156843100.0,2090.0
2021-03-29T00:00:00,121.0,122.0,115.0,116.0,-5.0,68258300.0,8015082800.0,2606.0
2021-03-30T00:00:00,116.0,118.0,112.0,112.0,-4.0,54469300.0,6229884500.0,2418.0
2021-03-31T00:00:00,112.0,116.0,109.0,111.0,-1.0,71534100.0,7972375100.0,2487.0
2021-04-01T00:00:00,111.0,116.0,111.0,116.0,5.0,50644800.0,5774143000.0,2329.0
2021-04-05T00:00:00,116.0,119.0,113.0,114.0,-2.0,30533000.0,3506847300.0,1384.0
2021-04-06T00:00:00,114.0,117.0,112.0,117.0,3.0,30604400.0,3499431100.0,1395.0
2021-04-07T00:00:00,117.0,118.0,115.0,115.0,-2.0,16861700.0,1949362600.0,1022.0
2021-04-08T00:00:00,115.0,119.0,115.0,117.0,2.0,37889900.0,4418092600.0,1626.0
2021-04-09T00:00:00,117.0,119.0,116.0,117.0,0.0,26687100.0,3127800300.0,994.0
2021-04-12T00:00:00,117.0,118.0,111.0,112.0,-5.0,43293300.0,4902710800.0,1534.0
2021-04-13T00:00:00,112.0,114.0,108.0,114.0,2.0,37220500.0,4147299600.0,1383.0
2021-04-14T00:00:00,114.0,115.0,112.0,113.0,-1.0,20732700.0,2346230400.0,1080.0
2021-04-15T00:00:00,113.0,116.0,113.0,113.0,0.0,26751600.0,3053303000.0,1302.0
2021-04-16T00:00:00,113.0,116.0,113.0,113.0,0.0,13157400.0,1501607900.0,957.0
2021-04-19T00:00:00,113.0,117.0,111.0,113.0,0.0,44062100.0,5045823200.0,1896.0
2021-04-20T00:00:00,113.0,115.0,111.0,114.0,1.0,20590800.0,2325554300.0,862.0
2021-04-21T00:00:00,114.0,121.0,113.0,121.0,7.0,145601000.0,17199248000.0,5382.0
2021-04-22T00:00:00,121.0,123.0,117.0,118.0,-3.0,81685600.0,9747589100.0,3401.0
2021-04-23T00:00:00,118.0,120.0,115.0,117.0,-1.0,45008200.0,5291181300.0,1614.0
2021-04-26T00:00:00,117.0,118.0,115.0,115.0,-2.0,28271300.0,3276382300.0,1064.0
2021-04-27T00:00:00,115.0,118.0,114.0,118.0,3.0,37221200.0,4316192700.0,1460.0
