date,previous,high,low,close,change,volume,value,frequency
2021-09-08T00:00:00,680.0,850.0,700.0,850.0,170.0,84199200.0,69830738500.0,7132.0
2021-09-09T00:00:00,850.0,950.0,800.0,860.0,10.0,79280900.0,68508552500.0,13935.0
2021-09-10T00:00:00,860.0,865.0,805.0,820.0,-40.0,14105800.0,11688291000.0,1777.0
2021-09-13T00:00:00,820.0,820.0,785.0,805.0,-15.0,7922500.0,6348973500.0,1230.0
2021-09-14T00:00:00,805.0,815.0,800.0,815.0,10.0,5772200.0,4675825500.0,677.0
2021-09-15T00:00:00,815.0,850.0,805.0,840.0,25.0,42961000.0,35580750000.0,1963.0
2021-09-16T00:00:00,840.0,870.0,830.0,860.0,20.0,39646100.0,33650369000.0,1731.0
2021-09-17T00:00:00,860.0,865.0,845.0,865.0,5.0,53091300.0,45281917500.0,1400.0
2021-09-20T00:00:00,865.0,895.0,870.0,890.0,25.0,41008800.0,36261155000.0,1586.0
2021-09-21T00:00:00,890.0,910.0,895.0,910.0,20.0,33299100.0,30129640500.0,1269.0
2021-09-22T00:00:00,910.0,945.0,905.0,945.0,35.0,40179800.0,37001246000.0,1382.0
2021-09-23T00:00:00,945.0,950.0,940.0,940.0,-5.0,28241100.0,26694403000.0,1226.0
2021-09-24T00:00:00,940.0,960.0,945.0,960.0,20.0,26863700.0,25538417500.0,1134.0
2021-09-27T00:00:00,960.0,970.0,950.0,960.0,0.0,28751800.0,27655562500.0,1135.0
2021-09-28T00:00:00,960.0,980.0,960.0,980.0,20.0,28266100.0,27454538000.0,1025.0
2021-09-29T00:00:00,980.0,980.0,955.0,960.0,-20.0,27714800.0,26710792500.0,1169.0
2021-09-30T00:00:00,960.0,960.0,950.0,960.0,0.0,28097000.0,26896924000.0,872.0
2021-10-01T00:00:00,960.0,960.0,945.0,960.0,0.0,30257800.0,28800536500.0,1012.0
2021-10-04T00:00:00,960.0,965.0,955.0,960.0,0.0,26065800.0,25008652000.0,955.0
2021-10-05T00:00:00,960.0,990.0,960.0,985.0,25.0,26922400.0,26305647000.0,1049.0
2021-10-06T00:00:00,985.0,990.0,975.0,980.0,-5.0,21705900.0,21288743000.0,778.0
2021-10-07T00:00:00,980.0,980.0,935.0,945.0,-35.0,28425300.0,27243726000.0,882.0
2021-10-08T00:00:00,945.0,960.0,935.0,940.0,-5.0,19928800.0,18867449500.0,668.0
2021-10-11T00:00:00,940.0,940.0,930.0,940.0,0.0,22873400.0,21473801500.0,857.0
2021-10-12T00:00:00,940.0,940.0,920.0,930.0,-10.0,54034300.0,50320894000.0,1711.0
2021-10-13T00:00:00,930.0,945.0,925.0,940.0,10.0,56221200.0,52685997500.0,1597.0
2021-10-14T00:00:00,940.0,960.0,935.0,945.0,5.0,64590900.0,61286818500.0,1599.0
2021-10-15T00:00:00,945.0,950.0,940.0,945.0,0.0,57612500.0,54497052000.0,1429.0
2021-10-18T00:00:00,945.0,950.0,935.0,950.0,5.0,57276400.0,53947348500.0,1458.0
2021-10-19T00:00:00,950.0,950.0,925.0,935.0,-15.0,53871200.0,50457111500.0,1459.0
2021-10-21T00:00:00,935.0,935.0,915.0,920.0,-15.0,27957100.0,25848769500.0,764.0
2021-10-22T00:00:00,920.0,940.0,905.0,940.0,20.0,56987700.0,52336369000.0,1569.0
2021-10-25T00:00:00,940.0,980.0,930.0,980.0,40.0,61698800.0,58754544000.0,1434.0
2021-10-26T00:00:00,980.0,985.0,965.0,985.0,5.0,53775800.0,52464109500.0,1540.0
2021-10-27T00:00:00,985.0,980.0,965.0,975.0,-10.0,52153700.0,50813386500.0,1365.0
2021-10-28T00:00:00,975.0,990.0,965.0,985.0,10.0,55682300.0,54536181000.0,1556.0
2021-10-29T00:00:00,985.0,1025.0,980.0,1025.0,40.0,64323500.0,64000502000.0,2093.0
2021-11-01T00:00:00,1025.0,1030.0,1020.0,1020.0,-5.0,50470300.0,51806379000.0,1521.0
2021-11-02T00:00:00,1020.0,1020.0,995.0,1015.0,-5.0,53465800.0,53839905500.0,1281.0
2021-11-03T00:00:00,1015.0,1025.0,1005.0,1025.0,10.0,48874300.0,49609166500.0,1520.0
2021-11-04T00:00:00,1025.0,1070.0,1020.0,1055.0,30.0,52762700.0,55372343000.0,1832.0
2021-11-05T00:00:00,1055.0,1065.0,1040.0,1045.0,-10.0,50190500.0,52698729000.0,1404.0
2021-11-08T00:00:00,1045.0,1045.0,1020.0,1025.0,-20.0,49049000.0,50576879500.0,1267.0
2021-11-09T00:00:00,1025.0,1030.0,1015.0,1030.0,5.0,51067800.0,52275294000.0,1298.0
2021-11-10T00:00:00,1030.0,1035.0,1020.0,1030.0,0.0,51242800.0,52686328500.0,1320.0
2021-11-11T00:00:00,1030.0,1060.0,1025.0,1040.0,10.0,54926200.0,57438604500.0,1505.0
2021-11-12T00:00:00,1040.0,1090.0,1030.0,1090.0,50.0,59653000.0,62850557500.0,1829.0
2021-11-15T00:00:00,1090.0,1155.0,1085.0,1145.0,55.0,55398400.0,62394336500.0,2576.0
