date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,56.0,58.0,53.0,53.0,-3.0,1533500.0,83378100.0,142.0
2020-10-09T00:00:00,53.0,59.0,50.0,51.0,-2.0,2500300.0,134823700.0,257.0
2020-10-12T00:00:00,51.0,52.0,50.0,50.0,-1.0,285300.0,14565400.0,47.0
2020-10-13T00:00:00,50.0,54.0,50.0,51.0,1.0,141600.0,7238200.0,33.0
2020-10-14T00:00:00,51.0,52.0,50.0,50.0,-1.0,229900.0,11551800.0,28.0
2020-10-15T00:00:00,50.0,52.0,50.0,50.0,0.0,301900.0,15275400.0,31.0
2020-10-16T00:00:00,50.0,50.0,50.0,50.0,0.0,205300.0,10265000.0,7.0
2020-10-19T00:00:00,50.0,51.0,50.0,50.0,0.0,235100.0,11828800.0,20.0
2020-10-20T00:00:00,50.0,50.0,50.0,50.0,0.0,117500.0,5875000.0,7.0
2020-10-21T00:00:00,50.0,51.0,50.0,50.0,0.0,37200.0,1861700.0,7.0
2020-10-22T00:00:00,50.0,50.0,50.0,50.0,0.0,61200.0,3060000.0,11.0
2020-10-23T00:00:00,50.0,51.0,50.0,50.0,0.0,206000.0,10300100.0,24.0
2020-10-26T00:00:00,50.0,51.0,50.0,50.0,0.0,6600.0,334200.0,7.0
2020-10-27T00:00:00,50.0,50.0,50.0,50.0,0.0,22000.0,1100000.0,3.0
2020-11-02T00:00:00,50.0,50.0,50.0,50.0,0.0,18800.0,940000.0,7.0
2020-11-03T00:00:00,50.0,51.0,50.0,50.0,0.0,236600.0,11860000.0,17.0
2020-11-04T00:00:00,50.0,56.0,50.0,51.0,1.0,1095900.0,57668700.0,98.0
2020-11-05T00:00:00,51.0,68.0,51.0,53.0,2.0,16111600.0,953563900.0,951.0
2020-11-06T00:00:00,53.0,54.0,50.0,51.0,-2.0,1172700.0,60236600.0,81.0
2020-11-09T00:00:00,51.0,54.0,50.0,50.0,-1.0,536000.0,27198000.0,45.0
2020-11-10T00:00:00,50.0,52.0,50.0,50.0,0.0,564900.0,29028100.0,30.0
2020-11-11T00:00:00,50.0,51.0,50.0,51.0,1.0,700700.0,35361400.0,29.0
2020-11-12T00:00:00,51.0,51.0,50.0,51.0,0.0,634500.0,31776800.0,22.0
2020-11-13T00:00:00,51.0,51.0,50.0,50.0,-1.0,162500.0,8127300.0,10.0
2020-11-16T00:00:00,50.0,51.0,50.0,50.0,0.0,221900.0,11095900.0,11.0
2020-11-17T00:00:00,50.0,53.0,51.0,51.0,1.0,603500.0,30978900.0,45.0
2020-11-18T00:00:00,51.0,51.0,51.0,51.0,0.0,68200.0,3478200.0,13.0
2020-11-19T00:00:00,51.0,52.0,51.0,52.0,1.0,387200.0,19755900.0,43.0
