date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,55.0,56.0,52.0,54.0,-1.0,23772600.0,1262829000.0,880.0
2020-10-09T00:00:00,54.0,54.0,51.0,53.0,-1.0,7358300.0,388938000.0,417.0
2020-10-12T00:00:00,53.0,55.0,51.0,52.0,-1.0,23286000.0,1239842900.0,523.0
2020-10-13T00:00:00,52.0,54.0,51.0,52.0,0.0,19933300.0,1028474500.0,721.0
2020-10-14T00:00:00,52.0,52.0,50.0,51.0,-1.0,11909300.0,607393600.0,631.0
2020-10-15T00:00:00,51.0,54.0,50.0,52.0,1.0,16963500.0,886258400.0,527.0
2020-10-16T00:00:00,52.0,53.0,51.0,52.0,0.0,10733200.0,552289500.0,299.0
2020-10-19T00:00:00,52.0,53.0,51.0,52.0,0.0,9186100.0,475326600.0,395.0
2020-10-20T00:00:00,52.0,53.0,51.0,52.0,0.0,2718100.0,139080400.0,230.0
2020-10-21T00:00:00,52.0,52.0,50.0,51.0,-1.0,17094500.0,866350600.0,516.0
2020-10-22T00:00:00,51.0,51.0,50.0,50.0,-1.0,8364000.0,420234200.0,306.0
2020-10-23T00:00:00,50.0,51.0,50.0,51.0,1.0,9013100.0,450958400.0,407.0
2020-10-26T00:00:00,51.0,51.0,50.0,50.0,-1.0,5367600.0,269000000.0,276.0
2020-10-27T00:00:00,50.0,50.0,50.0,50.0,0.0,4142400.0,207120000.0,170.0
2020-11-02T00:00:00,50.0,50.0,50.0,50.0,0.0,4288500.0,214425000.0,146.0
2020-11-03T00:00:00,50.0,50.0,50.0,50.0,0.0,424500.0,21225000.0,48.0
2020-11-04T00:00:00,50.0,50.0,50.0,50.0,0.0,2891700.0,144585000.0,187.0
2020-11-05T00:00:00,50.0,50.0,50.0,50.0,0.0,6075200.0,303760000.0,249.0
2020-11-06T00:00:00,50.0,52.0,50.0,51.0,1.0,36914000.0,1865339800.0,1205.0
2020-11-09T00:00:00,51.0,54.0,50.0,52.0,1.0,33472900.0,1739174000.0,1296.0
2020-11-10T00:00:00,52.0,54.0,52.0,52.0,0.0,10516100.0,554476800.0,543.0
2020-11-11T00:00:00,52.0,53.0,50.0,51.0,-1.0,7901800.0,408836400.0,524.0
2020-11-12T00:00:00,51.0,51.0,50.0,51.0,0.0,4576700.0,231084300.0,215.0
2020-11-13T00:00:00,51.0,51.0,50.0,50.0,-1.0,6201400.0,310386600.0,209.0
2020-11-16T00:00:00,50.0,51.0,50.0,50.0,0.0,3336800.0,167132000.0,124.0
2020-11-17T00:00:00,50.0,53.0,50.0,50.0,0.0,32658400.0,1673723000.0,1360.0
2020-11-18T00:00:00,50.0,52.0,50.0,51.0,1.0,6045700.0,306522300.0,353.0
2020-11-19T00:00:00,51.0,56.0,50.0,54.0,3.0,69943700.0,3740021000.0,2834.0
2020-11-20T00:00:00,54.0,58.0,54.0,58.0,4.0,40707500.0,2276053700.0,1922.0
2020-11-23T00:00:00,58.0,62.0,56.0,62.0,4.0,43180700.0,2597740200.0,2262.0
2020-11-24T00:00:00,62.0,62.0,58.0,60.0,-2.0,37068000.0,2201192400.0,1889.0
2020-11-25T00:00:00,60.0,74.0,60.0,70.0,10.0,106884900.0,7272426300.0,4262.0
2020-11-26T00:00:00,70.0,70.0,66.0,67.0,-3.0,27366700.0,1823888300.0,1272.0
2020-11-27T00:00:00,67.0,70.0,63.0,63.0,-4.0,16619800.0,1089324500.0,724.0
2020-11-30T00:00:00,63.0,60.0,59.0,59.0,-4.0,3437000.0,202964900.0,192.0
2020-12-01T00:00:00,59.0,55.0,55.0,55.0,-4.0,6049100.0,332700500.0,222.0
2020-12-02T00:00:00,55.0,54.0,52.0,52.0,-3.0,23053700.0,1200587800.0,1047.0
2020-12-03T00:00:00,52.0,54.0,50.0,52.0,0.0,24010100.0,1238262700.0,1208.0
2020-12-04T00:00:00,52.0,55.0,51.0,52.0,0.0,24935100.0,1316707400.0,952.0
2020-12-07T00:00:00,52.0,54.0,51.0,53.0,1.0,19225700.0,1013079400.0,1205.0
2020-12-08T00:00:00,53.0,54.0,51.0,53.0,0.0,19254500.0,1003656800.0,1348.0
2020-12-10T00:00:00,53.0,53.0,50.0,52.0,-1.0,28691200.0,1469637600.0,867.0
2020-12-11T00:00:00,52.0,52.0,50.0,50.0,-2.0,12645700.0,641506000.0,424.0
2020-12-14T00:00:00,50.0,52.0,50.0,51.0,1.0,14510000.0,740125200.0,780.0
2020-12-15T00:00:00,51.0,55.0,50.0,55.0,4.0,52018400.0,2754589300.0,2348.0
2020-12-16T00:00:00,55.0,59.0,53.0,54.0,-1.0,70299400.0,3967431600.0,3609.0
2020-12-17T00:00:00,54.0,56.0,51.0,52.0,-2.0,33323300.0,1755434800.0,1918.0
2020-12-18T00:00:00,52.0,53.0,51.0,53.0,1.0,13406600.0,699060600.0,779.0
2020-12-21T00:00:00,53.0,54.0,52.0,53.0,0.0,16425000.0,866777900.0,810.0
2020-12-22T00:00:00,53.0,55.0,50.0,53.0,0.0,50511700.0,2657556000.0,1354.0
2020-12-23T00:00:00,53.0,53.0,50.0,52.0,-1.0,51361000.0,2650813300.0,1480.0
2020-12-28T00:00:00,52.0,55.0,51.0,51.0,-1.0,34325000.0,1787795600.0,1214.0
2020-12-29T00:00:00,51.0,58.0,51.0,52.0,1.0,86029800.0,4641054500.0,2436.0
2020-12-30T00:00:00,52.0,55.0,51.0,52.0,0.0,42245700.0,2228462600.0,1254.0
2021-01-04T00:00:00,52.0,54.0,51.0,53.0,1.0,27988900.0,1478578500.0,1112.0
2021-01-05T00:00:00,53.0,55.0,52.0,53.0,0.0,26081400.0,1383798700.0,1400.0
2021-01-06T00:00:00,53.0,56.0,52.0,53.0,0.0,57379100.0,3064904300.0,1617.0
2021-01-07T00:00:00,53.0,54.0,52.0,53.0,0.0,22303000.0,1177205600.0,1167.0
2021-01-08T00:00:00,53.0,53.0,51.0,52.0,-1.0,30181400.0,1563608600.0,1032.0
2021-01-11T00:00:00,52.0,53.0,51.0,52.0,0.0,16643200.0,856174000.0,572.0
2021-01-12T00:00:00,52.0,52.0,50.0,51.0,-1.0,31846400.0,1608562500.0,1274.0
2021-01-13T00:00:00,51.0,53.0,50.0,51.0,0.0,48398900.0,2507201500.0,1497.0
2021-01-14T00:00:00,51.0,52.0,50.0,51.0,0.0,7284200.0,369796900.0,432.0
2021-01-15T00:00:00,51.0,51.0,50.0,50.0,-1.0,13751600.0,689224900.0,586.0
2021-01-18T00:00:00,50.0,51.0,50.0,50.0,0.0,17350800.0,872912800.0,587.0
2021-01-19T00:00:00,50.0,51.0,50.0,51.0,1.0,18776400.0,941441500.0,787.0
2021-01-20T00:00:00,51.0,51.0,50.0,50.0,-1.0,6630000.0,331554500.0,451.0
2021-01-21T00:00:00,50.0,50.0,50.0,50.0,0.0,1916300.0,95815000.0,97.0
2021-01-22T00:00:00,50.0,50.0,50.0,50.0,0.0,332700.0,16635000.0,63.0
2021-01-25T00:00:00,50.0,50.0,50.0,50.0,0.0,199600.0,9980000.0,44.0
2021-01-26T00:00:00,50.0,50.0,50.0,50.0,0.0,141100.0,7055000.0,18.0
2021-01-27T00:00:00,50.0,50.0,50.0,50.0,0.0,183200.0,9160000.0,43.0
2021-01-28T00:00:00,50.0,50.0,50.0,50.0,0.0,143100.0,7155000.0,26.0
2021-01-29T00:00:00,50.0,50.0,50.0,50.0,0.0,61100.0,3055000.0,17.0
2021-02-01T00:00:00,50.0,50.0,50.0,50.0,0.0,602800.0,30140000.0,172.0
2021-02-02T00:00:00,50.0,50.0,50.0,50.0,0.0,374000.0,18700000.0,172.0
2021-02-03T00:00:00,50.0,50.0,50.0,50.0,0.0,1935200.0,96760000.0,258.0
2021-02-04T00:00:00,50.0,50.0,50.0,50.0,0.0,1856600.0,92830000.0,338.0
2021-02-05T00:00:00,50.0,50.0,50.0,50.0,0.0,554900.0,27745000.0,124.0
2021-02-08T00:00:00,50.0,50.0,50.0,50.0,0.0,320100.0,16005000.0,66.0
2021-02-09T00:00:00,50.0,50.0,50.0,50.0,0.0,3228300.0,161415000.0,131.0
2021-02-10T00:00:00,50.0,50.0,50.0,50.0,0.0,702200.0,35110000.0,33.0
2021-02-11T00:00:00,50.0,50.0,50.0,50.0,0.0,6043400.0,302170000.0,350.0
2021-02-15T00:00:00,50.0,50.0,50.0,50.0,0.0,7520700.0,376035000.0,479.0
2021-02-16T00:00:00,50.0,50.0,50.0,50.0,0.0,2923900.0,146195000.0,222.0
2021-02-17T00:00:00,50.0,50.0,50.0,50.0,0.0,4711700.0,235585000.0,374.0
2021-02-18T00:00:00,50.0,50.0,50.0,50.0,0.0,2271800.0,113590000.0,123.0
2021-02-19T00:00:00,50.0,50.0,50.0,50.0,0.0,7717400.0,385870000.0,305.0
2021-02-22T00:00:00,50.0,50.0,50.0,50.0,0.0,2722600.0,136130000.0,261.0
2021-02-23T00:00:00,50.0,50.0,50.0,50.0,0.0,1187700.0,59385000.0,108.0
2021-02-24T00:00:00,50.0,50.0,50.0,50.0,0.0,209600.0,10480000.0,45.0
2021-02-25T00:00:00,50.0,50.0,50.0,50.0,0.0,7829700.0,391485000.0,185.0
2021-02-26T00:00:00,50.0,50.0,50.0,50.0,0.0,1580800.0,79040000.0,103.0
2021-03-01T00:00:00,50.0,50.0,50.0,50.0,0.0,891200.0,44560000.0,48.0
2021-03-02T00:00:00,50.0,50.0,50.0,50.0,0.0,1206000.0,60300000.0,186.0
2021-03-03T00:00:00,50.0,50.0,50.0,50.0,0.0,11783800.0,589190000.0,763.0
2021-03-04T00:00:00,50.0,55.0,50.0,54.0,4.0,138373400.0,7172021100.0,4975.0
2021-03-05T00:00:00,54.0,72.0,54.0,72.0,18.0,595642700.0,41053593700.0,15320.0
2021-03-08T00:00:00,72.0,85.0,67.0,67.0,-5.0,218648200.0,16628090800.0,8328.0
2021-03-09T00:00:00,67.0,63.0,63.0,63.0,-4.0,2483400.0,156454200.0,376.0
2021-03-10T00:00:00,63.0,59.0,59.0,59.0,-4.0,3341700.0,197160300.0,360.0
2021-03-12T00:00:00,59.0,61.0,55.0,55.0,-4.0,541610600.0,30521340900.0,15165.0
2021-03-15T00:00:00,55.0,57.0,52.0,54.0,-1.0,113449300.0,6205106000.0,4975.0
2021-03-16T00:00:00,54.0,55.0,52.0,53.0,-1.0,50506100.0,2677489000.0,2138.0
2021-03-17T00:00:00,53.0,53.0,50.0,51.0,-2.0,51912400.0,2657345300.0,1945.0
2021-03-18T00:00:00,51.0,55.0,50.0,52.0,1.0,133247000.0,6990053200.0,3570.0
2021-03-19T00:00:00,52.0,53.0,50.0,51.0,-1.0,85460100.0,4387477400.0,3640.0
2021-03-22T00:00:00,51.0,52.0,50.0,51.0,0.0,80209700.0,4078047800.0,4196.0
2021-03-23T00:00:00,51.0,51.0,50.0,50.0,-1.0,89633600.0,4484116200.0,2334.0
2021-03-24T00:00:00,50.0,50.0,50.0,50.0,0.0,11429400.0,571470000.0,615.0
2021-03-25T00:00:00,50.0,50.0,50.0,50.0,0.0,5952200.0,297610000.0,332.0
2021-03-26T00:00:00,50.0,50.0,50.0,50.0,0.0,5144900.0,257245000.0,296.0
2021-03-29T00:00:00,50.0,50.0,50.0,50.0,0.0,1250900.0,62545000.0,184.0
2021-03-30T00:00:00,50.0,50.0,50.0,50.0,0.0,1023600.0,51180000.0,121.0
2021-03-31T00:00:00,50.0,50.0,50.0,50.0,0.0,846500.0,42325000.0,82.0
2021-04-01T00:00:00,50.0,50.0,50.0,50.0,0.0,7602400.0,380120000.0,331.0
2021-04-05T00:00:00,50.0,50.0,50.0,50.0,0.0,12007900.0,600395000.0,426.0
2021-04-06T00:00:00,50.0,50.0,50.0,50.0,0.0,4737300.0,236865000.0,354.0
2021-04-07T00:00:00,50.0,50.0,50.0,50.0,0.0,3242800.0,162140000.0,1614.0
2021-04-08T00:00:00,50.0,50.0,50.0,50.0,0.0,4854400.0,242720000.0,431.0
2021-04-09T00:00:00,50.0,50.0,50.0,50.0,0.0,3160000.0,158000000.0,283.0
2021-04-12T00:00:00,50.0,50.0,50.0,50.0,0.0,6070200.0,303510000.0,349.0
2021-04-13T00:00:00,50.0,50.0,50.0,50.0,0.0,248600.0,12430000.0,57.0
2021-04-14T00:00:00,50.0,50.0,50.0,50.0,0.0,2727900.0,136395000.0,322.0
2021-04-15T00:00:00,50.0,50.0,50.0,50.0,0.0,5551200.0,277560000.0,487.0
2021-04-16T00:00:00,50.0,50.0,50.0,50.0,0.0,597600.0,29880000.0,298.0
2021-04-19T00:00:00,50.0,50.0,50.0,50.0,0.0,2169500.0,108475000.0,168.0
2021-04-20T00:00:00,50.0,50.0,50.0,50.0,0.0,6669600.0,333480000.0,137.0
2021-04-21T00:00:00,50.0,50.0,50.0,50.0,0.0,697300.0,34865000.0,71.0
2021-04-22T00:00:00,50.0,50.0,50.0,50.0,0.0,1233800.0,61690000.0,104.0
