date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,150.0,158.0,148.0,155.0,5.0,44540300.0,6836156300.0,18614.0
2020-10-09T00:00:00,155.0,156.0,151.0,154.0,-1.0,13587700.0,2093002200.0,7118.0
2020-10-12T00:00:00,154.0,158.0,154.0,156.0,2.0,12575100.0,1953519000.0,1571.0
2020-10-13T00:00:00,156.0,158.0,147.0,152.0,-4.0,21424200.0,3240320800.0,1863.0
2020-10-14T00:00:00,152.0,154.0,149.0,152.0,0.0,13649700.0,2055746700.0,694.0
2020-10-15T00:00:00,152.0,157.0,149.0,154.0,2.0,10964700.0,1686381400.0,687.0
2020-10-16T00:00:00,154.0,154.0,151.0,154.0,0.0,4376200.0,667581100.0,314.0
2020-10-19T00:00:00,154.0,159.0,153.0,155.0,1.0,27197700.0,4220109800.0,884.0
2020-10-20T00:00:00,155.0,157.0,153.0,155.0,0.0,10091700.0,1565293400.0,440.0
2020-10-21T00:00:00,155.0,157.0,152.0,155.0,0.0,6729500.0,1041692800.0,452.0
2020-10-22T00:00:00,155.0,167.0,154.0,158.0,3.0,73461200.0,11900836400.0,2908.0
2020-10-23T00:00:00,158.0,161.0,152.0,156.0,-2.0,18340100.0,2866599400.0,758.0
2020-10-26T00:00:00,156.0,162.0,147.0,159.0,3.0,10729600.0,1702426600.0,739.0
2020-10-27T00:00:00,159.0,161.0,156.0,159.0,0.0,10834400.0,1722483300.0,544.0
2020-11-02T00:00:00,159.0,159.0,156.0,158.0,-1.0,4796300.0,753012600.0,245.0
2020-11-03T00:00:00,158.0,159.0,157.0,158.0,0.0,2768500.0,437118000.0,261.0
2020-11-04T00:00:00,158.0,159.0,153.0,156.0,-2.0,4910200.0,762127200.0,430.0
2020-11-05T00:00:00,156.0,157.0,154.0,157.0,1.0,3507900.0,546929100.0,325.0
2020-11-06T00:00:00,157.0,155.0,154.0,155.0,-2.0,23947800.0,3709713400.0,561.0
2020-11-09T00:00:00,155.0,155.0,154.0,155.0,0.0,25140800.0,3894926900.0,517.0
2020-11-10T00:00:00,155.0,163.0,154.0,160.0,5.0,33417700.0,5261328100.0,1099.0
2020-11-11T00:00:00,160.0,160.0,157.0,158.0,-2.0,9246000.0,1464790000.0,606.0
2020-11-12T00:00:00,158.0,159.0,153.0,155.0,-3.0,16139600.0,2500788100.0,855.0
2020-11-13T00:00:00,155.0,156.0,153.0,155.0,0.0,48062000.0,7447065400.0,469.0
2020-11-16T00:00:00,155.0,166.0,146.0,162.0,7.0,60531800.0,9776142500.0,2383.0
2020-11-17T00:00:00,162.0,168.0,155.0,163.0,1.0,41836600.0,6888466400.0,1684.0
2020-11-18T00:00:00,163.0,170.0,162.0,165.0,2.0,36147400.0,5978401100.0,1349.0
2020-11-19T00:00:00,165.0,191.0,165.0,189.0,24.0,201547900.0,36612126200.0,5571.0
2020-11-20T00:00:00,189.0,216.0,184.0,202.0,13.0,169682100.0,33914228300.0,6967.0
2020-11-23T00:00:00,202.0,240.0,198.0,214.0,12.0,338618800.0,73765384200.0,12016.0
2020-11-24T00:00:00,214.0,228.0,210.0,218.0,4.0,160023400.0,35454259800.0,6030.0
2020-11-25T00:00:00,218.0,226.0,208.0,210.0,-8.0,86235800.0,18661850000.0,3014.0
2020-11-26T00:00:00,210.0,228.0,208.0,226.0,16.0,102862300.0,22721140800.0,4145.0
2020-11-27T00:00:00,226.0,230.0,218.0,224.0,-2.0,70496500.0,15800791600.0,3273.0
2020-11-30T00:00:00,224.0,228.0,210.0,212.0,-12.0,57873300.0,12516976600.0,2540.0
2020-12-01T00:00:00,212.0,218.0,200.0,214.0,2.0,43663500.0,9142209600.0,2010.0
2020-12-02T00:00:00,214.0,224.0,214.0,220.0,6.0,55449200.0,12179110800.0,2539.0
2020-12-03T00:00:00,220.0,236.0,218.0,228.0,8.0,114928000.0,26178913000.0,4595.0
2020-12-04T00:00:00,228.0,228.0,218.0,220.0,-8.0,40188000.0,8906251000.0,1946.0
2020-12-07T00:00:00,220.0,236.0,224.0,226.0,6.0,77305400.0,17605611400.0,2269.0
2020-12-08T00:00:00,226.0,228.0,222.0,222.0,-4.0,31362900.0,7018770600.0,1260.0
2020-12-10T00:00:00,222.0,240.0,222.0,228.0,6.0,159116700.0,36282096200.0,4716.0
2020-12-11T00:00:00,228.0,238.0,222.0,224.0,-4.0,51931400.0,11760225200.0,1932.0
2020-12-14T00:00:00,224.0,230.0,222.0,224.0,0.0,28951000.0,6514429200.0,1111.0
2020-12-15T00:00:00,224.0,228.0,212.0,222.0,-2.0,43343400.0,9548344000.0,1886.0
2020-12-16T00:00:00,222.0,228.0,220.0,220.0,-2.0,39350700.0,8754403800.0,1632.0
2020-12-17T00:00:00,220.0,232.0,218.0,224.0,4.0,95411100.0,21519758600.0,2666.0
2020-12-18T00:00:00,224.0,232.0,224.0,228.0,4.0,78628300.0,17961335600.0,2411.0
2020-12-21T00:00:00,228.0,262.0,228.0,250.0,22.0,241056800.0,59695727200.0,8541.0
2020-12-22T00:00:00,250.0,282.0,242.0,246.0,-4.0,287027400.0,75181160000.0,11405.0
2020-12-23T00:00:00,246.0,262.0,230.0,246.0,0.0,96330300.0,23548874600.0,3264.0
2020-12-28T00:00:00,246.0,256.0,238.0,244.0,-2.0,33370100.0,8140112000.0,1538.0
2020-12-29T00:00:00,244.0,248.0,230.0,232.0,-12.0,52362700.0,12438517200.0,2166.0
2020-12-30T00:00:00,232.0,236.0,220.0,220.0,-12.0,47399900.0,10645487800.0,1656.0
2021-01-04T00:00:00,220.0,230.0,210.0,222.0,2.0,29359300.0,6478325000.0,1392.0
2021-01-05T00:00:00,222.0,234.0,222.0,226.0,4.0,45033200.0,10299201200.0,1190.0
2021-01-06T00:00:00,226.0,232.0,214.0,222.0,-4.0,22670200.0,5054128800.0,1202.0
2021-01-07T00:00:00,222.0,260.0,224.0,246.0,24.0,384074700.0,94584472600.0,9657.0
2021-01-08T00:00:00,246.0,256.0,232.0,236.0,-10.0,104659000.0,25228361000.0,4518.0
2021-01-11T00:00:00,236.0,280.0,234.0,280.0,44.0,492229000.0,131000558800.0,18979.0
2021-01-12T00:00:00,280.0,294.0,266.0,270.0,-10.0,166857800.0,46356354200.0,9914.0
2021-01-13T00:00:00,270.0,274.0,254.0,260.0,-10.0,64096300.0,16847739200.0,3751.0
