date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,890.0,890.0,890.0,890.0,0.0,4100.0,3649000.0,12.0
2020-10-09T00:00:00,890.0,890.0,885.0,885.0,-5.0,18100.0,16044500.0,23.0
2020-10-12T00:00:00,885.0,890.0,880.0,890.0,5.0,5800.0,5140500.0,18.0
2020-10-13T00:00:00,890.0,900.0,885.0,900.0,10.0,9800.0,8753000.0,25.0
2020-10-14T00:00:00,900.0,905.0,875.0,895.0,-5.0,26100.0,23194500.0,45.0
2020-10-15T00:00:00,895.0,900.0,895.0,900.0,5.0,10400.0,9334000.0,27.0
2020-10-16T00:00:00,900.0,905.0,895.0,905.0,5.0,5200.0,4662500.0,14.0
2020-10-19T00:00:00,905.0,905.0,900.0,905.0,0.0,2500.0,2257500.0,13.0
2020-10-20T00:00:00,905.0,905.0,890.0,895.0,-10.0,8100.0,7307000.0,18.0
2020-10-21T00:00:00,895.0,905.0,895.0,900.0,5.0,8100.0,7256500.0,17.0
2020-10-22T00:00:00,900.0,905.0,900.0,905.0,5.0,14900.0,13442500.0,12.0
2020-10-23T00:00:00,905.0,900.0,890.0,900.0,-5.0,8200.0,7350500.0,16.0
2020-10-26T00:00:00,900.0,905.0,895.0,905.0,5.0,8800.0,7930500.0,20.0
2020-10-27T00:00:00,905.0,905.0,890.0,900.0,-5.0,8600.0,7718500.0,22.0
2020-11-02T00:00:00,900.0,905.0,890.0,900.0,0.0,23400.0,20953000.0,26.0
2020-11-03T00:00:00,900.0,900.0,895.0,895.0,-5.0,14700.0,13217000.0,16.0
2020-11-04T00:00:00,895.0,900.0,885.0,900.0,5.0,6400.0,5729000.0,22.0
2020-11-05T00:00:00,900.0,900.0,880.0,900.0,0.0,101000.0,89014500.0,32.0
2020-11-06T00:00:00,900.0,900.0,895.0,900.0,0.0,9400.0,8427500.0,17.0
2020-11-09T00:00:00,900.0,900.0,895.0,900.0,0.0,10000.0,8995500.0,15.0
2020-11-10T00:00:00,900.0,900.0,880.0,900.0,0.0,99600.0,88649500.0,60.0
2020-11-11T00:00:00,900.0,900.0,880.0,895.0,-5.0,14600.0,13019000.0,38.0
2020-11-12T00:00:00,895.0,900.0,880.0,900.0,5.0,12500.0,11127500.0,32.0
2020-11-13T00:00:00,900.0,900.0,895.0,900.0,0.0,15600.0,14027000.0,16.0
2020-11-16T00:00:00,900.0,900.0,895.0,895.0,-5.0,31400.0,28255000.0,23.0
2020-11-17T00:00:00,895.0,900.0,890.0,900.0,5.0,34400.0,30838500.0,32.0
2020-11-18T00:00:00,900.0,900.0,890.0,900.0,0.0,20800.0,18647000.0,28.0
2020-11-19T00:00:00,900.0,905.0,880.0,900.0,0.0,16700.0,14891000.0,34.0
2020-11-20T00:00:00,900.0,900.0,875.0,895.0,-5.0,39800.0,35165500.0,49.0
2020-11-23T00:00:00,895.0,900.0,890.0,890.0,-5.0,34200.0,30672500.0,40.0
2020-11-24T00:00:00,890.0,900.0,885.0,900.0,10.0,33700.0,29973000.0,37.0
2020-11-25T00:00:00,900.0,900.0,895.0,895.0,-5.0,21500.0,19325500.0,25.0
2020-11-26T00:00:00,895.0,900.0,890.0,900.0,5.0,15700.0,14024500.0,43.0
2020-11-27T00:00:00,900.0,900.0,890.0,900.0,0.0,38200.0,34155000.0,42.0
2020-11-30T00:00:00,900.0,900.0,885.0,885.0,-15.0,72200.0,64225500.0,68.0
2020-12-01T00:00:00,885.0,900.0,885.0,895.0,10.0,14400.0,12783000.0,16.0
2020-12-02T00:00:00,895.0,900.0,890.0,900.0,5.0,85300.0,76339500.0,29.0
2020-12-03T00:00:00,900.0,900.0,890.0,890.0,-10.0,16500.0,14744000.0,38.0
2020-12-04T00:00:00,890.0,905.0,890.0,900.0,10.0,8900.0,7983500.0,27.0
2020-12-07T00:00:00,900.0,900.0,880.0,900.0,0.0,67100.0,60173000.0,53.0
2020-12-08T00:00:00,900.0,945.0,895.0,905.0,5.0,77500.0,70005000.0,66.0
2020-12-10T00:00:00,905.0,955.0,905.0,935.0,30.0,50600.0,46950000.0,64.0
2020-12-11T00:00:00,935.0,940.0,910.0,940.0,5.0,61400.0,56445000.0,46.0
2020-12-14T00:00:00,940.0,965.0,925.0,940.0,0.0,82800.0,78269500.0,36.0
2020-12-15T00:00:00,940.0,940.0,920.0,925.0,-15.0,11000.0,10205000.0,19.0
2020-12-16T00:00:00,925.0,930.0,905.0,925.0,0.0,16400.0,15017000.0,23.0
2020-12-17T00:00:00,925.0,935.0,920.0,935.0,10.0,17800.0,16400500.0,29.0
2020-12-18T00:00:00,935.0,945.0,915.0,935.0,0.0,14700.0,13738000.0,31.0
2020-12-21T00:00:00,935.0,935.0,915.0,935.0,0.0,19500.0,18112000.0,32.0
2020-12-22T00:00:00,935.0,930.0,915.0,930.0,-5.0,14500.0,13313000.0,23.0
2020-12-23T00:00:00,930.0,930.0,905.0,930.0,0.0,6300.0,5766000.0,9.0
2020-12-28T00:00:00,930.0,930.0,915.0,925.0,-5.0,17200.0,15842500.0,24.0
2020-12-29T00:00:00,925.0,925.0,910.0,915.0,-10.0,18000.0,16490500.0,25.0
2020-12-30T00:00:00,915.0,920.0,900.0,920.0,5.0,29100.0,26291000.0,34.0
2021-01-04T00:00:00,920.0,920.0,900.0,915.0,-5.0,20000.0,18335500.0,16.0
2021-01-05T00:00:00,915.0,915.0,905.0,915.0,0.0,16800.0,15283000.0,17.0
2021-01-06T00:00:00,915.0,915.0,910.0,910.0,-5.0,36100.0,32947500.0,30.0
2021-01-07T00:00:00,910.0,920.0,900.0,920.0,10.0,33300.0,30124500.0,39.0
2021-01-08T00:00:00,920.0,920.0,900.0,920.0,0.0,19400.0,17572500.0,23.0
2021-01-11T00:00:00,920.0,920.0,900.0,910.0,-10.0,19200.0,17391000.0,23.0
