date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,54.0,60.0,54.0,60.0,6.0,8512300.0,494253800.0,619.0
2020-10-09T00:00:00,60.0,63.0,56.0,56.0,-4.0,18448000.0,1074479000.0,1150.0
2020-10-12T00:00:00,56.0,57.0,53.0,55.0,-1.0,5194200.0,283619400.0,285.0
2020-10-13T00:00:00,55.0,62.0,54.0,55.0,0.0,19063900.0,1102639400.0,1185.0
2020-10-14T00:00:00,55.0,56.0,54.0,55.0,0.0,2779900.0,153014500.0,160.0
2020-10-15T00:00:00,55.0,56.0,54.0,55.0,0.0,1809500.0,98636800.0,86.0
2020-10-16T00:00:00,55.0,55.0,54.0,54.0,-1.0,587600.0,31762200.0,59.0
2020-10-19T00:00:00,54.0,57.0,53.0,56.0,2.0,3823500.0,212290700.0,202.0
2020-10-20T00:00:00,56.0,57.0,55.0,55.0,-1.0,738700.0,40688900.0,52.0
2020-10-21T00:00:00,55.0,55.0,54.0,55.0,0.0,638700.0,34828300.0,49.0
2020-10-22T00:00:00,55.0,55.0,54.0,55.0,0.0,1121000.0,61038100.0,46.0
2020-10-23T00:00:00,55.0,55.0,54.0,54.0,-1.0,826300.0,44628200.0,52.0
2020-10-26T00:00:00,54.0,55.0,53.0,53.0,-1.0,513900.0,27560100.0,53.0
2020-10-27T00:00:00,53.0,56.0,53.0,54.0,1.0,1040800.0,56345400.0,79.0
2020-11-02T00:00:00,54.0,56.0,54.0,55.0,1.0,1157400.0,64349000.0,56.0
2020-11-03T00:00:00,55.0,59.0,54.0,55.0,0.0,6248000.0,349698000.0,353.0
2020-11-04T00:00:00,55.0,56.0,54.0,54.0,-1.0,567200.0,30727600.0,39.0
2020-11-05T00:00:00,54.0,56.0,54.0,54.0,0.0,159300.0,8688100.0,46.0
2020-11-06T00:00:00,54.0,55.0,54.0,54.0,0.0,551600.0,29790400.0,27.0
2020-11-09T00:00:00,54.0,55.0,53.0,54.0,0.0,715800.0,38508400.0,59.0
2020-11-10T00:00:00,54.0,57.0,53.0,53.0,-1.0,3697400.0,201260000.0,188.0
2020-11-11T00:00:00,53.0,56.0,54.0,54.0,1.0,490500.0,26893000.0,56.0
2020-11-12T00:00:00,54.0,56.0,54.0,54.0,0.0,593200.0,32216900.0,62.0
2020-11-13T00:00:00,54.0,56.0,54.0,55.0,1.0,741600.0,40532100.0,75.0
2020-11-16T00:00:00,55.0,56.0,54.0,55.0,0.0,922900.0,50711700.0,51.0
2020-11-17T00:00:00,55.0,56.0,55.0,55.0,0.0,844100.0,46675500.0,39.0
2020-11-18T00:00:00,55.0,56.0,54.0,54.0,-1.0,618300.0,33516800.0,45.0
2020-11-19T00:00:00,54.0,56.0,54.0,56.0,2.0,1228400.0,68643000.0,55.0
