date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,7475.0,7450.0,6975.0,7450.0,-25.0,1300.0,9565000.0,6.0
2020-10-09T00:00:00,7450.0,0.0,0.0,7450.0,0.0,0.0,0.0,0.0
2020-10-12T00:00:00,7450.0,6950.0,6950.0,6950.0,-500.0,200.0,1390000.0,2.0
2020-10-13T00:00:00,6950.0,6900.0,6900.0,6900.0,-50.0,3100.0,21390000.0,3.0
2020-10-14T00:00:00,6900.0,7700.0,7200.0,7700.0,800.0,22100.0,169425000.0,13.0
2020-10-15T00:00:00,7700.0,0.0,0.0,7700.0,0.0,0.0,0.0,0.0
2020-10-16T00:00:00,7700.0,7475.0,7475.0,7475.0,-225.0,500.0,3737500.0,1.0
2020-10-19T00:00:00,7475.0,0.0,0.0,7475.0,0.0,0.0,0.0,0.0
2020-10-20T00:00:00,7475.0,7450.0,7450.0,7450.0,-25.0,100.0,745000.0,1.0
2020-10-21T00:00:00,7450.0,8000.0,8000.0,8000.0,550.0,20000.0,160000000.0,11.0
2020-10-22T00:00:00,8000.0,8000.0,7900.0,8000.0,0.0,10000.0,79925000.0,6.0
2020-10-23T00:00:00,8000.0,7950.0,7550.0,7550.0,-450.0,26500.0,205860000.0,11.0
2020-10-26T00:00:00,7550.0,8000.0,7600.0,7775.0,225.0,4700.0,36635000.0,13.0
2020-10-27T00:00:00,7775.0,8000.0,7650.0,8000.0,225.0,24300.0,192902500.0,11.0
2020-11-02T00:00:00,8000.0,9200.0,8000.0,9200.0,1200.0,3300.0,27860000.0,11.0
2020-11-03T00:00:00,9200.0,11025.0,9200.0,9600.0,400.0,419800.0,4073655000.0,72.0
2020-11-04T00:00:00,9600.0,10600.0,9500.0,9700.0,100.0,24000.0,236722500.0,30.0
2020-11-05T00:00:00,9700.0,10500.0,9500.0,9500.0,-200.0,116300.0,1116227500.0,40.0
2020-11-06T00:00:00,9500.0,9700.0,9400.0,9600.0,100.0,61600.0,585712500.0,24.0
2020-11-09T00:00:00,9600.0,9700.0,9500.0,9600.0,0.0,841400.0,8081522500.0,172.0
2020-11-10T00:00:00,9600.0,9700.0,9500.0,9700.0,100.0,384900.0,3714210000.0,65.0
2020-11-11T00:00:00,9700.0,9800.0,9325.0,9325.0,-375.0,11000.0,106095000.0,13.0
2020-11-12T00:00:00,9325.0,9500.0,9250.0,9250.0,-75.0,10400.0,96545000.0,17.0
2020-11-13T00:00:00,9250.0,9250.0,9000.0,9000.0,-250.0,3200.0,28890000.0,8.0
2020-11-16T00:00:00,9000.0,9400.0,8750.0,9400.0,400.0,28700.0,266115000.0,17.0
2020-11-17T00:00:00,9400.0,9500.0,8750.0,8750.0,-650.0,681400.0,6236910000.0,118.0
2020-11-18T00:00:00,8750.0,9000.0,8200.0,8200.0,-550.0,27000.0,237757500.0,30.0
2020-11-19T00:00:00,8200.0,8400.0,8200.0,8375.0,175.0,1200.0,9972500.0,6.0
2020-11-20T00:00:00,8375.0,8350.0,8225.0,8350.0,-25.0,6900.0,57462500.0,16.0
2020-11-23T00:00:00,8350.0,8375.0,8350.0,8350.0,0.0,60300.0,504965000.0,7.0
2020-11-24T00:00:00,8350.0,8975.0,8375.0,8600.0,250.0,112600.0,969650000.0,51.0
2020-11-25T00:00:00,8600.0,8900.0,8600.0,8600.0,0.0,11900.0,105432500.0,12.0
2020-11-26T00:00:00,8600.0,8700.0,8475.0,8575.0,-25.0,13600.0,116907500.0,10.0
2020-11-27T00:00:00,8575.0,8575.0,8500.0,8575.0,0.0,2600.0,22140000.0,8.0
2020-11-30T00:00:00,8575.0,8525.0,8325.0,8325.0,-250.0,10700.0,90007500.0,26.0
2020-12-01T00:00:00,8325.0,8500.0,8325.0,8475.0,150.0,77000.0,651872500.0,24.0
2020-12-02T00:00:00,8475.0,8875.0,8550.0,8550.0,75.0,71900.0,615695000.0,26.0
2020-12-03T00:00:00,8550.0,8825.0,8450.0,8500.0,-50.0,514400.0,4373720000.0,29.0
2020-12-04T00:00:00,8500.0,8875.0,8500.0,8850.0,350.0,28300.0,243075000.0,14.0
2020-12-07T00:00:00,8850.0,9250.0,8850.0,9250.0,400.0,240500.0,2162082500.0,126.0
2020-12-08T00:00:00,9250.0,10000.0,9000.0,9975.0,725.0,620700.0,5957145000.0,285.0
2020-12-10T00:00:00,9975.0,11100.0,10200.0,11100.0,1125.0,411000.0,4426252500.0,148.0
2020-12-11T00:00:00,11100.0,11850.0,11000.0,11500.0,400.0,636700.0,7239527500.0,177.0
2020-12-14T00:00:00,11500.0,12775.0,11600.0,12525.0,1025.0,223500.0,2665190000.0,137.0
2020-12-15T00:00:00,12525.0,12600.0,12000.0,12250.0,-275.0,89600.0,1104045000.0,93.0
2020-12-16T00:00:00,12250.0,14000.0,12200.0,14000.0,1750.0,543300.0,7129420000.0,263.0
2020-12-17T00:00:00,14000.0,14100.0,13500.0,13750.0,-250.0,653500.0,9018615000.0,548.0
2020-12-18T00:00:00,13750.0,14200.0,13375.0,14200.0,450.0,185700.0,2577775000.0,186.0
2020-12-21T00:00:00,14200.0,14900.0,14225.0,14525.0,325.0,133000.0,1957527500.0,207.0
2020-12-22T00:00:00,14525.0,14550.0,13550.0,13650.0,-875.0,232100.0,3241977500.0,202.0
2020-12-23T00:00:00,13650.0,13625.0,12700.0,13600.0,-50.0,260800.0,3434532500.0,401.0
2020-12-28T00:00:00,13600.0,13650.0,13125.0,13275.0,-325.0,99200.0,1345337500.0,92.0
2020-12-29T00:00:00,13275.0,13275.0,13000.0,13000.0,-275.0,64400.0,853037500.0,93.0
2020-12-30T00:00:00,13000.0,14000.0,12800.0,14000.0,1000.0,297700.0,3976725000.0,163.0
2021-01-04T00:00:00,14000.0,16800.0,14000.0,15400.0,1400.0,276900.0,4249760000.0,359.0
2021-01-05T00:00:00,15400.0,15500.0,15075.0,15225.0,-175.0,239500.0,3677765000.0,161.0
2021-01-06T00:00:00,15225.0,15700.0,14700.0,15225.0,0.0,207400.0,3155350000.0,271.0
2021-01-07T00:00:00,15225.0,16025.0,15375.0,15600.0,375.0,366900.0,5736802500.0,423.0
2021-01-08T00:00:00,15600.0,16500.0,15600.0,16300.0,700.0,599100.0,9641772500.0,495.0
2021-01-11T00:00:00,1630.0,2000.0,1680.0,1845.0,215.0,11564800.0,21649015000.0,1795.0
2021-01-12T00:00:00,1845.0,1920.0,1750.0,1845.0,0.0,6003000.0,11113367500.0,1020.0
2021-01-13T00:00:00,1845.0,1915.0,1790.0,1900.0,55.0,10469600.0,19558823000.0,1061.0
2021-01-14T00:00:00,1900.0,1970.0,1850.0,1905.0,5.0,7717200.0,14615694000.0,1487.0
2021-01-15T00:00:00,1905.0,1930.0,1855.0,1890.0,-15.0,22909200.0,43320403000.0,1567.0
2021-01-18T00:00:00,1890.0,2150.0,1845.0,1895.0,5.0,8135700.0,15888921000.0,1181.0
2021-01-19T00:00:00,1895.0,1985.0,1830.0,1925.0,30.0,9630700.0,18196011500.0,1312.0
2021-01-20T00:00:00,1925.0,1935.0,1890.0,1920.0,-5.0,9630900.0,18426788500.0,1112.0
2021-01-21T00:00:00,1920.0,1965.0,1905.0,1930.0,10.0,13819800.0,26655236500.0,719.0
2021-01-22T00:00:00,1930.0,2220.0,1875.0,1990.0,60.0,19618600.0,39340602000.0,3334.0
2021-01-25T00:00:00,1990.0,2010.0,1855.0,1875.0,-115.0,18762900.0,35253410000.0,1675.0
2021-01-26T00:00:00,1875.0,1920.0,1750.0,1770.0,-105.0,12199300.0,22466786500.0,1282.0
2021-01-27T00:00:00,1770.0,1870.0,1650.0,1870.0,100.0,27262300.0,49064397500.0,1332.0
2021-01-28T00:00:00,1870.0,1920.0,1770.0,1900.0,30.0,24664700.0,46017846500.0,4919.0
2021-01-29T00:00:00,1900.0,1920.0,1825.0,1900.0,0.0,12296500.0,23279650500.0,1495.0
2021-02-01T00:00:00,1900.0,2070.0,1880.0,2050.0,150.0,29703600.0,60249994500.0,2945.0
2021-02-02T00:00:00,2050.0,2140.0,2010.0,2070.0,20.0,10500800.0,21766893000.0,2181.0
2021-02-03T00:00:00,2070.0,2130.0,2060.0,2120.0,50.0,18081200.0,37920481000.0,4075.0
2021-02-04T00:00:00,2120.0,2150.0,2050.0,2100.0,-20.0,16573600.0,34504066000.0,1882.0
2021-02-05T00:00:00,2100.0,2150.0,2050.0,2120.0,20.0,7359600.0,15535753000.0,1356.0
2021-02-08T00:00:00,2120.0,2130.0,2060.0,2110.0,-10.0,16796800.0,35259439000.0,1511.0
2021-02-09T00:00:00,2110.0,2130.0,2050.0,2060.0,-50.0,23698300.0,49069192000.0,816.0
2021-02-10T00:00:00,2060.0,2110.0,2000.0,2070.0,10.0,17892600.0,37122098000.0,842.0
2021-02-11T00:00:00,2070.0,2110.0,2050.0,2050.0,-20.0,9769400.0,20355640000.0,942.0
2021-02-15T00:00:00,2050.0,2100.0,2030.0,2080.0,30.0,13960000.0,28880157000.0,835.0
2021-02-16T00:00:00,2080.0,2110.0,2050.0,2090.0,10.0,20586600.0,42978337000.0,1353.0
2021-02-17T00:00:00,2090.0,2290.0,2080.0,2140.0,50.0,11454900.0,24560347000.0,1988.0
2021-02-18T00:00:00,2140.0,2390.0,2140.0,2220.0,80.0,24536700.0,55346758000.0,4111.0
2021-02-19T00:00:00,2220.0,2330.0,2220.0,2260.0,40.0,10615300.0,24114467000.0,2412.0
2021-02-22T00:00:00,2260.0,2310.0,2230.0,2290.0,30.0,16852200.0,38342219000.0,1380.0
2021-02-23T00:00:00,2290.0,2300.0,2230.0,2230.0,-60.0,21860000.0,49275666000.0,2809.0
2021-02-24T00:00:00,2230.0,2260.0,2120.0,2160.0,-70.0,13445800.0,29091554000.0,1775.0
2021-02-25T00:00:00,2160.0,2210.0,2150.0,2190.0,30.0,11079500.0,24097863000.0,844.0
2021-02-26T00:00:00,2190.0,2190.0,2090.0,2110.0,-80.0,6979000.0,14887778000.0,778.0
2021-03-01T00:00:00,2110.0,2170.0,2090.0,2110.0,0.0,15635100.0,33382136000.0,2371.0
2021-03-02T00:00:00,2110.0,2300.0,2110.0,2240.0,130.0,33568200.0,74680323000.0,5786.0
2021-03-03T00:00:00,2240.0,2270.0,2100.0,2110.0,-130.0,12877600.0,27807545000.0,3091.0
2021-03-04T00:00:00,2110.0,2190.0,2050.0,2150.0,40.0,21052400.0,45107403000.0,2447.0
2021-03-05T00:00:00,2150.0,2260.0,2030.0,2170.0,20.0,22165700.0,48268431000.0,2296.0
2021-03-08T00:00:00,2170.0,2220.0,2140.0,2150.0,-20.0,5089100.0,11088120000.0,697.0
2021-03-09T00:00:00,2150.0,2220.0,2140.0,2150.0,0.0,8662300.0,18833089000.0,1178.0
2021-03-10T00:00:00,2150.0,2230.0,2140.0,2180.0,30.0,6178500.0,13535779000.0,753.0
2021-03-12T00:00:00,2180.0,2250.0,2150.0,2150.0,-30.0,23592300.0,51579327000.0,1432.0
2021-03-15T00:00:00,2150.0,2310.0,2160.0,2260.0,110.0,21429300.0,48210271000.0,2766.0
2021-03-16T00:00:00,2260.0,2470.0,2240.0,2260.0,0.0,69609700.0,161623842000.0,6863.0
2021-03-17T00:00:00,2260.0,2380.0,2200.0,2200.0,-60.0,62951700.0,143248776000.0,3790.0
2021-03-18T00:00:00,2200.0,2320.0,2160.0,2160.0,-40.0,53761300.0,118371469000.0,2823.0
2021-03-19T00:00:00,2160.0,2220.0,2150.0,2160.0,0.0,93218100.0,201715503000.0,2768.0
2021-03-22T00:00:00,2160.0,2410.0,2170.0,2380.0,220.0,34073400.0,78801004000.0,3666.0
2021-03-23T00:00:00,2380.0,2570.0,2390.0,2490.0,110.0,67726500.0,167407137000.0,6859.0
2021-03-24T00:00:00,2490.0,2580.0,2400.0,2440.0,-50.0,40700000.0,101458714000.0,4404.0
2021-03-25T00:00:00,2440.0,2500.0,2300.0,2430.0,-10.0,22776100.0,54879037000.0,3635.0
2021-03-26T00:00:00,2430.0,2500.0,2370.0,2420.0,-10.0,12685500.0,30594410000.0,2405.0
