date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,118.0,119.0,111.0,119.0,1.0,1400.0,164200.0,5.0
2020-10-09T00:00:00,119.0,130.0,121.0,130.0,11.0,901100.0,109126600.0,17.0
2020-10-12T00:00:00,130.0,130.0,121.0,130.0,0.0,400.0,50300.0,4.0
2020-10-13T00:00:00,130.0,122.0,122.0,122.0,-8.0,2000.0,244000.0,3.0
2020-10-14T00:00:00,122.0,117.0,115.0,117.0,-5.0,300.0,34900.0,2.0
2020-10-15T00:00:00,117.0,117.0,115.0,117.0,0.0,500.0,57900.0,2.0
2020-10-16T00:00:00,117.0,117.0,117.0,117.0,0.0,1400.0,163800.0,3.0
2020-10-19T00:00:00,117.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0
2020-10-20T00:00:00,117.0,113.0,113.0,113.0,-4.0,2100.0,237300.0,2.0
2020-10-21T00:00:00,113.0,111.0,111.0,111.0,-2.0,100.0,11100.0,1.0
2020-10-22T00:00:00,111.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0
2020-10-23T00:00:00,111.0,114.0,114.0,114.0,3.0,73600.0,8390400.0,5.0
2020-10-26T00:00:00,114.0,134.0,115.0,134.0,20.0,22500.0,2606000.0,8.0
2020-10-27T00:00:00,134.0,128.0,125.0,128.0,-6.0,6100.0,763400.0,5.0
2020-11-02T00:00:00,128.0,130.0,126.0,126.0,-2.0,2700.0,340600.0,4.0
2020-11-03T00:00:00,126.0,119.0,119.0,119.0,-7.0,100.0,11900.0,1.0
2020-11-04T00:00:00,119.0,118.0,113.0,118.0,-1.0,200.0,23100.0,2.0
2020-11-05T00:00:00,118.0,113.0,111.0,113.0,-5.0,200.0,22400.0,2.0
2020-11-06T00:00:00,113.0,113.0,113.0,113.0,0.0,100.0,11300.0,1.0
2020-11-09T00:00:00,113.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0
2020-11-10T00:00:00,113.0,130.0,113.0,129.0,16.0,14800.0,1904400.0,26.0
2020-11-11T00:00:00,129.0,129.0,127.0,128.0,-1.0,34600.0,4448000.0,16.0
2020-11-12T00:00:00,128.0,129.0,128.0,129.0,1.0,3800.0,487600.0,8.0
2020-11-13T00:00:00,129.0,128.0,122.0,128.0,-1.0,3100.0,395100.0,7.0
2020-11-16T00:00:00,128.0,128.0,120.0,128.0,0.0,42000.0,5088300.0,14.0
2020-11-17T00:00:00,128.0,134.0,128.0,130.0,2.0,2000.0,261100.0,9.0
2020-11-18T00:00:00,130.0,130.0,125.0,125.0,-5.0,7300.0,939200.0,7.0
2020-11-19T00:00:00,125.0,119.0,119.0,119.0,-6.0,3400.0,404600.0,3.0
2020-11-20T00:00:00,119.0,144.0,119.0,129.0,10.0,8900.0,1138600.0,27.0
2020-11-23T00:00:00,129.0,129.0,121.0,121.0,-8.0,6900.0,841000.0,6.0
2020-11-24T00:00:00,121.0,121.0,120.0,120.0,-1.0,2800.0,337100.0,5.0
2020-11-25T00:00:00,120.0,132.0,121.0,130.0,10.0,20800.0,2702200.0,10.0
2020-11-26T00:00:00,130.0,140.0,135.0,135.0,5.0,1300.0,178900.0,5.0
2020-11-27T00:00:00,135.0,135.0,134.0,134.0,-1.0,3200.0,428900.0,5.0
2020-11-30T00:00:00,134.0,134.0,125.0,132.0,-2.0,34600.0,4326600.0,10.0
2020-12-01T00:00:00,132.0,132.0,132.0,132.0,0.0,100.0,13200.0,1.0
2020-12-02T00:00:00,132.0,140.0,124.0,125.0,-7.0,13300.0,1726800.0,14.0
2020-12-03T00:00:00,125.0,129.0,128.0,129.0,4.0,900.0,116000.0,4.0
2020-12-04T00:00:00,129.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0
2020-12-07T00:00:00,129.0,130.0,123.0,123.0,-6.0,21000.0,2599000.0,25.0
2020-12-08T00:00:00,123.0,125.0,123.0,125.0,2.0,3600.0,448600.0,7.0
2020-12-10T00:00:00,125.0,129.0,125.0,129.0,4.0,2800.0,351200.0,5.0
2020-12-11T00:00:00,129.0,129.0,120.0,128.0,-1.0,28300.0,3438300.0,15.0
2020-12-14T00:00:00,128.0,132.0,128.0,131.0,3.0,3200.0,418900.0,5.0
2020-12-15T00:00:00,131.0,129.0,125.0,125.0,-6.0,3100.0,387900.0,5.0
2020-12-16T00:00:00,125.0,130.0,125.0,125.0,0.0,6200.0,795500.0,5.0
2020-12-17T00:00:00,125.0,120.0,120.0,120.0,-5.0,300.0,36000.0,3.0
2020-12-18T00:00:00,120.0,131.0,125.0,127.0,7.0,11900.0,1497900.0,9.0
2020-12-21T00:00:00,127.0,134.0,121.0,121.0,-6.0,8900.0,1108900.0,16.0
2020-12-22T00:00:00,121.0,129.0,126.0,127.0,6.0,600.0,76100.0,6.0
2020-12-23T00:00:00,127.0,127.0,125.0,125.0,-2.0,10200.0,1275300.0,3.0
2020-12-28T00:00:00,125.0,127.0,119.0,127.0,2.0,5000.0,623800.0,7.0
2020-12-29T00:00:00,127.0,126.0,121.0,122.0,-5.0,2100.0,254900.0,6.0
2020-12-30T00:00:00,122.0,127.0,119.0,120.0,-2.0,5200.0,627400.0,10.0
2021-01-04T00:00:00,120.0,130.0,121.0,121.0,1.0,1200.0,147700.0,7.0
2021-01-05T00:00:00,121.0,130.0,121.0,126.0,5.0,18300.0,2216500.0,13.0
2021-01-06T00:00:00,126.0,130.0,125.0,125.0,-1.0,200.0,25500.0,2.0
2021-01-07T00:00:00,125.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0
2021-01-08T00:00:00,125.0,125.0,117.0,123.0,-2.0,2400.0,289500.0,10.0
2021-01-11T00:00:00,123.0,118.0,118.0,118.0,-5.0,500.0,59000.0,4.0
2021-01-12T00:00:00,118.0,129.0,118.0,125.0,7.0,25000.0,3193100.0,20.0
2021-01-13T00:00:00,125.0,125.0,125.0,125.0,0.0,2500.0,312500.0,2.0
2021-01-14T00:00:00,125.0,132.0,128.0,128.0,3.0,7700.0,998200.0,15.0
2021-01-15T00:00:00,128.0,128.0,123.0,123.0,-5.0,1100.0,139300.0,3.0
2021-01-18T00:00:00,123.0,123.0,116.0,116.0,-7.0,7800.0,935600.0,11.0
2021-01-19T00:00:00,116.0,132.0,116.0,116.0,0.0,29800.0,3889100.0,28.0
2021-01-20T00:00:00,116.0,115.0,110.0,111.0,-5.0,20700.0,2379000.0,18.0
2021-01-21T00:00:00,111.0,118.0,113.0,118.0,7.0,4500.0,517500.0,13.0
2021-01-22T00:00:00,118.0,125.0,114.0,122.0,4.0,7400.0,897200.0,16.0
2021-01-25T00:00:00,122.0,122.0,114.0,115.0,-7.0,6100.0,707800.0,14.0
2021-01-26T00:00:00,115.0,145.0,120.0,125.0,10.0,820700.0,110057600.0,524.0
2021-01-27T00:00:00,125.0,125.0,117.0,117.0,-8.0,110300.0,13076500.0,56.0
2021-01-28T00:00:00,117.0,115.0,109.0,114.0,-3.0,72400.0,7955600.0,41.0
2021-01-29T00:00:00,114.0,123.0,111.0,117.0,3.0,10600.0,1200800.0,26.0
2021-02-01T00:00:00,117.0,116.0,109.0,110.0,-7.0,37300.0,4119900.0,24.0
2021-02-02T00:00:00,110.0,115.0,107.0,114.0,4.0,1800.0,199100.0,16.0
2021-02-03T00:00:00,114.0,114.0,113.0,114.0,0.0,2000.0,226100.0,5.0
2021-02-04T00:00:00,114.0,120.0,107.0,107.0,-7.0,4500.0,492000.0,15.0
2021-02-05T00:00:00,107.0,111.0,107.0,110.0,3.0,18300.0,2003500.0,10.0
2021-02-08T00:00:00,110.0,113.0,110.0,112.0,2.0,4800.0,535600.0,12.0
2021-02-09T00:00:00,112.0,113.0,108.0,110.0,-2.0,4400.0,491600.0,11.0
2021-02-10T00:00:00,110.0,124.0,105.0,110.0,0.0,75100.0,8752100.0,56.0
2021-02-11T00:00:00,110.0,110.0,110.0,110.0,0.0,6700.0,737000.0,10.0
2021-02-15T00:00:00,110.0,113.0,109.0,112.0,2.0,4000.0,445300.0,20.0
2021-02-16T00:00:00,112.0,122.0,112.0,112.0,0.0,700.0,82200.0,7.0
2021-02-17T00:00:00,112.0,120.0,108.0,119.0,7.0,5100.0,586000.0,25.0
2021-02-18T00:00:00,119.0,119.0,113.0,113.0,-6.0,1400.0,165400.0,5.0
2021-02-19T00:00:00,113.0,113.0,106.0,106.0,-7.0,13600.0,1476000.0,25.0
2021-02-22T00:00:00,106.0,112.0,110.0,111.0,5.0,22100.0,2453100.0,22.0
2021-02-23T00:00:00,111.0,112.0,111.0,112.0,1.0,1800.0,201000.0,6.0
2021-02-24T00:00:00,112.0,109.0,107.0,109.0,-3.0,1900.0,204500.0,5.0
2021-02-25T00:00:00,109.0,110.0,108.0,110.0,1.0,7600.0,833500.0,14.0
2021-02-26T00:00:00,110.0,110.0,109.0,109.0,-1.0,1300.0,142600.0,3.0
2021-03-01T00:00:00,109.0,147.0,112.0,147.0,38.0,1127200.0,161801900.0,311.0
2021-03-02T00:00:00,147.0,198.0,154.0,198.0,51.0,1856100.0,365157600.0,385.0
2021-03-03T00:00:00,198.0,266.0,200.0,266.0,68.0,4544900.0,1159260400.0,1165.0
2021-03-04T00:00:00,266.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0
2021-03-05T00:00:00,266.0,330.0,248.0,248.0,-18.0,1941700.0,574791600.0,558.0
2021-03-08T00:00:00,248.0,248.0,232.0,232.0,-16.0,56900.0,13770000.0,38.0
2021-03-09T00:00:00,232.0,216.0,216.0,216.0,-16.0,3600.0,777600.0,8.0
2021-03-10T00:00:00,216.0,202.0,202.0,202.0,-14.0,9600.0,1939200.0,10.0
2021-03-12T00:00:00,202.0,188.0,188.0,188.0,-14.0,71300.0,13404400.0,36.0
2021-03-15T00:00:00,188.0,179.0,175.0,175.0,-13.0,37600.0,6583600.0,31.0
2021-03-16T00:00:00,175.0,168.0,163.0,167.0,-8.0,929400.0,151665100.0,202.0
2021-03-17T00:00:00,167.0,224.0,156.0,224.0,57.0,4829600.0,951320000.0,1262.0
2021-03-18T00:00:00,224.0,280.0,230.0,250.0,26.0,6792400.0,1796760000.0,1811.0
2021-03-19T00:00:00,250.0,254.0,234.0,234.0,-16.0,127400.0,30218800.0,44.0
2021-03-22T00:00:00,234.0,282.0,218.0,232.0,-2.0,3261300.0,788819000.0,1445.0
2021-03-23T00:00:00,232.0,262.0,216.0,216.0,-16.0,3208200.0,769109200.0,1410.0
2021-03-24T00:00:00,216.0,216.0,202.0,204.0,-12.0,426700.0,86363800.0,74.0
2021-03-25T00:00:00,204.0,254.0,192.0,242.0,38.0,1678800.0,396975500.0,550.0
2021-03-26T00:00:00,242.0,260.0,226.0,226.0,-16.0,237100.0,56133000.0,130.0
2021-03-29T00:00:00,226.0,240.0,212.0,218.0,-8.0,346600.0,74396400.0,156.0
2021-03-30T00:00:00,218.0,218.0,204.0,206.0,-12.0,178500.0,36594800.0,94.0
2021-03-31T00:00:00,206.0,216.0,200.0,204.0,-2.0,221900.0,44963200.0,67.0
2021-04-01T00:00:00,204.0,236.0,204.0,212.0,8.0,364200.0,77251000.0,136.0
2021-04-05T00:00:00,212.0,214.0,210.0,214.0,2.0,180300.0,38191000.0,70.0
2021-04-06T00:00:00,214.0,214.0,210.0,210.0,-4.0,963500.0,203808000.0,42.0
2021-04-07T00:00:00,210.0,214.0,210.0,210.0,0.0,62500.0,13175400.0,36.0
2021-04-08T00:00:00,210.0,230.0,210.0,210.0,0.0,91400.0,19615400.0,65.0
2021-04-09T00:00:00,210.0,216.0,210.0,210.0,0.0,31600.0,6713600.0,32.0
2021-04-12T00:00:00,210.0,226.0,210.0,222.0,12.0,60000.0,13026600.0,30.0
2021-04-13T00:00:00,222.0,228.0,212.0,228.0,6.0,247500.0,53839000.0,52.0
2021-04-14T00:00:00,228.0,270.0,214.0,214.0,-14.0,8706800.0,2203897600.0,2355.0
2021-04-15T00:00:00,214.0,210.0,200.0,200.0,-14.0,1465900.0,296913800.0,482.0
2021-04-16T00:00:00,200.0,204.0,187.0,193.0,-7.0,554500.0,105904500.0,232.0
2021-04-19T00:00:00,193.0,202.0,185.0,194.0,1.0,312200.0,60898900.0,109.0
2021-04-20T00:00:00,194.0,206.0,193.0,204.0,10.0,398300.0,79372000.0,108.0
2021-04-21T00:00:00,204.0,204.0,202.0,202.0,-2.0,160000.0,32540600.0,39.0
2021-04-22T00:00:00,202.0,204.0,202.0,204.0,2.0,94700.0,19196800.0,25.0
2021-04-23T00:00:00,204.0,222.0,190.0,192.0,-12.0,1887100.0,384203100.0,603.0
