date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,165.0,155.0,154.0,154.0,-11.0,15568100.0,2397505600.0,898.0
2020-10-09T00:00:00,154.0,162.0,144.0,159.0,5.0,58543700.0,9131502000.0,6122.0
2020-10-12T00:00:00,159.0,177.0,153.0,177.0,18.0,56778600.0,9408217800.0,7403.0
2020-10-13T00:00:00,177.0,178.0,165.0,165.0,-12.0,2479600.0,424049200.0,302.0
2020-10-14T00:00:00,165.0,154.0,154.0,154.0,-11.0,8045100.0,1238945400.0,774.0
2020-10-15T00:00:00,154.0,144.0,144.0,144.0,-10.0,1990400.0,286617600.0,181.0
2020-10-16T00:00:00,144.0,151.0,134.0,134.0,-10.0,57025400.0,7807964900.0,5355.0
2020-10-19T00:00:00,134.0,141.0,125.0,125.0,-9.0,37309600.0,4892747400.0,3025.0
2020-10-20T00:00:00,125.0,123.0,117.0,117.0,-8.0,37814900.0,4458272400.0,4584.0
2020-10-21T00:00:00,117.0,125.0,109.0,125.0,8.0,41328900.0,4834594200.0,5047.0
2020-10-22T00:00:00,125.0,130.0,117.0,117.0,-8.0,65207800.0,7800954900.0,6680.0
2020-10-23T00:00:00,117.0,117.0,109.0,109.0,-8.0,35522600.0,3890907500.0,3422.0
2020-10-26T00:00:00,109.0,107.0,102.0,102.0,-7.0,11187500.0,1146164600.0,1130.0
2020-10-27T00:00:00,102.0,111.0,96.0,102.0,0.0,35407300.0,3704613600.0,4156.0
2020-11-02T00:00:00,102.0,109.0,95.0,98.0,-4.0,24015200.0,2470988700.0,2719.0
2020-11-03T00:00:00,98.0,105.0,92.0,98.0,0.0,26343600.0,2632357900.0,2605.0
2020-11-04T00:00:00,98.0,104.0,94.0,95.0,-3.0,70871300.0,6936064300.0,6537.0
2020-11-05T00:00:00,95.0,97.0,91.0,94.0,-1.0,26816000.0,2529761100.0,1960.0
2020-11-06T00:00:00,94.0,95.0,91.0,94.0,0.0,20598200.0,1914805100.0,1546.0
2020-11-09T00:00:00,94.0,96.0,88.0,88.0,-6.0,51951500.0,4694036100.0,3011.0
2020-11-10T00:00:00,88.0,89.0,84.0,88.0,0.0,11265300.0,978268600.0,823.0
2020-11-11T00:00:00,88.0,88.0,82.0,82.0,-6.0,29143100.0,2421984100.0,1621.0
2020-11-12T00:00:00,82.0,82.0,77.0,78.0,-4.0,15954800.0,1250810300.0,940.0
2020-11-13T00:00:00,78.0,83.0,78.0,81.0,3.0,12761300.0,1029590100.0,1115.0
2020-11-16T00:00:00,81.0,86.0,81.0,84.0,3.0,12866100.0,1076807200.0,1651.0
2020-11-17T00:00:00,84.0,85.0,79.0,83.0,-1.0,4781300.0,393291400.0,647.0
2020-11-18T00:00:00,83.0,84.0,81.0,83.0,0.0,2795600.0,230924000.0,346.0
2020-11-19T00:00:00,83.0,86.0,81.0,85.0,2.0,4421400.0,371747400.0,431.0
2020-11-20T00:00:00,85.0,87.0,83.0,84.0,-1.0,7040400.0,597830900.0,653.0
2020-11-23T00:00:00,84.0,85.0,83.0,84.0,0.0,3536900.0,295895300.0,393.0
2020-11-24T00:00:00,84.0,86.0,83.0,84.0,0.0,5974700.0,504683700.0,471.0
2020-11-25T00:00:00,84.0,86.0,83.0,84.0,0.0,4984400.0,419068600.0,413.0
2020-11-26T00:00:00,84.0,85.0,81.0,85.0,1.0,4411700.0,367524800.0,335.0
2020-11-27T00:00:00,85.0,89.0,84.0,89.0,4.0,12157300.0,1062555500.0,1112.0
2020-11-30T00:00:00,89.0,91.0,84.0,85.0,-4.0,8343500.0,734063600.0,673.0
2020-12-01T00:00:00,85.0,87.0,82.0,85.0,0.0,4227700.0,355869300.0,328.0
2020-12-02T00:00:00,85.0,87.0,83.0,83.0,-2.0,3321300.0,278291100.0,228.0
2020-12-03T00:00:00,83.0,86.0,83.0,84.0,1.0,3858100.0,325313100.0,256.0
2020-12-04T00:00:00,84.0,86.0,84.0,85.0,1.0,3994000.0,339243400.0,235.0
2020-12-07T00:00:00,85.0,96.0,83.0,96.0,11.0,42489700.0,3903230600.0,2464.0
2020-12-08T00:00:00,96.0,100.0,93.0,94.0,-2.0,19220300.0,1842421800.0,1288.0
2020-12-10T00:00:00,94.0,95.0,90.0,94.0,0.0,7837900.0,731143800.0,588.0
2020-12-11T00:00:00,94.0,105.0,94.0,96.0,2.0,31664900.0,3127327000.0,2096.0
2020-12-14T00:00:00,96.0,98.0,94.0,95.0,-1.0,4752600.0,452569300.0,1023.0
2020-12-15T00:00:00,95.0,97.0,91.0,92.0,-3.0,4443200.0,412413000.0,391.0
2020-12-16T00:00:00,92.0,99.0,90.0,96.0,4.0,29689300.0,2800159000.0,1043.0
2020-12-17T00:00:00,96.0,113.0,95.0,105.0,9.0,75217700.0,7870441000.0,3786.0
2020-12-18T00:00:00,105.0,110.0,100.0,103.0,-2.0,31783200.0,3318093500.0,1664.0
2020-12-21T00:00:00,103.0,113.0,103.0,111.0,8.0,22249400.0,2419440600.0,1298.0
2020-12-22T00:00:00,111.0,130.0,111.0,119.0,8.0,72299900.0,8741469100.0,4564.0
2020-12-23T00:00:00,119.0,123.0,116.0,119.0,0.0,34429600.0,4123062100.0,1986.0
2020-12-28T00:00:00,119.0,123.0,116.0,118.0,-1.0,20841600.0,2483799400.0,996.0
2020-12-29T00:00:00,118.0,119.0,110.0,110.0,-8.0,12851500.0,1445294400.0,982.0
2020-12-30T00:00:00,110.0,110.0,103.0,103.0,-7.0,6945600.0,716596300.0,534.0
2021-01-04T00:00:00,103.0,109.0,96.0,104.0,1.0,13410800.0,1364460500.0,726.0
2021-01-05T00:00:00,104.0,106.0,99.0,100.0,-4.0,5029700.0,511344100.0,439.0
2021-01-06T00:00:00,100.0,109.0,100.0,109.0,9.0,13390400.0,1410881000.0,625.0
2021-01-07T00:00:00,109.0,114.0,107.0,109.0,0.0,16149500.0,1776343800.0,1144.0
2021-01-08T00:00:00,109.0,110.0,103.0,103.0,-6.0,9364100.0,986120100.0,612.0
2021-01-11T00:00:00,103.0,107.0,101.0,104.0,1.0,4706700.0,489050500.0,347.0
2021-01-12T00:00:00,104.0,105.0,101.0,102.0,-2.0,3991200.0,407735600.0,334.0
2021-01-13T00:00:00,102.0,107.0,99.0,103.0,1.0,7706200.0,798568600.0,907.0
2021-01-14T00:00:00,103.0,103.0,99.0,99.0,-4.0,5659900.0,566504000.0,332.0
2021-01-15T00:00:00,99.0,99.0,93.0,93.0,-6.0,9658400.0,920306300.0,650.0
2021-01-18T00:00:00,93.0,103.0,90.0,101.0,8.0,13001400.0,1278733500.0,821.0
2021-01-19T00:00:00,101.0,103.0,95.0,95.0,-6.0,3580300.0,350776900.0,484.0
2021-01-20T00:00:00,95.0,99.0,91.0,95.0,0.0,1646300.0,157212300.0,243.0
2021-01-21T00:00:00,95.0,96.0,93.0,94.0,-1.0,1358500.0,127229200.0,214.0
2021-01-22T00:00:00,94.0,95.0,88.0,91.0,-3.0,2469300.0,224898100.0,255.0
2021-01-25T00:00:00,91.0,91.0,85.0,88.0,-3.0,1714300.0,150232000.0,209.0
2021-01-26T00:00:00,88.0,89.0,83.0,85.0,-3.0,1214000.0,103430600.0,195.0
2021-01-27T00:00:00,85.0,85.0,80.0,80.0,-5.0,2711300.0,218454700.0,328.0
2021-01-28T00:00:00,80.0,80.0,75.0,75.0,-5.0,3357300.0,254334100.0,277.0
2021-01-29T00:00:00,75.0,75.0,70.0,70.0,-5.0,2680100.0,188764200.0,247.0
2021-02-01T00:00:00,70.0,71.0,66.0,70.0,0.0,2454700.0,166319800.0,276.0
2021-02-02T00:00:00,70.0,73.0,68.0,72.0,2.0,5691400.0,407088900.0,258.0
2021-02-03T00:00:00,72.0,76.0,72.0,72.0,0.0,9270100.0,684626600.0,641.0
2021-02-04T00:00:00,72.0,73.0,68.0,70.0,-2.0,1691800.0,118502300.0,234.0
2021-02-05T00:00:00,70.0,72.0,69.0,71.0,1.0,1053500.0,74084000.0,167.0
2021-02-08T00:00:00,71.0,72.0,67.0,70.0,-1.0,7787700.0,533902100.0,376.0
2021-02-09T00:00:00,70.0,72.0,69.0,70.0,0.0,2924700.0,205154800.0,225.0
2021-02-10T00:00:00,70.0,71.0,69.0,70.0,0.0,1291600.0,89373900.0,92.0
2021-02-11T00:00:00,70.0,76.0,69.0,75.0,5.0,9651000.0,704281700.0,1010.0
2021-02-15T00:00:00,75.0,82.0,75.0,77.0,2.0,8217200.0,642503500.0,707.0
2021-02-16T00:00:00,77.0,79.0,76.0,76.0,-1.0,1645800.0,126554400.0,248.0
2021-02-17T00:00:00,76.0,77.0,73.0,74.0,-2.0,1021700.0,76198900.0,184.0
2021-02-18T00:00:00,74.0,76.0,74.0,74.0,0.0,618900.0,46053300.0,95.0
2021-02-19T00:00:00,74.0,77.0,73.0,75.0,1.0,2526300.0,188239100.0,797.0
2021-02-22T00:00:00,75.0,75.0,73.0,73.0,-2.0,1052400.0,77296100.0,166.0
2021-02-23T00:00:00,73.0,75.0,72.0,74.0,1.0,865900.0,63193100.0,130.0
2021-02-24T00:00:00,74.0,74.0,72.0,74.0,0.0,1008300.0,73375300.0,117.0
2021-02-25T00:00:00,74.0,85.0,72.0,80.0,6.0,22107700.0,1761575300.0,4308.0
2021-02-26T00:00:00,80.0,83.0,75.0,77.0,-3.0,5731000.0,438462100.0,466.0
2021-03-01T00:00:00,77.0,78.0,72.0,75.0,-2.0,3369300.0,251011500.0,275.0
2021-03-02T00:00:00,75.0,81.0,74.0,75.0,0.0,3652700.0,281994400.0,1669.0
2021-03-03T00:00:00,75.0,79.0,75.0,75.0,0.0,1294600.0,97894200.0,226.0
2021-03-04T00:00:00,75.0,77.0,74.0,75.0,0.0,591200.0,44388900.0,119.0
2021-03-05T00:00:00,75.0,81.0,74.0,78.0,3.0,13386100.0,1047130300.0,1271.0
2021-03-08T00:00:00,78.0,105.0,79.0,105.0,27.0,216994700.0,21206776800.0,10598.0
2021-03-09T00:00:00,105.0,113.0,98.0,98.0,-7.0,37743400.0,3953499000.0,2235.0
2021-03-10T00:00:00,98.0,92.0,92.0,92.0,-6.0,431400.0,39688800.0,112.0
2021-03-12T00:00:00,92.0,86.0,86.0,86.0,-6.0,2258400.0,194222400.0,258.0
2021-03-15T00:00:00,86.0,106.0,80.0,93.0,7.0,82591200.0,7793344500.0,6133.0
2021-03-16T00:00:00,93.0,94.0,87.0,91.0,-2.0,9035000.0,813001300.0,2825.0
2021-03-17T00:00:00,91.0,97.0,87.0,91.0,0.0,14858100.0,1360459700.0,4245.0
2021-03-18T00:00:00,91.0,97.0,89.0,90.0,-1.0,18069200.0,1680174100.0,6348.0
2021-03-19T00:00:00,90.0,93.0,84.0,84.0,-6.0,18426300.0,1578177200.0,1193.0
2021-03-22T00:00:00,84.0,89.0,81.0,83.0,-1.0,3829300.0,316269100.0,1977.0
2021-03-23T00:00:00,83.0,86.0,80.0,83.0,0.0,3596400.0,298198100.0,467.0
2021-03-24T00:00:00,83.0,83.0,78.0,81.0,-2.0,7595500.0,601162900.0,420.0
2021-03-25T00:00:00,81.0,96.0,78.0,79.0,-2.0,50350200.0,4259603100.0,2802.0
2021-03-26T00:00:00,79.0,84.0,78.0,78.0,-1.0,11690500.0,931659400.0,3749.0
2021-03-29T00:00:00,78.0,79.0,73.0,75.0,-3.0,10515500.0,793695900.0,669.0
2021-03-30T00:00:00,75.0,81.0,73.0,77.0,2.0,9304100.0,719772000.0,2860.0
2021-03-31T00:00:00,77.0,78.0,73.0,75.0,-2.0,2763800.0,208436400.0,362.0
2021-04-01T00:00:00,75.0,78.0,73.0,76.0,1.0,2381300.0,178793100.0,273.0
2021-04-05T00:00:00,76.0,76.0,71.0,74.0,-2.0,6686800.0,489139900.0,450.0
2021-04-06T00:00:00,74.0,82.0,69.0,75.0,1.0,13994300.0,1040192700.0,785.0
2021-04-07T00:00:00,75.0,82.0,75.0,76.0,1.0,21204100.0,1662220500.0,1955.0
2021-04-08T00:00:00,76.0,80.0,74.0,76.0,0.0,11270600.0,865529800.0,1994.0
2021-04-09T00:00:00,76.0,78.0,75.0,76.0,0.0,2660400.0,202958100.0,256.0
2021-04-12T00:00:00,76.0,79.0,75.0,76.0,0.0,2848600.0,218039800.0,243.0
2021-04-13T00:00:00,76.0,77.0,74.0,75.0,-1.0,2248400.0,167965600.0,221.0
2021-04-14T00:00:00,75.0,76.0,74.0,75.0,0.0,1710500.0,128284500.0,191.0
2021-04-15T00:00:00,75.0,76.0,75.0,76.0,1.0,784000.0,58847000.0,115.0
2021-04-16T00:00:00,76.0,76.0,72.0,73.0,-3.0,9507800.0,696376900.0,454.0
2021-04-19T00:00:00,73.0,74.0,72.0,73.0,0.0,1852300.0,135418000.0,208.0
2021-04-20T00:00:00,73.0,74.0,72.0,73.0,0.0,1875300.0,136228700.0,692.0
2021-04-21T00:00:00,73.0,81.0,68.0,79.0,6.0,39688000.0,3081139800.0,3528.0
2021-04-22T00:00:00,79.0,81.0,74.0,75.0,-4.0,17896200.0,1372263600.0,1674.0
2021-04-23T00:00:00,75.0,77.0,70.0,75.0,0.0,3577400.0,268501700.0,333.0
2021-04-26T00:00:00,75.0,76.0,74.0,74.0,-1.0,2718700.0,203005300.0,257.0
2021-04-27T00:00:00,74.0,75.0,73.0,73.0,-1.0,1995200.0,146125400.0,224.0
2021-04-28T00:00:00,73.0,77.0,72.0,73.0,0.0,4735700.0,347989600.0,390.0
2021-04-29T00:00:00,73.0,74.0,72.0,74.0,1.0,978800.0,71630200.0,121.0
2021-04-30T00:00:00,74.0,74.0,73.0,74.0,0.0,1003900.0,73888300.0,135.0
2021-05-03T00:00:00,74.0,74.0,72.0,73.0,-1.0,1623100.0,118080800.0,198.0
2021-05-04T00:00:00,73.0,74.0,72.0,73.0,0.0,907100.0,65947100.0,111.0
2021-05-05T00:00:00,73.0,73.0,72.0,72.0,-1.0,676400.0,48889100.0,110.0
2021-05-06T00:00:00,72.0,77.0,72.0,74.0,2.0,12032600.0,898813800.0,4459.0
2021-05-07T00:00:00,74.0,76.0,73.0,73.0,-1.0,4124700.0,306293800.0,288.0
2021-05-10T00:00:00,73.0,74.0,72.0,72.0,-1.0,1758300.0,127003300.0,332.0
2021-05-11T00:00:00,72.0,74.0,70.0,72.0,0.0,3421300.0,246130600.0,348.0
