date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,101.0,103.0,95.0,99.0,-2.0,79400.0,7985500.0,13.0
2020-10-09T00:00:00,99.0,103.0,99.0,99.0,0.0,164700.0,16636200.0,15.0
2020-10-12T00:00:00,99.0,103.0,98.0,103.0,4.0,75600.0,7691800.0,7.0
2020-10-13T00:00:00,103.0,99.0,99.0,99.0,-4.0,23300.0,2306700.0,8.0
2020-10-14T00:00:00,99.0,103.0,98.0,98.0,-1.0,273900.0,27555200.0,19.0
2020-10-15T00:00:00,98.0,102.0,98.0,98.0,0.0,49600.0,4861800.0,11.0
2020-10-16T00:00:00,98.0,102.0,98.0,100.0,2.0,15900.0,1574400.0,11.0
2020-10-19T00:00:00,100.0,103.0,98.0,99.0,-1.0,95300.0,9601800.0,19.0
2020-10-20T00:00:00,99.0,103.0,98.0,98.0,-1.0,64500.0,6469900.0,25.0
2020-10-21T00:00:00,98.0,103.0,97.0,98.0,0.0,116900.0,11577100.0,30.0
2020-10-22T00:00:00,98.0,99.0,95.0,99.0,1.0,124500.0,11969300.0,24.0
2020-10-23T00:00:00,99.0,104.0,95.0,100.0,1.0,122400.0,12563500.0,26.0
2020-10-26T00:00:00,100.0,102.0,93.0,100.0,0.0,201200.0,20139500.0,22.0
2020-10-27T00:00:00,100.0,101.0,97.0,101.0,1.0,266200.0,26427900.0,19.0
2020-11-02T00:00:00,101.0,100.0,95.0,96.0,-5.0,147500.0,14369700.0,21.0
2020-11-03T00:00:00,96.0,99.0,95.0,95.0,-1.0,20800.0,1997400.0,14.0
2020-11-04T00:00:00,95.0,99.0,97.0,97.0,2.0,41300.0,4058700.0,5.0
2020-11-05T00:00:00,97.0,100.0,96.0,96.0,-1.0,39200.0,3871000.0,8.0
2020-11-06T00:00:00,96.0,100.0,97.0,99.0,3.0,174200.0,16928000.0,14.0
2020-11-09T00:00:00,99.0,101.0,97.0,100.0,1.0,65300.0,6413800.0,13.0
2020-11-10T00:00:00,100.0,99.0,97.0,99.0,-1.0,349500.0,34522100.0,10.0
2020-11-11T00:00:00,99.0,99.0,93.0,97.0,-2.0,1263800.0,124332400.0,41.0
2020-11-12T00:00:00,97.0,99.0,91.0,95.0,-2.0,89300.0,8534100.0,29.0
2020-11-13T00:00:00,95.0,97.0,93.0,96.0,1.0,1506600.0,146133300.0,8.0
2020-11-16T00:00:00,96.0,96.0,92.0,92.0,-4.0,21500.0,2015000.0,9.0
2020-11-17T00:00:00,92.0,98.0,90.0,95.0,3.0,75900.0,7302200.0,17.0
2020-11-18T00:00:00,95.0,97.0,90.0,90.0,-5.0,1627900.0,156130500.0,19.0
2020-11-19T00:00:00,90.0,97.0,96.0,96.0,6.0,10400.0,1003000.0,13.0
2020-11-20T00:00:00,96.0,96.0,90.0,94.0,-2.0,57100.0,5315500.0,31.0
2020-11-23T00:00:00,94.0,98.0,91.0,91.0,-3.0,25100.0,2369700.0,14.0
2020-11-24T00:00:00,91.0,95.0,92.0,94.0,3.0,97200.0,9013800.0,30.0
2020-11-25T00:00:00,94.0,96.0,92.0,96.0,2.0,181900.0,17087600.0,35.0
2020-11-26T00:00:00,96.0,97.0,95.0,97.0,1.0,79100.0,7630400.0,11.0
2020-11-27T00:00:00,97.0,99.0,93.0,99.0,2.0,150200.0,14540900.0,26.0
2020-11-30T00:00:00,99.0,104.0,96.0,104.0,5.0,363900.0,36646700.0,45.0
2020-12-01T00:00:00,104.0,109.0,100.0,100.0,-4.0,98600.0,10435100.0,25.0
2020-12-02T00:00:00,100.0,107.0,99.0,99.0,-1.0,56500.0,5618300.0,20.0
2020-12-03T00:00:00,99.0,105.0,103.0,103.0,4.0,7800.0,816400.0,7.0
2020-12-04T00:00:00,103.0,103.0,98.0,101.0,-2.0,379200.0,37791500.0,37.0
2020-12-07T00:00:00,101.0,107.0,100.0,105.0,4.0,33400.0,3348800.0,12.0
2020-12-08T00:00:00,105.0,103.0,98.0,98.0,-7.0,169400.0,16740600.0,34.0
2020-12-10T00:00:00,98.0,98.0,96.0,96.0,-2.0,69400.0,6675900.0,18.0
2020-12-11T00:00:00,96.0,99.0,95.0,99.0,3.0,25500.0,2437200.0,10.0
2020-12-14T00:00:00,99.0,99.0,97.0,98.0,-1.0,900.0,88400.0,7.0
2020-12-15T00:00:00,98.0,129.0,94.0,107.0,9.0,2210900.0,242165400.0,340.0
2020-12-16T00:00:00,107.0,120.0,101.0,117.0,10.0,553600.0,62725300.0,227.0
2020-12-17T00:00:00,117.0,118.0,110.0,118.0,1.0,787900.0,89690700.0,115.0
2020-12-18T00:00:00,118.0,120.0,110.0,116.0,-2.0,259100.0,29633400.0,82.0
2020-12-21T00:00:00,116.0,120.0,113.0,119.0,3.0,56300.0,6688300.0,34.0
2020-12-22T00:00:00,119.0,120.0,114.0,119.0,0.0,100600.0,11777400.0,36.0
2020-12-23T00:00:00,119.0,120.0,114.0,119.0,0.0,667900.0,78296300.0,66.0
2020-12-28T00:00:00,119.0,120.0,112.0,113.0,-6.0,243300.0,28296500.0,91.0
2020-12-29T00:00:00,113.0,119.0,114.0,115.0,2.0,17300.0,1978400.0,18.0
2020-12-30T00:00:00,115.0,131.0,107.0,130.0,15.0,1175200.0,140043100.0,118.0
2021-01-04T00:00:00,130.0,125.0,121.0,124.0,-6.0,291100.0,35570100.0,68.0
2021-01-05T00:00:00,124.0,125.0,116.0,119.0,-5.0,325300.0,39057700.0,129.0
2021-01-06T00:00:00,119.0,120.0,111.0,116.0,-3.0,884400.0,101703500.0,270.0
2021-01-07T00:00:00,116.0,119.0,112.0,117.0,1.0,57900.0,6698700.0,52.0
2021-01-08T00:00:00,117.0,117.0,113.0,116.0,-1.0,84900.0,9645600.0,28.0
2021-01-11T00:00:00,116.0,122.0,108.0,120.0,4.0,329800.0,36757300.0,104.0
2021-01-12T00:00:00,120.0,119.0,112.0,113.0,-7.0,171100.0,19480500.0,85.0
2021-01-13T00:00:00,113.0,111.0,107.0,111.0,-2.0,132200.0,14372300.0,45.0
