date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,58.0,60.0,54.0,54.0,-4.0,1679800.0,92815700.0,157.0
2020-10-09T00:00:00,54.0,54.0,51.0,52.0,-2.0,429200.0,22230400.0,53.0
2020-10-12T00:00:00,52.0,54.0,51.0,52.0,0.0,355200.0,18509600.0,68.0
2020-10-13T00:00:00,52.0,53.0,50.0,51.0,-1.0,1813400.0,92722800.0,97.0
2020-10-14T00:00:00,51.0,53.0,51.0,51.0,0.0,759900.0,38865500.0,369.0
2020-10-15T00:00:00,51.0,56.0,51.0,56.0,5.0,1485200.0,81360700.0,72.0
2020-10-16T00:00:00,56.0,75.0,56.0,73.0,17.0,82716500.0,5896036000.0,7072.0
2020-10-19T00:00:00,73.0,68.0,68.0,68.0,-5.0,858800.0,58398400.0,84.0
2020-10-20T00:00:00,68.0,64.0,64.0,64.0,-4.0,22700.0,1452800.0,17.0
2020-10-21T00:00:00,64.0,60.0,60.0,60.0,-4.0,4400.0,264000.0,11.0
2020-10-22T00:00:00,60.0,56.0,56.0,56.0,-4.0,7600.0,425600.0,14.0
2020-10-23T00:00:00,56.0,53.0,53.0,53.0,-3.0,346500.0,18364500.0,31.0
2020-10-26T00:00:00,53.0,52.0,50.0,50.0,-3.0,6249500.0,313909300.0,440.0
2020-10-27T00:00:00,50.0,54.0,50.0,53.0,3.0,2199900.0,114132000.0,127.0
2020-11-02T00:00:00,53.0,57.0,53.0,54.0,1.0,904500.0,48658800.0,91.0
2020-11-03T00:00:00,54.0,55.0,51.0,53.0,-1.0,1920800.0,102385000.0,89.0
2020-11-04T00:00:00,53.0,53.0,51.0,52.0,-1.0,882900.0,46286000.0,43.0
2020-11-05T00:00:00,52.0,57.0,52.0,52.0,0.0,3952000.0,211967200.0,230.0
2020-11-06T00:00:00,52.0,54.0,52.0,53.0,1.0,347900.0,18232600.0,41.0
2020-11-09T00:00:00,53.0,54.0,53.0,54.0,1.0,87100.0,4617700.0,17.0
2020-11-10T00:00:00,54.0,57.0,53.0,56.0,2.0,1116100.0,60633000.0,81.0
2020-11-11T00:00:00,56.0,58.0,54.0,57.0,1.0,576500.0,32366400.0,61.0
2020-11-12T00:00:00,57.0,59.0,54.0,54.0,-3.0,2380600.0,135398300.0,652.0
2020-11-13T00:00:00,54.0,54.0,51.0,53.0,-1.0,1385300.0,71140300.0,103.0
2020-11-16T00:00:00,53.0,54.0,52.0,54.0,1.0,358800.0,19060000.0,23.0
2020-11-17T00:00:00,54.0,56.0,52.0,53.0,-1.0,98900.0,5352800.0,26.0
2020-11-18T00:00:00,53.0,54.0,51.0,53.0,0.0,149000.0,7656300.0,34.0
2020-11-19T00:00:00,53.0,54.0,52.0,53.0,0.0,58600.0,3049600.0,17.0
