date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,58.0,66.0,54.0,62.0,4.0,277300.0,16499400.0,68.0
2020-10-09T00:00:00,62.0,66.0,58.0,64.0,2.0,26600.0,1685100.0,51.0
2020-10-12T00:00:00,64.0,64.0,60.0,60.0,-4.0,37800.0,2277300.0,18.0
2020-10-13T00:00:00,60.0,64.0,60.0,60.0,0.0,86900.0,5277000.0,13.0
2020-10-14T00:00:00,60.0,62.0,60.0,61.0,1.0,19500.0,1203200.0,11.0
2020-10-15T00:00:00,61.0,61.0,57.0,61.0,0.0,21000.0,1276400.0,15.0
2020-10-16T00:00:00,61.0,64.0,63.0,63.0,2.0,21500.0,1374700.0,10.0
2020-10-19T00:00:00,63.0,63.0,63.0,63.0,0.0,200.0,12600.0,1.0
2020-10-20T00:00:00,63.0,63.0,59.0,62.0,-1.0,26800.0,1591700.0,14.0
2020-10-21T00:00:00,62.0,69.0,62.0,62.0,0.0,7200.0,472900.0,7.0
2020-10-22T00:00:00,62.0,60.0,59.0,60.0,-2.0,30200.0,1784100.0,17.0
2020-10-23T00:00:00,60.0,63.0,57.0,61.0,1.0,24900.0,1454900.0,16.0
2020-10-26T00:00:00,61.0,61.0,60.0,60.0,-1.0,800.0,48100.0,4.0
2020-10-27T00:00:00,60.0,59.0,59.0,59.0,-1.0,900.0,53100.0,5.0
2020-11-02T00:00:00,59.0,60.0,55.0,59.0,0.0,31200.0,1744900.0,13.0
2020-11-03T00:00:00,59.0,59.0,55.0,57.0,-2.0,9800.0,550200.0,13.0
2020-11-04T00:00:00,57.0,58.0,54.0,58.0,1.0,53600.0,3001100.0,20.0
2020-11-05T00:00:00,58.0,62.0,55.0,55.0,-3.0,16300.0,903500.0,7.0
2020-11-06T00:00:00,55.0,58.0,55.0,56.0,1.0,10900.0,609800.0,15.0
2020-11-09T00:00:00,56.0,56.0,55.0,55.0,-1.0,18600.0,1023100.0,5.0
2020-11-10T00:00:00,55.0,62.0,54.0,60.0,5.0,125300.0,7289300.0,45.0
2020-11-11T00:00:00,60.0,60.0,58.0,60.0,0.0,124400.0,7331600.0,17.0
2020-11-12T00:00:00,60.0,60.0,58.0,60.0,0.0,18600.0,1079200.0,4.0
2020-11-13T00:00:00,60.0,58.0,58.0,58.0,-2.0,216500.0,12557000.0,14.0
2020-11-16T00:00:00,58.0,62.0,57.0,57.0,-1.0,9400.0,553600.0,11.0
2020-11-17T00:00:00,57.0,60.0,57.0,59.0,2.0,32400.0,1916700.0,17.0
2020-11-18T00:00:00,59.0,61.0,59.0,61.0,2.0,61000.0,3599400.0,8.0
2020-11-19T00:00:00,61.0,61.0,59.0,59.0,-2.0,4900.0,290000.0,8.0
2020-11-20T00:00:00,59.0,62.0,58.0,59.0,0.0,387300.0,22470900.0,21.0
2020-11-23T00:00:00,59.0,63.0,58.0,59.0,0.0,7700.0,463700.0,12.0
2020-11-24T00:00:00,59.0,62.0,59.0,62.0,3.0,68700.0,4084200.0,12.0
2020-11-25T00:00:00,62.0,62.0,59.0,59.0,-3.0,7800.0,463100.0,12.0
2020-11-26T00:00:00,59.0,61.0,58.0,58.0,-1.0,69400.0,4229800.0,12.0
2020-11-27T00:00:00,58.0,60.0,58.0,60.0,2.0,6700.0,394600.0,10.0
2020-11-30T00:00:00,60.0,63.0,60.0,60.0,0.0,168200.0,10409900.0,19.0
2020-12-01T00:00:00,60.0,62.0,59.0,61.0,1.0,319800.0,19488700.0,14.0
2020-12-02T00:00:00,61.0,61.0,59.0,59.0,-2.0,34400.0,2066800.0,21.0
2020-12-03T00:00:00,59.0,62.0,58.0,58.0,-1.0,23700.0,1406800.0,12.0
2020-12-04T00:00:00,58.0,78.0,58.0,70.0,12.0,507900.0,35623300.0,163.0
2020-12-07T00:00:00,70.0,81.0,68.0,75.0,5.0,153200.0,11445800.0,109.0
2020-12-08T00:00:00,75.0,82.0,71.0,75.0,0.0,274900.0,20819500.0,120.0
2020-12-10T00:00:00,75.0,80.0,76.0,76.0,1.0,80800.0,6225700.0,45.0
2020-12-11T00:00:00,76.0,78.0,76.0,76.0,0.0,23700.0,1806800.0,18.0
2020-12-14T00:00:00,76.0,78.0,75.0,75.0,-1.0,223500.0,16915800.0,36.0
2020-12-15T00:00:00,75.0,78.0,75.0,75.0,0.0,29800.0,2288800.0,25.0
2020-12-16T00:00:00,75.0,77.0,74.0,74.0,-1.0,55000.0,4177600.0,27.0
2020-12-17T00:00:00,74.0,74.0,72.0,72.0,-2.0,62200.0,4597800.0,17.0
2020-12-18T00:00:00,72.0,78.0,72.0,73.0,1.0,109900.0,8307000.0,16.0
2020-12-21T00:00:00,73.0,73.0,70.0,70.0,-3.0,75800.0,5430000.0,24.0
2020-12-22T00:00:00,70.0,75.0,72.0,73.0,3.0,12400.0,917400.0,20.0
2020-12-23T00:00:00,73.0,83.0,73.0,74.0,1.0,629800.0,49672100.0,73.0
2020-12-28T00:00:00,74.0,93.0,74.0,91.0,17.0,819100.0,72660900.0,292.0
2020-12-29T00:00:00,91.0,95.0,85.0,91.0,0.0,653200.0,58208600.0,120.0
2020-12-30T00:00:00,91.0,93.0,85.0,85.0,-6.0,576600.0,49081300.0,50.0
2021-01-04T00:00:00,85.0,90.0,80.0,80.0,-5.0,127100.0,10224100.0,42.0
2021-01-05T00:00:00,80.0,80.0,75.0,75.0,-5.0,35700.0,2819000.0,38.0
2021-01-06T00:00:00,75.0,98.0,71.0,77.0,2.0,116800.0,9988800.0,113.0
2021-01-07T00:00:00,77.0,90.0,75.0,79.0,2.0,260200.0,21581300.0,95.0
2021-01-08T00:00:00,79.0,85.0,77.0,78.0,-1.0,196700.0,15349200.0,54.0
2021-01-11T00:00:00,78.0,82.0,75.0,76.0,-2.0,43000.0,3397500.0,36.0
2021-01-12T00:00:00,76.0,82.0,73.0,74.0,-2.0,358400.0,28050200.0,55.0
2021-01-13T00:00:00,74.0,74.0,71.0,71.0,-3.0,38300.0,2742900.0,34.0
2021-01-14T00:00:00,71.0,72.0,68.0,71.0,0.0,103800.0,7442600.0,28.0
2021-01-15T00:00:00,71.0,95.0,67.0,71.0,0.0,593900.0,49734400.0,258.0
