date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,85.0,87.0,83.0,83.0,-2.0,151641800.0,12801632700.0,4387.0
2020-10-09T00:00:00,83.0,85.0,82.0,84.0,1.0,94193900.0,7848737300.0,2473.0
2020-10-12T00:00:00,84.0,85.0,82.0,83.0,-1.0,120748300.0,10061987500.0,2905.0
2020-10-13T00:00:00,83.0,86.0,80.0,84.0,1.0,445126500.0,37047244000.0,7557.0
2020-10-14T00:00:00,84.0,87.0,83.0,83.0,-1.0,309150300.0,26169983200.0,6192.0
2020-10-15T00:00:00,83.0,85.0,82.0,83.0,0.0,124274200.0,10344480100.0,3069.0
2020-10-16T00:00:00,83.0,84.0,82.0,82.0,-1.0,74205800.0,6131951600.0,2012.0
2020-10-19T00:00:00,82.0,85.0,80.0,82.0,0.0,284250500.0,23420208200.0,6059.0
2020-10-20T00:00:00,82.0,82.0,77.0,78.0,-4.0,420904400.0,33209234300.0,8566.0
2020-10-21T00:00:00,78.0,80.0,78.0,79.0,1.0,99453000.0,7838172200.0,2623.0
2020-10-22T00:00:00,79.0,79.0,74.0,75.0,-4.0,418378900.0,31687478300.0,7879.0
2020-10-23T00:00:00,75.0,76.0,70.0,73.0,-2.0,379749800.0,27587572500.0,7354.0
2020-10-26T00:00:00,73.0,73.0,68.0,68.0,-5.0,805610300.0,56226061300.0,14026.0
2020-10-27T00:00:00,68.0,71.0,66.0,70.0,2.0,365544400.0,25280862700.0,7510.0
2020-11-02T00:00:00,70.0,71.0,66.0,67.0,-3.0,345868300.0,23386478500.0,6502.0
2020-11-03T00:00:00,67.0,69.0,67.0,68.0,1.0,89997100.0,6103365300.0,2711.0
2020-11-04T00:00:00,68.0,70.0,66.0,67.0,-1.0,124820000.0,8475515700.0,3490.0
2020-11-05T00:00:00,67.0,69.0,64.0,66.0,-1.0,591275400.0,39356269000.0,9305.0
2020-11-06T00:00:00,66.0,67.0,62.0,64.0,-2.0,526431600.0,33780588700.0,9735.0
2020-11-09T00:00:00,64.0,66.0,62.0,63.0,-1.0,463413300.0,29670093300.0,7951.0
2020-11-10T00:00:00,63.0,65.0,61.0,63.0,0.0,444987300.0,27961457000.0,6897.0
2020-11-11T00:00:00,63.0,69.0,63.0,69.0,6.0,1864840400.0,123547421400.0,23651.0
2020-11-12T00:00:00,69.0,70.0,65.0,65.0,-4.0,1700863100.0,112864576700.0,21390.0
2020-11-13T00:00:00,65.0,65.0,61.0,61.0,-4.0,1658013300.0,102482162300.0,22864.0
2020-11-16T00:00:00,61.0,63.0,59.0,62.0,1.0,642757000.0,39263852000.0,11576.0
2020-11-17T00:00:00,62.0,65.0,61.0,63.0,1.0,525624800.0,32995800300.0,7887.0
2020-11-18T00:00:00,63.0,67.0,62.0,65.0,2.0,1161637200.0,75505056200.0,12494.0
2020-11-19T00:00:00,65.0,66.0,64.0,65.0,0.0,629741000.0,40948636000.0,8410.0
2020-11-20T00:00:00,65.0,73.0,64.0,68.0,3.0,3572010200.0,247269302400.0,33918.0
2020-11-23T00:00:00,68.0,72.0,68.0,70.0,2.0,1839309100.0,129204555900.0,19626.0
2020-11-24T00:00:00,70.0,77.0,70.0,74.0,4.0,3158096100.0,233088136900.0,31447.0
2020-11-25T00:00:00,74.0,77.0,70.0,73.0,-1.0,2790811600.0,204686022700.0,23661.0
2020-11-26T00:00:00,73.0,74.0,70.0,70.0,-3.0,2126593500.0,152014691600.0,16106.0
2020-11-27T00:00:00,70.0,73.0,69.0,69.0,-1.0,1439738000.0,101514299400.0,11712.0
2020-11-30T00:00:00,69.0,71.0,66.0,67.0,-2.0,2577766600.0,175607780400.0,17193.0
2020-12-01T00:00:00,67.0,70.0,65.0,68.0,1.0,942013800.0,63428703500.0,10985.0
2020-12-02T00:00:00,68.0,69.0,66.0,67.0,-1.0,732452300.0,49254994200.0,8695.0
2020-12-03T00:00:00,67.0,68.0,64.0,65.0,-2.0,1047307400.0,68588023800.0,12173.0
2020-12-04T00:00:00,65.0,69.0,64.0,67.0,2.0,961425400.0,64102169600.0,11168.0
2020-12-07T00:00:00,67.0,70.0,66.0,69.0,2.0,2291372100.0,155254743100.0,16556.0
2020-12-08T00:00:00,69.0,84.0,68.0,78.0,9.0,8458832000.0,647655709400.0,75467.0
2020-12-10T00:00:00,78.0,83.0,74.0,75.0,-3.0,4234638200.0,327228792800.0,43459.0
2020-12-11T00:00:00,75.0,77.0,73.0,74.0,-1.0,1513244200.0,113127231500.0,16361.0
2020-12-14T00:00:00,74.0,80.0,74.0,76.0,2.0,4186358900.0,319995143700.0,30363.0
2020-12-15T00:00:00,76.0,77.0,73.0,75.0,-1.0,2154048900.0,160573729300.0,21429.0
2020-12-16T00:00:00,75.0,82.0,71.0,73.0,-2.0,6891566200.0,521251809800.0,68275.0
2020-12-17T00:00:00,73.0,74.0,71.0,72.0,-1.0,1712290700.0,123667058500.0,23481.0
2020-12-18T00:00:00,72.0,75.0,72.0,72.0,0.0,2092008700.0,153306732700.0,24524.0
2020-12-21T00:00:00,72.0,75.0,72.0,72.0,0.0,1076225300.0,78805731500.0,17096.0
2020-12-22T00:00:00,72.0,74.0,70.0,70.0,-2.0,1469799200.0,104599499500.0,22711.0
2020-12-23T00:00:00,70.0,72.0,67.0,70.0,0.0,1327955700.0,91939867300.0,17158.0
2020-12-28T00:00:00,70.0,73.0,69.0,71.0,1.0,618116900.0,43534627500.0,10809.0
2020-12-29T00:00:00,71.0,72.0,69.0,70.0,-1.0,652380000.0,45889899200.0,9690.0
2020-12-30T00:00:00,70.0,70.0,67.0,67.0,-3.0,864942800.0,58933558100.0,14403.0
2021-01-04T00:00:00,67.0,71.0,66.0,70.0,3.0,1026169400.0,70860509700.0,12151.0
2021-01-05T00:00:00,70.0,70.0,68.0,68.0,-2.0,386563200.0,26612024300.0,7726.0
2021-01-06T00:00:00,68.0,69.0,66.0,68.0,0.0,566155400.0,38288128100.0,10130.0
2021-01-07T00:00:00,68.0,69.0,66.0,67.0,-1.0,538235100.0,36245615200.0,9643.0
2021-01-08T00:00:00,67.0,69.0,67.0,67.0,0.0,667505300.0,45309306000.0,9751.0
2021-01-11T00:00:00,67.0,68.0,66.0,66.0,-1.0,643605900.0,42905251600.0,11069.0
