date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,132.0,132.0,123.0,123.0,-9.0,900.0,111600.0,4.0
2020-10-09T00:00:00,123.0,132.0,132.0,132.0,9.0,100.0,13200.0,1.0
2020-10-12T00:00:00,132.0,132.0,123.0,123.0,-9.0,9600.0,1227800.0,10.0
2020-10-13T00:00:00,123.0,120.0,115.0,116.0,-7.0,5200.0,623100.0,3.0
2020-10-14T00:00:00,116.0,132.0,109.0,117.0,1.0,79900.0,10273500.0,25.0
2020-10-15T00:00:00,117.0,136.0,109.0,127.0,10.0,47500.0,5715400.0,24.0
2020-10-16T00:00:00,127.0,154.0,119.0,119.0,-8.0,30100.0,4030600.0,40.0
2020-10-19T00:00:00,119.0,120.0,111.0,112.0,-7.0,2500.0,295100.0,6.0
2020-10-20T00:00:00,112.0,115.0,113.0,115.0,3.0,500.0,57000.0,4.0
2020-10-21T00:00:00,115.0,123.0,108.0,120.0,5.0,89200.0,10473900.0,12.0
2020-10-22T00:00:00,120.0,131.0,112.0,125.0,5.0,27300.0,3249200.0,17.0
2020-10-23T00:00:00,125.0,126.0,117.0,117.0,-8.0,10300.0,1206000.0,5.0
2020-10-26T00:00:00,117.0,131.0,109.0,109.0,-8.0,6400.0,793900.0,9.0
2020-10-27T00:00:00,109.0,130.0,102.0,119.0,10.0,15700.0,1804700.0,14.0
2020-11-02T00:00:00,119.0,129.0,113.0,113.0,-6.0,6600.0,829600.0,13.0
2020-11-03T00:00:00,113.0,120.0,113.0,113.0,0.0,2800.0,327100.0,12.0
2020-11-04T00:00:00,113.0,120.0,114.0,114.0,1.0,700.0,80400.0,4.0
2020-11-05T00:00:00,114.0,118.0,117.0,118.0,4.0,37600.0,4406000.0,14.0
2020-11-06T00:00:00,118.0,130.0,111.0,128.0,10.0,41300.0,4632600.0,11.0
2020-11-09T00:00:00,128.0,138.0,123.0,128.0,0.0,3200.0,402600.0,7.0
2020-11-10T00:00:00,128.0,128.0,120.0,126.0,-2.0,18300.0,2253700.0,16.0
2020-11-11T00:00:00,126.0,126.0,126.0,126.0,0.0,400.0,50400.0,2.0
2020-11-12T00:00:00,126.0,136.0,120.0,120.0,-6.0,15800.0,2076200.0,12.0
2020-11-13T00:00:00,120.0,119.0,112.0,114.0,-6.0,21600.0,2447000.0,21.0
2020-11-16T00:00:00,114.0,115.0,107.0,108.0,-6.0,3200.0,349800.0,9.0
2020-11-17T00:00:00,108.0,108.0,102.0,108.0,0.0,5900.0,606700.0,10.0
2020-11-18T00:00:00,108.0,118.0,105.0,117.0,9.0,26600.0,2844700.0,18.0
2020-11-19T00:00:00,117.0,127.0,110.0,122.0,5.0,38100.0,4670100.0,16.0
2020-11-20T00:00:00,122.0,131.0,115.0,122.0,0.0,13100.0,1594300.0,9.0
2020-11-23T00:00:00,122.0,122.0,120.0,121.0,-1.0,11000.0,1339400.0,8.0
2020-11-24T00:00:00,121.0,121.0,119.0,119.0,-2.0,2300.0,277300.0,4.0
2020-11-25T00:00:00,119.0,122.0,114.0,114.0,-5.0,3600.0,416200.0,10.0
2020-11-26T00:00:00,114.0,124.0,107.0,110.0,-4.0,7100.0,789300.0,11.0
2020-11-27T00:00:00,110.0,129.0,110.0,119.0,9.0,3500.0,397000.0,13.0
2020-11-30T00:00:00,119.0,129.0,111.0,112.0,-7.0,51000.0,5961700.0,30.0
2020-12-01T00:00:00,112.0,122.0,119.0,119.0,7.0,6300.0,755000.0,15.0
2020-12-02T00:00:00,119.0,118.0,111.0,118.0,-1.0,10200.0,1151100.0,19.0
2020-12-03T00:00:00,118.0,118.0,111.0,111.0,-7.0,21000.0,2378800.0,21.0
2020-12-04T00:00:00,111.0,116.0,111.0,116.0,5.0,1400.0,161400.0,7.0
2020-12-07T00:00:00,116.0,116.0,110.0,115.0,-1.0,1400.0,161500.0,8.0
2020-12-08T00:00:00,115.0,131.0,108.0,119.0,4.0,180500.0,21241900.0,100.0
2020-12-10T00:00:00,119.0,119.0,111.0,112.0,-7.0,143700.0,16337400.0,35.0
2020-12-11T00:00:00,112.0,139.0,110.0,110.0,-2.0,198000.0,22450500.0,69.0
2020-12-14T00:00:00,110.0,125.0,110.0,111.0,1.0,71900.0,8650100.0,22.0
2020-12-15T00:00:00,111.0,149.0,110.0,130.0,19.0,586400.0,81352800.0,164.0
2020-12-16T00:00:00,130.0,150.0,122.0,130.0,0.0,90700.0,11555200.0,50.0
2020-12-17T00:00:00,130.0,130.0,123.0,123.0,-7.0,61700.0,7622600.0,34.0
2020-12-18T00:00:00,123.0,123.0,118.0,118.0,-5.0,42000.0,5001000.0,27.0
2020-12-21T00:00:00,118.0,123.0,110.0,117.0,-1.0,82500.0,9218400.0,42.0
2020-12-22T00:00:00,117.0,125.0,115.0,115.0,-2.0,32700.0,3856600.0,16.0
2020-12-23T00:00:00,115.0,123.0,110.0,122.0,7.0,49600.0,5691300.0,30.0
2020-12-28T00:00:00,122.0,124.0,120.0,120.0,-2.0,2300.0,280400.0,7.0
2020-12-29T00:00:00,120.0,123.0,114.0,117.0,-3.0,1200.0,140400.0,9.0
2020-12-30T00:00:00,117.0,124.0,109.0,109.0,-8.0,70200.0,7834300.0,38.0
2021-01-04T00:00:00,109.0,118.0,110.0,110.0,1.0,6600.0,765300.0,12.0
2021-01-05T00:00:00,110.0,113.0,105.0,113.0,3.0,24500.0,2681800.0,16.0
2021-01-06T00:00:00,113.0,109.0,107.0,109.0,-4.0,1500.0,162800.0,6.0
2021-01-07T00:00:00,109.0,119.0,109.0,109.0,0.0,10500.0,1180900.0,18.0
2021-01-08T00:00:00,109.0,109.0,106.0,108.0,-1.0,11400.0,1232900.0,16.0
2021-01-11T00:00:00,108.0,118.0,104.0,112.0,4.0,15500.0,1645200.0,19.0
2021-01-12T00:00:00,112.0,115.0,105.0,115.0,3.0,2300.0,257500.0,14.0
2021-01-13T00:00:00,115.0,115.0,115.0,115.0,0.0,600.0,69000.0,2.0
2021-01-14T00:00:00,115.0,116.0,107.0,116.0,1.0,24800.0,2834000.0,14.0
2021-01-15T00:00:00,116.0,116.0,116.0,116.0,0.0,200.0,23200.0,1.0
2021-01-18T00:00:00,116.0,150.0,109.0,118.0,2.0,99200.0,11764600.0,44.0
2021-01-19T00:00:00,118.0,120.0,112.0,119.0,1.0,11400.0,1287500.0,9.0
2021-01-20T00:00:00,119.0,160.0,113.0,160.0,41.0,656500.0,101885300.0,198.0
2021-01-21T00:00:00,160.0,216.0,170.0,216.0,56.0,181000.0,37207500.0,70.0
2021-01-22T00:00:00,216.0,270.0,220.0,270.0,54.0,336200.0,90342400.0,98.0
2021-01-25T00:00:00,270.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0
2021-01-26T00:00:00,270.0,336.0,276.0,336.0,66.0,913500.0,299696400.0,445.0
2021-01-27T00:00:00,336.0,420.0,352.0,420.0,84.0,363000.0,151074800.0,247.0
2021-01-28T00:00:00,420.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
2021-01-29T00:00:00,420.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
2021-02-01T00:00:00,420.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
2021-02-02T00:00:00,420.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
2021-02-03T00:00:00,420.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
2021-02-04T00:00:00,420.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
2021-02-05T00:00:00,420.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
2021-02-08T00:00:00,420.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
2021-02-09T00:00:00,420.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
2021-02-10T00:00:00,420.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
2021-02-11T00:00:00,420.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
2021-02-15T00:00:00,420.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
2021-02-16T00:00:00,420.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
2021-02-17T00:00:00,420.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
2021-02-18T00:00:00,420.0,428.0,392.0,392.0,-28.0,39600.0,15877200.0,27.0
2021-02-19T00:00:00,392.0,366.0,366.0,366.0,-26.0,3700.0,1354200.0,8.0
2021-02-22T00:00:00,366.0,342.0,342.0,342.0,-24.0,1900.0,649800.0,9.0
2021-02-23T00:00:00,342.0,340.0,320.0,320.0,-22.0,16100.0,5154000.0,14.0
2021-02-24T00:00:00,320.0,298.0,298.0,298.0,-22.0,54900.0,16360200.0,29.0
2021-02-25T00:00:00,298.0,278.0,278.0,278.0,-20.0,48600.0,13510800.0,31.0
2021-02-26T00:00:00,278.0,260.0,260.0,260.0,-18.0,5800.0,1508000.0,13.0
2021-03-01T00:00:00,260.0,242.0,242.0,242.0,-18.0,139000.0,33638000.0,64.0
2021-03-02T00:00:00,242.0,302.0,226.0,302.0,60.0,777000.0,208705600.0,390.0
2021-03-03T00:00:00,302.0,376.0,302.0,376.0,74.0,387600.0,142193400.0,218.0
2021-03-04T00:00:00,376.0,470.0,394.0,470.0,94.0,948400.0,436008200.0,640.0
2021-03-05T00:00:00,470.0,480.0,438.0,438.0,-32.0,67900.0,31188000.0,68.0
