date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,190.0,208.0,180.0,208.0,18.0,14500.0,2770600.0,66.0
2020-10-09T00:00:00,208.0,208.0,195.0,196.0,-12.0,17600.0,3438200.0,17.0
2020-10-12T00:00:00,196.0,199.0,186.0,198.0,2.0,5900.0,1145600.0,11.0
2020-10-13T00:00:00,198.0,210.0,188.0,200.0,2.0,21700.0,4334300.0,20.0
2020-10-14T00:00:00,200.0,210.0,193.0,193.0,-7.0,600.0,124300.0,3.0
2020-10-15T00:00:00,193.0,208.0,186.0,189.0,-4.0,10600.0,2069100.0,12.0
2020-10-16T00:00:00,189.0,208.0,190.0,195.0,6.0,1200.0,236700.0,9.0
2020-10-19T00:00:00,195.0,204.0,185.0,190.0,-5.0,700.0,136000.0,7.0
2020-10-20T00:00:00,190.0,204.0,181.0,200.0,10.0,500.0,98700.0,5.0
2020-10-21T00:00:00,200.0,210.0,200.0,206.0,6.0,174900.0,35574600.0,31.0
2020-10-22T00:00:00,206.0,206.0,200.0,200.0,-6.0,800.0,163400.0,5.0
2020-10-23T00:00:00,200.0,200.0,195.0,200.0,0.0,200.0,39500.0,2.0
2020-10-26T00:00:00,200.0,220.0,200.0,216.0,16.0,1400.0,297600.0,7.0
2020-10-27T00:00:00,216.0,218.0,206.0,218.0,2.0,3000.0,647400.0,9.0
2020-11-02T00:00:00,218.0,218.0,204.0,204.0,-14.0,2900.0,594600.0,8.0
2020-11-03T00:00:00,204.0,218.0,190.0,216.0,12.0,500.0,102500.0,5.0
2020-11-04T00:00:00,216.0,222.0,202.0,204.0,-12.0,5000.0,1052400.0,19.0
2020-11-05T00:00:00,204.0,216.0,199.0,216.0,12.0,1300.0,272200.0,11.0
2020-11-06T00:00:00,216.0,214.0,204.0,214.0,-2.0,19700.0,4032600.0,14.0
2020-11-09T00:00:00,214.0,240.0,200.0,216.0,2.0,4200.0,872800.0,17.0
2020-11-10T00:00:00,216.0,220.0,206.0,206.0,-10.0,122400.0,26406400.0,25.0
2020-11-11T00:00:00,206.0,218.0,199.0,214.0,8.0,4100.0,871700.0,13.0
2020-11-12T00:00:00,214.0,218.0,210.0,210.0,-4.0,2200.0,478000.0,5.0
2020-11-13T00:00:00,210.0,220.0,196.0,196.0,-14.0,20700.0,4168200.0,20.0
2020-11-16T00:00:00,196.0,226.0,193.0,216.0,20.0,40600.0,8742300.0,28.0
2020-11-17T00:00:00,216.0,212.0,206.0,206.0,-10.0,1100.0,229800.0,4.0
2020-11-18T00:00:00,206.0,212.0,197.0,206.0,0.0,8400.0,1745300.0,14.0
2020-11-19T00:00:00,206.0,236.0,206.0,206.0,0.0,6700.0,1417000.0,32.0
2020-11-20T00:00:00,206.0,222.0,200.0,210.0,4.0,106700.0,21445200.0,21.0
2020-11-23T00:00:00,210.0,212.0,210.0,212.0,2.0,25100.0,5271400.0,6.0
2020-11-24T00:00:00,212.0,204.0,200.0,200.0,-12.0,26400.0,5332800.0,12.0
2020-11-25T00:00:00,200.0,218.0,204.0,204.0,4.0,123500.0,26697600.0,24.0
2020-11-26T00:00:00,204.0,218.0,200.0,216.0,12.0,37100.0,7430800.0,9.0
2020-11-27T00:00:00,216.0,216.0,210.0,210.0,-6.0,2100.0,452200.0,4.0
2020-11-30T00:00:00,210.0,218.0,206.0,206.0,-4.0,47400.0,10219000.0,17.0
2020-12-01T00:00:00,206.0,226.0,200.0,206.0,0.0,379900.0,79023200.0,29.0
2020-12-02T00:00:00,206.0,212.0,206.0,212.0,6.0,6600.0,1360200.0,2.0
2020-12-03T00:00:00,212.0,218.0,202.0,202.0,-10.0,600.0,122800.0,4.0
2020-12-04T00:00:00,202.0,212.0,210.0,212.0,10.0,250800.0,53167200.0,4.0
2020-12-07T00:00:00,212.0,218.0,204.0,212.0,0.0,3600.0,759200.0,20.0
2020-12-08T00:00:00,212.0,218.0,206.0,218.0,6.0,76300.0,16606200.0,14.0
2020-12-10T00:00:00,218.0,218.0,216.0,218.0,0.0,11900.0,2573400.0,9.0
2020-12-11T00:00:00,218.0,228.0,204.0,206.0,-12.0,1944900.0,404393000.0,22.0
2020-12-14T00:00:00,206.0,216.0,206.0,206.0,0.0,16000.0,3401400.0,21.0
2020-12-15T00:00:00,206.0,218.0,206.0,208.0,2.0,1961100.0,411829200.0,7.0
2020-12-16T00:00:00,208.0,218.0,208.0,214.0,6.0,3806900.0,799444800.0,19.0
2020-12-17T00:00:00,214.0,222.0,208.0,216.0,2.0,61600.0,13130800.0,15.0
2020-12-18T00:00:00,216.0,218.0,210.0,210.0,-6.0,1900.0,406600.0,9.0
2020-12-21T00:00:00,210.0,220.0,210.0,214.0,4.0,2400.0,510200.0,11.0
2020-12-22T00:00:00,214.0,216.0,206.0,206.0,-8.0,6220300.0,1281384400.0,15.0
2020-12-23T00:00:00,206.0,214.0,200.0,214.0,8.0,1000.0,203400.0,9.0
2020-12-28T00:00:00,214.0,216.0,210.0,214.0,0.0,3310900.0,708512600.0,17.0
2020-12-29T00:00:00,214.0,216.0,212.0,214.0,0.0,2300.0,491000.0,11.0
2020-12-30T00:00:00,214.0,216.0,216.0,216.0,2.0,200.0,43200.0,2.0
2021-01-04T00:00:00,216.0,216.0,210.0,210.0,-6.0,2700.0,568400.0,3.0
2021-01-05T00:00:00,210.0,214.0,206.0,206.0,-4.0,8500.0,1772000.0,10.0
2021-01-06T00:00:00,206.0,216.0,216.0,216.0,10.0,100.0,21600.0,1.0
2021-01-07T00:00:00,216.0,216.0,216.0,216.0,0.0,100.0,21600.0,1.0
2021-01-08T00:00:00,216.0,216.0,206.0,216.0,0.0,300.0,63800.0,3.0
2021-01-11T00:00:00,216.0,216.0,206.0,214.0,-2.0,9500.0,1973400.0,10.0
2021-01-12T00:00:00,214.0,210.0,204.0,210.0,-4.0,300.0,61800.0,3.0
2021-01-13T00:00:00,210.0,210.0,204.0,210.0,0.0,200.0,41400.0,2.0
2021-01-14T00:00:00,210.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0
2021-01-15T00:00:00,210.0,210.0,210.0,210.0,0.0,100.0,21000.0,1.0
2021-01-18T00:00:00,210.0,212.0,208.0,208.0,-2.0,13000.0,2727400.0,13.0
2021-01-19T00:00:00,208.0,208.0,202.0,206.0,-2.0,66800.0,13720800.0,9.0
2021-01-20T00:00:00,206.0,210.0,193.0,194.0,-12.0,18900.0,3708800.0,16.0
2021-01-21T00:00:00,194.0,216.0,194.0,195.0,1.0,6700.0,1333600.0,14.0
2021-01-22T00:00:00,195.0,204.0,185.0,202.0,7.0,2900.0,543600.0,11.0
2021-01-25T00:00:00,202.0,216.0,190.0,206.0,4.0,10600.0,2175000.0,14.0
2021-01-26T00:00:00,206.0,206.0,192.0,200.0,-6.0,6000.0,1182700.0,17.0
2021-01-27T00:00:00,200.0,200.0,194.0,194.0,-6.0,5200.0,1035100.0,11.0
2021-01-28T00:00:00,194.0,216.0,181.0,216.0,22.0,99700.0,20828300.0,40.0
2021-01-29T00:00:00,216.0,236.0,202.0,204.0,-12.0,92900.0,19944600.0,40.0
2021-02-01T00:00:00,204.0,222.0,194.0,222.0,18.0,114000.0,24789400.0,16.0
2021-02-02T00:00:00,222.0,222.0,208.0,208.0,-14.0,23000.0,4794600.0,20.0
2021-02-03T00:00:00,208.0,208.0,196.0,206.0,-2.0,800.0,160000.0,4.0
2021-02-04T00:00:00,206.0,206.0,192.0,196.0,-10.0,7600.0,1503000.0,25.0
2021-02-05T00:00:00,196.0,206.0,188.0,199.0,3.0,16300.0,3101200.0,20.0
2021-02-08T00:00:00,199.0,210.0,199.0,210.0,11.0,14000.0,2820200.0,29.0
2021-02-09T00:00:00,210.0,226.0,200.0,200.0,-10.0,76800.0,16391000.0,57.0
2021-02-10T00:00:00,200.0,214.0,202.0,202.0,2.0,6100.0,1261200.0,17.0
2021-02-11T00:00:00,202.0,234.0,198.0,218.0,16.0,159500.0,34781900.0,61.0
2021-02-15T00:00:00,218.0,250.0,204.0,208.0,-10.0,694100.0,154534800.0,198.0
2021-02-16T00:00:00,208.0,232.0,208.0,214.0,6.0,345600.0,76809000.0,96.0
2021-02-17T00:00:00,214.0,238.0,210.0,238.0,24.0,327200.0,74510400.0,81.0
2021-02-18T00:00:00,238.0,240.0,222.0,238.0,0.0,174200.0,40028000.0,45.0
2021-02-19T00:00:00,238.0,262.0,222.0,252.0,14.0,939100.0,234324200.0,159.0
2021-02-22T00:00:00,252.0,274.0,246.0,264.0,12.0,578700.0,150530800.0,188.0
2021-02-23T00:00:00,264.0,286.0,262.0,282.0,18.0,1054000.0,293323400.0,328.0
2021-02-24T00:00:00,282.0,296.0,268.0,280.0,-2.0,717100.0,204984400.0,191.0
2021-02-25T00:00:00,280.0,314.0,268.0,310.0,30.0,852200.0,256706000.0,243.0
2021-02-26T00:00:00,310.0,330.0,290.0,322.0,12.0,720900.0,231566800.0,177.0
2021-03-01T00:00:00,322.0,336.0,318.0,334.0,12.0,268200.0,87434400.0,86.0
2021-03-02T00:00:00,334.0,346.0,326.0,328.0,-6.0,155400.0,51817600.0,92.0
2021-03-03T00:00:00,328.0,328.0,306.0,320.0,-8.0,155900.0,49678600.0,62.0
2021-03-04T00:00:00,320.0,320.0,302.0,302.0,-18.0,68400.0,21083200.0,27.0
2021-03-05T00:00:00,302.0,340.0,300.0,338.0,36.0,179100.0,59139800.0,71.0
2021-03-08T00:00:00,338.0,344.0,318.0,322.0,-16.0,666600.0,218656000.0,133.0
2021-03-09T00:00:00,322.0,344.0,320.0,330.0,8.0,426900.0,142058400.0,106.0
2021-03-10T00:00:00,330.0,338.0,320.0,338.0,8.0,499900.0,165936200.0,130.0
2021-03-12T00:00:00,338.0,350.0,332.0,350.0,12.0,758000.0,262659800.0,128.0
2021-03-15T00:00:00,350.0,350.0,340.0,340.0,-10.0,158300.0,54865400.0,62.0
2021-03-16T00:00:00,340.0,352.0,336.0,340.0,0.0,391500.0,135883400.0,64.0
2021-03-17T00:00:00,340.0,364.0,338.0,364.0,24.0,658500.0,232314400.0,110.0
2021-03-18T00:00:00,364.0,364.0,348.0,364.0,0.0,487000.0,174503000.0,73.0
2021-03-19T00:00:00,364.0,364.0,350.0,354.0,-10.0,38100.0,13547000.0,22.0
2021-03-22T00:00:00,354.0,396.0,354.0,390.0,36.0,929400.0,347667800.0,124.0
2021-03-23T00:00:00,390.0,400.0,384.0,392.0,2.0,340300.0,134899600.0,86.0
2021-03-24T00:00:00,392.0,410.0,386.0,396.0,4.0,440600.0,176408000.0,110.0
2021-03-25T00:00:00,396.0,494.0,398.0,494.0,98.0,1127800.0,510210600.0,360.0
2021-03-26T00:00:00,494.0,550.0,460.0,496.0,2.0,757000.0,378619400.0,421.0
2021-03-29T00:00:00,496.0,500.0,464.0,464.0,-32.0,317200.0,150361800.0,208.0
2021-03-30T00:00:00,464.0,464.0,432.0,432.0,-32.0,343000.0,150304400.0,126.0
2021-03-31T00:00:00,432.0,434.0,402.0,434.0,2.0,213600.0,90528200.0,97.0
2021-04-01T00:00:00,434.0,454.0,420.0,444.0,10.0,367600.0,161720800.0,127.0
2021-04-05T00:00:00,444.0,444.0,428.0,436.0,-8.0,206400.0,90226800.0,59.0
2021-04-06T00:00:00,436.0,440.0,430.0,438.0,2.0,83600.0,36453000.0,48.0
2021-04-07T00:00:00,438.0,448.0,440.0,446.0,8.0,289300.0,128273200.0,59.0
2021-04-08T00:00:00,446.0,515.0,440.0,480.0,34.0,190800.0,90029200.0,101.0
2021-04-09T00:00:00,480.0,500.0,456.0,498.0,18.0,278800.0,131078000.0,102.0
2021-04-12T00:00:00,498.0,498.0,480.0,480.0,-18.0,8700.0,4299600.0,16.0
2021-04-13T00:00:00,480.0,490.0,460.0,490.0,10.0,95700.0,45455400.0,29.0
2021-04-14T00:00:00,490.0,498.0,470.0,488.0,-2.0,102300.0,49753200.0,30.0
2021-04-15T00:00:00,488.0,486.0,466.0,486.0,-2.0,39600.0,18590800.0,20.0
2021-04-16T00:00:00,486.0,486.0,466.0,480.0,-6.0,94000.0,45050800.0,32.0
2021-04-19T00:00:00,480.0,480.0,470.0,480.0,0.0,16100.0,7724600.0,12.0
2021-04-20T00:00:00,480.0,486.0,454.0,454.0,-26.0,54800.0,25576200.0,36.0
2021-04-21T00:00:00,454.0,470.0,440.0,440.0,-14.0,14900.0,6656200.0,16.0
2021-04-22T00:00:00,440.0,440.0,440.0,440.0,0.0,100.0,44000.0,1.0
2021-04-23T00:00:00,440.0,450.0,420.0,420.0,-20.0,13200.0,5741200.0,16.0
2021-04-26T00:00:00,420.0,410.0,400.0,400.0,-20.0,8900.0,3615000.0,9.0
2021-04-27T00:00:00,400.0,400.0,374.0,374.0,-26.0,32200.0,12345400.0,22.0
2021-04-28T00:00:00,374.0,372.0,348.0,372.0,-2.0,26000.0,9435200.0,35.0
2021-04-29T00:00:00,372.0,376.0,372.0,376.0,4.0,24400.0,9127600.0,20.0
2021-04-30T00:00:00,376.0,450.0,376.0,378.0,2.0,83400.0,33116000.0,136.0
2021-05-03T00:00:00,378.0,390.0,378.0,390.0,12.0,27100.0,10463800.0,12.0
2021-05-04T00:00:00,390.0,390.0,378.0,378.0,-12.0,18500.0,7150200.0,11.0
2021-05-05T00:00:00,378.0,390.0,378.0,390.0,12.0,29700.0,11312400.0,14.0
2021-05-06T00:00:00,390.0,390.0,380.0,384.0,-6.0,70500.0,27033000.0,18.0
2021-05-07T00:00:00,384.0,382.0,380.0,382.0,-2.0,12600.0,4793200.0,6.0
2021-05-10T00:00:00,382.0,380.0,368.0,370.0,-12.0,10600.0,3922200.0,10.0
2021-05-11T00:00:00,370.0,370.0,368.0,368.0,-2.0,9900.0,3655800.0,10.0
2021-05-17T00:00:00,368.0,360.0,360.0,360.0,-8.0,3600.0,1296000.0,5.0
2021-05-18T00:00:00,360.0,356.0,340.0,340.0,-20.0,8900.0,3093200.0,15.0
2021-05-19T00:00:00,340.0,340.0,318.0,338.0,-2.0,30100.0,9761400.0,31.0
2021-05-20T00:00:00,338.0,370.0,334.0,356.0,18.0,19200.0,6510200.0,15.0
2021-05-21T00:00:00,356.0,378.0,334.0,378.0,22.0,79700.0,28282200.0,51.0
2021-05-22T00:00:00,378.0,0.0,0.0,378.0,0.0,0.0,0.0,0.0
2021-05-24T00:00:00,378.0,380.0,356.0,356.0,-22.0,14500.0,5371600.0,15.0
2021-05-25T00:00:00,356.0,360.0,342.0,360.0,4.0,19100.0,6860400.0,17.0
2021-05-27T00:00:00,360.0,368.0,348.0,358.0,-2.0,1000.0,352400.0,6.0
2021-05-28T00:00:00,358.0,356.0,336.0,336.0,-22.0,9800.0,3320000.0,14.0
2021-05-31T00:00:00,336.0,342.0,324.0,324.0,-12.0,14600.0,4945000.0,33.0
2021-06-02T00:00:00,324.0,360.0,324.0,336.0,12.0,24500.0,8322000.0,44.0
2021-06-03T00:00:00,336.0,342.0,314.0,336.0,0.0,15200.0,4883000.0,51.0
2021-06-04T00:00:00,336.0,334.0,314.0,314.0,-22.0,50400.0,15864200.0,62.0
2021-06-07T00:00:00,314.0,316.0,314.0,316.0,2.0,3300.0,1042000.0,11.0
2021-06-08T00:00:00,316.0,316.0,304.0,316.0,0.0,13400.0,4196800.0,28.0
2021-06-09T00:00:00,316.0,334.0,302.0,334.0,18.0,34800.0,11328400.0,45.0
2021-06-10T00:00:00,334.0,352.0,316.0,352.0,18.0,15000.0,5182600.0,32.0
2021-06-11T00:00:00,352.0,352.0,350.0,352.0,0.0,6500.0,2285400.0,8.0
2021-06-14T00:00:00,352.0,352.0,332.0,350.0,-2.0,20600.0,6990000.0,20.0
2021-06-15T00:00:00,350.0,350.0,328.0,330.0,-20.0,7700.0,2560000.0,25.0
2021-06-16T00:00:00,330.0,330.0,314.0,330.0,0.0,11400.0,3649400.0,11.0
2021-06-17T00:00:00,330.0,330.0,314.0,328.0,-2.0,4300.0,1371400.0,15.0
2021-06-18T00:00:00,328.0,328.0,312.0,328.0,0.0,1400.0,447000.0,10.0
2021-06-21T00:00:00,328.0,326.0,320.0,322.0,-6.0,500.0,162000.0,3.0
2021-06-22T00:00:00,322.0,310.0,310.0,310.0,-12.0,10100.0,3131000.0,3.0
2021-06-23T00:00:00,310.0,334.0,304.0,332.0,22.0,6900.0,2122800.0,16.0
2021-06-24T00:00:00,332.0,346.0,330.0,346.0,14.0,12100.0,4097600.0,16.0
2021-06-25T00:00:00,346.0,346.0,324.0,324.0,-22.0,1700.0,568200.0,4.0
2021-06-28T00:00:00,324.0,346.0,342.0,346.0,22.0,400.0,137200.0,2.0
2021-06-29T00:00:00,346.0,346.0,342.0,342.0,-4.0,1600.0,549200.0,4.0
2021-06-30T00:00:00,342.0,348.0,322.0,322.0,-20.0,15500.0,5202000.0,21.0
2021-07-01T00:00:00,322.0,322.0,318.0,318.0,-4.0,2300.0,737400.0,6.0
2021-07-02T00:00:00,318.0,344.0,310.0,344.0,26.0,17100.0,5489000.0,15.0
2021-07-05T00:00:00,344.0,340.0,320.0,340.0,-4.0,6100.0,1958000.0,4.0
2021-07-06T00:00:00,340.0,340.0,318.0,330.0,-10.0,27400.0,9041200.0,21.0
2021-07-07T00:00:00,330.0,330.0,330.0,330.0,0.0,1300.0,429000.0,2.0
2021-07-08T00:00:00,330.0,328.0,312.0,328.0,-2.0,1100.0,344800.0,4.0
2021-07-09T00:00:00,328.0,328.0,308.0,328.0,0.0,5000.0,1557600.0,11.0
2021-07-12T00:00:00,328.0,326.0,314.0,314.0,-14.0,500.0,159400.0,3.0
2021-07-13T00:00:00,314.0,326.0,308.0,322.0,8.0,10600.0,3312600.0,9.0
2021-07-14T00:00:00,322.0,312.0,304.0,308.0,-14.0,5100.0,1568000.0,15.0
