date,previous,high,low,close,change,volume,value,frequency
2021-09-09T00:00:00,140.0,154.0,154.0,154.0,14.0,14255400.0,2195331600.0,1178.0
2021-09-10T00:00:00,154.0,169.0,154.0,169.0,15.0,72305100.0,11969892300.0,7095.0
2021-09-13T00:00:00,169.0,185.0,153.0,153.0,-16.0,44112300.0,7144364800.0,5231.0
2021-09-14T00:00:00,153.0,143.0,138.0,138.0,-15.0,5501400.0,760208100.0,1079.0
2021-09-15T00:00:00,138.0,139.0,125.0,125.0,-13.0,35184900.0,4481304100.0,4910.0
2021-09-16T00:00:00,125.0,125.0,116.0,118.0,-7.0,10283800.0,1216256100.0,1942.0
2021-09-17T00:00:00,118.0,129.0,115.0,129.0,11.0,14189200.0,1767483900.0,1515.0
2021-09-20T00:00:00,129.0,141.0,129.0,141.0,12.0,19343500.0,2692138300.0,1731.0
2021-09-21T00:00:00,141.0,155.0,145.0,155.0,14.0,10858200.0,1653236400.0,1059.0
2021-09-22T00:00:00,155.0,170.0,170.0,170.0,15.0,3312800.0,563176000.0,380.0
2021-09-23T00:00:00,170.0,187.0,175.0,187.0,17.0,4186400.0,782775600.0,311.0
2021-09-24T00:00:00,187.0,204.0,204.0,204.0,17.0,922900.0,188271600.0,194.0
2021-09-27T00:00:00,204.0,224.0,184.0,184.0,-20.0,15476500.0,3186372600.0,1481.0
2021-09-28T00:00:00,184.0,179.0,166.0,166.0,-18.0,24403900.0,4082861700.0,2467.0
2021-09-29T00:00:00,166.0,182.0,166.0,182.0,16.0,22725400.0,4023118100.0,2399.0
2021-09-30T00:00:00,182.0,200.0,185.0,200.0,18.0,7584200.0,1492827000.0,800.0
2021-10-01T00:00:00,200.0,220.0,208.0,220.0,20.0,15116600.0,3304230600.0,1439.0
2021-10-04T00:00:00,220.0,242.0,198.0,198.0,-22.0,25992900.0,5730232600.0,3545.0
2021-10-05T00:00:00,198.0,198.0,179.0,182.0,-16.0,9676300.0,1756685800.0,1467.0
2021-10-06T00:00:00,182.0,200.0,181.0,200.0,18.0,11346700.0,2201487400.0,1289.0
2021-10-07T00:00:00,200.0,218.0,191.0,193.0,-7.0,10157300.0,2098531300.0,1608.0
2021-10-08T00:00:00,193.0,206.0,193.0,197.0,4.0,3912300.0,774167900.0,646.0
2021-10-11T00:00:00,197.0,200.0,184.0,185.0,-12.0,2951200.0,554726000.0,677.0
2021-10-12T00:00:00,185.0,186.0,170.0,171.0,-14.0,3205500.0,560328900.0,732.0
2021-10-13T00:00:00,171.0,175.0,162.0,167.0,-4.0,3547900.0,589764200.0,712.0
2021-10-14T00:00:00,167.0,173.0,162.0,162.0,-5.0,1427300.0,237686200.0,391.0
2021-10-15T00:00:00,162.0,170.0,158.0,160.0,-2.0,1607800.0,259642900.0,466.0
2021-10-18T00:00:00,160.0,169.0,150.0,165.0,5.0,1970500.0,325086600.0,482.0
2021-10-19T00:00:00,165.0,175.0,155.0,175.0,10.0,3705900.0,634200800.0,540.0
2021-10-21T00:00:00,175.0,176.0,172.0,173.0,-2.0,2032700.0,353133000.0,269.0
