date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,236.0,254.0,232.0,238.0,2.0,11243700.0,2735503000.0,2187.0
2020-10-09T00:00:00,238.0,240.0,222.0,222.0,-16.0,17471300.0,3930164800.0,1949.0
2020-10-12T00:00:00,222.0,234.0,208.0,208.0,-14.0,29540800.0,6370797600.0,4871.0
2020-10-13T00:00:00,208.0,210.0,200.0,202.0,-6.0,4174700.0,846107800.0,607.0
2020-10-14T00:00:00,202.0,210.0,202.0,208.0,6.0,2625200.0,541446600.0,378.0
2020-10-15T00:00:00,208.0,212.0,194.0,194.0,-14.0,10072500.0,1983225500.0,1059.0
2020-10-16T00:00:00,194.0,194.0,181.0,181.0,-13.0,4163900.0,755124600.0,299.0
2020-10-19T00:00:00,181.0,181.0,169.0,172.0,-9.0,25771100.0,4374261400.0,1415.0
2020-10-20T00:00:00,172.0,190.0,160.0,165.0,-7.0,81066300.0,13853092700.0,7695.0
2020-10-21T00:00:00,165.0,168.0,162.0,166.0,1.0,8300400.0,1368933300.0,966.0
2020-10-22T00:00:00,166.0,171.0,165.0,171.0,5.0,8984000.0,1505492700.0,931.0
2020-10-23T00:00:00,171.0,171.0,167.0,169.0,-2.0,5456500.0,917905800.0,520.0
2020-10-26T00:00:00,169.0,173.0,169.0,173.0,4.0,4938600.0,844901000.0,693.0
2020-10-27T00:00:00,173.0,172.0,170.0,170.0,-3.0,1814300.0,310122700.0,318.0
2020-11-02T00:00:00,170.0,173.0,168.0,170.0,0.0,4060800.0,695805900.0,575.0
2020-11-03T00:00:00,170.0,175.0,169.0,172.0,2.0,6499300.0,1124244700.0,988.0
2020-11-04T00:00:00,172.0,173.0,171.0,173.0,1.0,2507900.0,432642500.0,338.0
2020-11-05T00:00:00,173.0,179.0,172.0,178.0,5.0,10002900.0,1763394000.0,1340.0
2020-11-06T00:00:00,178.0,181.0,176.0,176.0,-2.0,6068700.0,1082402000.0,911.0
2020-11-09T00:00:00,176.0,179.0,170.0,171.0,-5.0,21798600.0,3786889300.0,1192.0
2020-11-10T00:00:00,171.0,172.0,170.0,171.0,0.0,18577700.0,3165829700.0,508.0
2020-11-11T00:00:00,171.0,173.0,172.0,173.0,2.0,2485800.0,429007400.0,280.0
2020-11-12T00:00:00,173.0,174.0,171.0,171.0,-2.0,2046600.0,353907300.0,318.0
2020-11-13T00:00:00,171.0,173.0,170.0,171.0,0.0,2253800.0,387410900.0,289.0
2020-11-16T00:00:00,171.0,180.0,171.0,179.0,8.0,8438200.0,1479938400.0,1258.0
2020-11-17T00:00:00,179.0,183.0,177.0,179.0,0.0,5093300.0,917329200.0,690.0
2020-11-18T00:00:00,179.0,194.0,179.0,194.0,15.0,15986900.0,2995326900.0,2405.0
2020-11-19T00:00:00,194.0,202.0,182.0,184.0,-10.0,23042000.0,4421279200.0,2727.0
2020-11-20T00:00:00,184.0,187.0,183.0,186.0,2.0,5408000.0,1001365000.0,683.0
2020-11-23T00:00:00,186.0,190.0,179.0,180.0,-6.0,13264400.0,2434907100.0,1507.0
2020-11-24T00:00:00,180.0,184.0,178.0,181.0,1.0,5671200.0,1029945300.0,766.0
2020-11-25T00:00:00,181.0,182.0,179.0,180.0,-1.0,2789900.0,504239800.0,326.0
2020-11-26T00:00:00,180.0,186.0,178.0,179.0,-1.0,8606500.0,1565600600.0,975.0
2020-11-27T00:00:00,179.0,182.0,167.0,170.0,-9.0,17856600.0,3103942000.0,1699.0
2020-11-30T00:00:00,170.0,173.0,164.0,164.0,-6.0,7218100.0,1216424900.0,927.0
