date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,690.0,710.0,695.0,695.0,5.0,5145100.0,3610285500.0,663.0
2020-10-09T00:00:00,695.0,705.0,690.0,700.0,5.0,1906900.0,1333622000.0,349.0
2020-10-12T00:00:00,700.0,740.0,705.0,710.0,10.0,11488700.0,8297840500.0,1490.0
2020-10-13T00:00:00,710.0,720.0,695.0,700.0,-10.0,7722900.0,5396279500.0,957.0
2020-10-14T00:00:00,700.0,735.0,700.0,715.0,15.0,20546600.0,14780046500.0,2453.0
2020-10-15T00:00:00,715.0,720.0,695.0,700.0,-15.0,5530200.0,3910622000.0,968.0
2020-10-16T00:00:00,700.0,720.0,680.0,715.0,15.0,9290200.0,6575306000.0,1086.0
2020-10-19T00:00:00,715.0,730.0,700.0,710.0,-5.0,11370500.0,8130917500.0,1981.0
2020-10-20T00:00:00,710.0,715.0,695.0,700.0,-10.0,4888500.0,3433728000.0,814.0
2020-10-21T00:00:00,700.0,710.0,690.0,695.0,-5.0,3532700.0,2452864000.0,690.0
2020-10-22T00:00:00,695.0,700.0,685.0,690.0,-5.0,3426200.0,2372887500.0,455.0
2020-10-23T00:00:00,690.0,720.0,690.0,695.0,5.0,6377200.0,4494265500.0,823.0
2020-10-26T00:00:00,695.0,710.0,690.0,690.0,-5.0,3372600.0,2347853500.0,778.0
2020-10-27T00:00:00,690.0,695.0,680.0,680.0,-10.0,3443900.0,2352882500.0,788.0
2020-11-02T00:00:00,680.0,740.0,660.0,710.0,30.0,35937700.0,25595342000.0,4360.0
2020-11-03T00:00:00,710.0,750.0,710.0,720.0,10.0,42572600.0,31036290500.0,4102.0
2020-11-04T00:00:00,720.0,740.0,695.0,695.0,-25.0,24641500.0,17714001000.0,2159.0
2020-11-05T00:00:00,695.0,725.0,705.0,725.0,30.0,9412500.0,6732541500.0,909.0
2020-11-06T00:00:00,725.0,725.0,710.0,710.0,-15.0,3771800.0,2690303000.0,592.0
2020-11-09T00:00:00,710.0,725.0,710.0,710.0,0.0,5189800.0,3709206500.0,624.0
2020-11-10T00:00:00,710.0,740.0,715.0,735.0,25.0,18101200.0,13214909000.0,1960.0
2020-11-11T00:00:00,735.0,835.0,720.0,795.0,60.0,89542900.0,70283889500.0,8728.0
2020-11-12T00:00:00,795.0,815.0,785.0,800.0,5.0,23559800.0,18790058000.0,2766.0
2020-11-13T00:00:00,800.0,860.0,795.0,805.0,5.0,51932900.0,42944573000.0,5169.0
2020-11-16T00:00:00,805.0,820.0,785.0,800.0,-5.0,11079200.0,8870439000.0,1722.0
2020-11-17T00:00:00,800.0,830.0,795.0,800.0,0.0,12414800.0,10081597000.0,1811.0
2020-11-18T00:00:00,800.0,815.0,795.0,800.0,0.0,4681300.0,3755344500.0,868.0
2020-11-19T00:00:00,800.0,850.0,800.0,835.0,35.0,23533400.0,19588604000.0,3594.0
2020-11-20T00:00:00,835.0,965.0,840.0,910.0,75.0,97513200.0,87971172500.0,12448.0
2020-11-23T00:00:00,910.0,930.0,895.0,905.0,-5.0,14284800.0,12958168000.0,2717.0
2020-11-24T00:00:00,905.0,975.0,920.0,940.0,35.0,22385200.0,21211470500.0,3426.0
2020-11-25T00:00:00,940.0,1175.0,885.0,1175.0,235.0,166190900.0,184054134000.0,15806.0
2020-11-26T00:00:00,1175.0,1355.0,1110.0,1180.0,5.0,290501100.0,355704238500.0,31990.0
2020-11-27T00:00:00,1180.0,1320.0,1225.0,1255.0,75.0,125712300.0,159668102000.0,16753.0
2020-11-30T00:00:00,1255.0,1290.0,1170.0,1195.0,-60.0,42347500.0,52179813000.0,7010.0
2020-12-01T00:00:00,1195.0,1255.0,1145.0,1215.0,20.0,27262500.0,32817537500.0,4238.0
2020-12-02T00:00:00,1215.0,1290.0,1190.0,1245.0,30.0,39128500.0,48842227500.0,5345.0
2020-12-03T00:00:00,1245.0,1255.0,1215.0,1215.0,-30.0,14190500.0,17468153500.0,2724.0
2020-12-04T00:00:00,1215.0,1260.0,1200.0,1245.0,30.0,22870300.0,28268376500.0,3759.0
2020-12-07T00:00:00,1245.0,1340.0,1255.0,1290.0,45.0,43826300.0,56677701000.0,7315.0
2020-12-08T00:00:00,1290.0,1320.0,1260.0,1265.0,-25.0,15875300.0,20391569500.0,3551.0
2020-12-10T00:00:00,1265.0,1295.0,1235.0,1255.0,-10.0,17597200.0,22175461000.0,3448.0
2020-12-11T00:00:00,1255.0,1270.0,1210.0,1240.0,-15.0,12971600.0,16071266500.0,2848.0
2020-12-14T00:00:00,1240.0,1330.0,1230.0,1265.0,25.0,54012600.0,69480664500.0,6918.0
2020-12-15T00:00:00,1265.0,1560.0,1240.0,1505.0,240.0,140465400.0,197957482500.0,17912.0
2020-12-16T00:00:00,1505.0,1545.0,1455.0,1475.0,-30.0,74543200.0,111700844000.0,13667.0
2020-12-17T00:00:00,1475.0,1500.0,1420.0,1450.0,-25.0,27032600.0,39452601500.0,5219.0
2020-12-18T00:00:00,1450.0,1585.0,1440.0,1505.0,55.0,70946100.0,108606121000.0,10720.0
2020-12-21T00:00:00,1505.0,1580.0,1510.0,1520.0,15.0,28162700.0,43362626000.0,4966.0
2020-12-22T00:00:00,1520.0,1685.0,1460.0,1485.0,-35.0,86884000.0,138258949500.0,12777.0
2020-12-23T00:00:00,1485.0,1540.0,1385.0,1450.0,-35.0,31343900.0,45800757000.0,5215.0
2020-12-28T00:00:00,1450.0,1500.0,1385.0,1410.0,-40.0,21551700.0,30655969500.0,4461.0
2020-12-29T00:00:00,1410.0,1645.0,1450.0,1520.0,110.0,100709100.0,155850982000.0,15766.0
2020-12-30T00:00:00,1520.0,1565.0,1445.0,1515.0,-5.0,34568700.0,51844703500.0,6352.0
2021-01-04T00:00:00,1515.0,1550.0,1455.0,1500.0,-15.0,15830500.0,23735690500.0,3341.0
2021-01-05T00:00:00,1500.0,1575.0,1480.0,1505.0,5.0,29345300.0,45122651000.0,5660.0
2021-01-06T00:00:00,1505.0,1545.0,1440.0,1495.0,-10.0,19006600.0,28556818000.0,3964.0
2021-01-07T00:00:00,1495.0,1530.0,1495.0,1505.0,10.0,11670400.0,17636320000.0,2200.0
2021-01-08T00:00:00,1505.0,1610.0,1510.0,1540.0,35.0,50332200.0,79009710000.0,10488.0
2021-01-11T00:00:00,1540.0,1680.0,1545.0,1620.0,80.0,47642700.0,77733817500.0,10671.0
2021-01-12T00:00:00,1620.0,1655.0,1555.0,1560.0,-60.0,26872500.0,42634162000.0,6547.0
2021-01-13T00:00:00,1560.0,1635.0,1570.0,1580.0,20.0,16983900.0,27066016000.0,3839.0
2021-01-14T00:00:00,1580.0,1635.0,1570.0,1570.0,-10.0,18746700.0,29922796500.0,4179.0
2021-01-15T00:00:00,1570.0,1575.0,1510.0,1525.0,-45.0,19752500.0,30249305000.0,4564.0
2021-01-18T00:00:00,1525.0,1525.0,1420.0,1420.0,-105.0,20784600.0,30309236000.0,5272.0
2021-01-19T00:00:00,1420.0,1420.0,1325.0,1325.0,-95.0,26157200.0,35191234000.0,5459.0
2021-01-20T00:00:00,1325.0,1365.0,1240.0,1335.0,10.0,15293600.0,20013592500.0,3879.0
2021-01-21T00:00:00,1335.0,1430.0,1330.0,1370.0,35.0,19514900.0,26954638500.0,4720.0
2021-01-22T00:00:00,1370.0,1390.0,1275.0,1300.0,-70.0,14989400.0,19686880000.0,3487.0
2021-01-25T00:00:00,1300.0,1275.0,1210.0,1210.0,-90.0,13680700.0,16703915000.0,2726.0
2021-01-26T00:00:00,1210.0,1195.0,1130.0,1130.0,-80.0,12863000.0,14799182000.0,2644.0
2021-01-27T00:00:00,1130.0,1120.0,1055.0,1055.0,-75.0,15081800.0,16042968500.0,2543.0
2021-01-28T00:00:00,1055.0,1060.0,985.0,985.0,-70.0,13744300.0,13844731500.0,2637.0
2021-01-29T00:00:00,985.0,1010.0,920.0,920.0,-65.0,9427200.0,8800867000.0,1808.0
2021-02-01T00:00:00,920.0,990.0,860.0,970.0,50.0,19537900.0,17857528500.0,3330.0
2021-02-02T00:00:00,970.0,1120.0,980.0,1020.0,50.0,29552300.0,30716796000.0,4924.0
2021-02-03T00:00:00,1020.0,1080.0,1005.0,1015.0,-5.0,12369400.0,12815137500.0,2390.0
2021-02-04T00:00:00,1015.0,1065.0,1005.0,1030.0,15.0,7060500.0,7278315000.0,1579.0
2021-02-05T00:00:00,1030.0,1140.0,1030.0,1140.0,110.0,21040600.0,23100861500.0,4553.0
2021-02-08T00:00:00,1140.0,1200.0,1145.0,1155.0,15.0,15829300.0,18444047500.0,3087.0
2021-02-09T00:00:00,1155.0,1175.0,1080.0,1090.0,-65.0,11598600.0,13015743500.0,2524.0
2021-02-10T00:00:00,1090.0,1110.0,1075.0,1095.0,5.0,2865000.0,3112088500.0,950.0
2021-02-11T00:00:00,1095.0,1140.0,1100.0,1115.0,20.0,5446000.0,6079203500.0,1242.0
2021-02-15T00:00:00,1115.0,1385.0,1200.0,1365.0,250.0,96172400.0,128841495000.0,20229.0
2021-02-16T00:00:00,1365.0,1385.0,1270.0,1275.0,-90.0,38467700.0,50174275500.0,10689.0
2021-02-17T00:00:00,1275.0,1325.0,1230.0,1245.0,-30.0,21487400.0,27365214500.0,4960.0
2021-02-18T00:00:00,1245.0,1285.0,1210.0,1275.0,30.0,12277000.0,15407591500.0,2844.0
2021-02-19T00:00:00,1275.0,1320.0,1260.0,1280.0,5.0,22709600.0,29313711500.0,5791.0
2021-02-22T00:00:00,1280.0,1315.0,1260.0,1260.0,-20.0,12334600.0,15870874000.0,3082.0
2021-02-23T00:00:00,1260.0,1295.0,1220.0,1290.0,30.0,9340100.0,11875527000.0,2686.0
2021-02-24T00:00:00,1290.0,1340.0,1275.0,1310.0,20.0,28085500.0,36924558500.0,6633.0
2021-02-25T00:00:00,1310.0,1340.0,1300.0,1325.0,15.0,12545500.0,16520833000.0,3748.0
2021-02-26T00:00:00,1325.0,1330.0,1260.0,1330.0,5.0,16382200.0,21320180500.0,4014.0
2021-03-01T00:00:00,1330.0,1415.0,1330.0,1355.0,25.0,59061200.0,81149625500.0,15555.0
2021-03-02T00:00:00,1355.0,1395.0,1305.0,1325.0,-30.0,16570200.0,22106060000.0,4432.0
2021-03-03T00:00:00,1325.0,1335.0,1275.0,1300.0,-25.0,8483300.0,11086811500.0,2714.0
2021-03-04T00:00:00,1300.0,1300.0,1210.0,1220.0,-80.0,13868400.0,17261412000.0,3276.0
2021-03-05T00:00:00,1220.0,1210.0,1145.0,1160.0,-60.0,13793000.0,16132468000.0,2813.0
2021-03-08T00:00:00,1160.0,1200.0,1110.0,1120.0,-40.0,9777400.0,11205066000.0,2458.0
2021-03-09T00:00:00,1120.0,1225.0,1130.0,1190.0,70.0,14140400.0,16781933500.0,3291.0
2021-03-10T00:00:00,1190.0,1220.0,1135.0,1145.0,-45.0,7750800.0,8999988500.0,2244.0
2021-03-12T00:00:00,1145.0,1190.0,1150.0,1175.0,30.0,6763700.0,7943832500.0,1520.0
2021-03-15T00:00:00,1175.0,1240.0,1175.0,1240.0,65.0,14770600.0,18007689000.0,3299.0
2021-03-16T00:00:00,1240.0,1280.0,1225.0,1250.0,10.0,18446500.0,23083493000.0,4491.0
2021-03-17T00:00:00,1250.0,1275.0,1220.0,1220.0,-30.0,5798600.0,7171473000.0,1831.0
2021-03-18T00:00:00,1220.0,1260.0,1225.0,1235.0,15.0,5917900.0,7359312500.0,1364.0
2021-03-19T00:00:00,1235.0,1245.0,1205.0,1205.0,-30.0,3661400.0,4454588500.0,1223.0
2021-03-22T00:00:00,1205.0,1230.0,1190.0,1195.0,-10.0,3470800.0,4180070500.0,1282.0
2021-03-23T00:00:00,1195.0,1255.0,1180.0,1220.0,25.0,10197800.0,12450446000.0,2491.0
2021-03-24T00:00:00,1220.0,1230.0,1180.0,1185.0,-35.0,3621600.0,4323411000.0,1243.0
2021-03-25T00:00:00,1185.0,1215.0,1140.0,1175.0,-10.0,5522600.0,6498488000.0,1806.0
2021-03-26T00:00:00,1175.0,1205.0,1160.0,1200.0,25.0,2910500.0,3449700000.0,875.0
2021-03-29T00:00:00,1200.0,1210.0,1185.0,1185.0,-15.0,2627900.0,3140184500.0,635.0
2021-03-30T00:00:00,1185.0,1195.0,1120.0,1125.0,-60.0,3560100.0,4089927000.0,1141.0
2021-03-31T00:00:00,1125.0,1125.0,1050.0,1080.0,-45.0,6507100.0,7016409000.0,1686.0
