date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,3130.0,3180.0,3130.0,3140.0,10.0,1228900.0,3873746000.0,767.0
2020-10-09T00:00:00,3140.0,3160.0,3100.0,3110.0,-30.0,980100.0,3061446000.0,622.0
2020-10-12T00:00:00,3110.0,3340.0,3110.0,3250.0,140.0,15114000.0,49104375000.0,5869.0
2020-10-13T00:00:00,3250.0,3300.0,3200.0,3260.0,10.0,6565600.0,21364220000.0,3036.0
2020-10-14T00:00:00,3260.0,3770.0,3220.0,3430.0,170.0,45282600.0,159136523000.0,16326.0
2020-10-15T00:00:00,3430.0,3500.0,3300.0,3360.0,-70.0,12896300.0,44111457000.0,5923.0
2020-10-16T00:00:00,3360.0,3500.0,3360.0,3390.0,30.0,6387700.0,21801026000.0,3615.0
2020-10-19T00:00:00,3390.0,3430.0,3350.0,3350.0,-40.0,2667600.0,8994552000.0,1863.0
2020-10-20T00:00:00,3350.0,3480.0,3370.0,3380.0,30.0,6660300.0,22760116000.0,3111.0
2020-10-21T00:00:00,3380.0,3410.0,3330.0,3340.0,-40.0,2048800.0,6877278000.0,1344.0
2020-10-22T00:00:00,3340.0,3360.0,3230.0,3270.0,-70.0,3344300.0,11003069000.0,2010.0
2020-10-23T00:00:00,3270.0,3290.0,3230.0,3240.0,-30.0,1511400.0,4925559000.0,1010.0
2020-10-26T00:00:00,3240.0,3250.0,3110.0,3150.0,-90.0,2219400.0,7010901000.0,1660.0
2020-10-27T00:00:00,3150.0,3210.0,3110.0,3140.0,-10.0,1235500.0,3900378000.0,934.0
2020-11-02T00:00:00,3140.0,3150.0,3050.0,3070.0,-70.0,1544300.0,4757231000.0,1072.0
2020-11-03T00:00:00,3070.0,3240.0,3070.0,3160.0,90.0,2270000.0,7203595000.0,1557.0
2020-11-04T00:00:00,3160.0,3190.0,3100.0,3100.0,-60.0,961300.0,3013108000.0,682.0
2020-11-05T00:00:00,3100.0,3170.0,3100.0,3140.0,40.0,780000.0,2446238000.0,523.0
2020-11-06T00:00:00,3140.0,3190.0,3120.0,3150.0,10.0,825400.0,2594826000.0,591.0
2020-11-09T00:00:00,3150.0,3240.0,3150.0,3180.0,30.0,905400.0,2872013000.0,703.0
2020-11-10T00:00:00,3180.0,3600.0,3250.0,3280.0,100.0,13645900.0,46217473000.0,5991.0
2020-11-11T00:00:00,3280.0,3310.0,3190.0,3230.0,-50.0,2779600.0,8978483000.0,1503.0
2020-11-12T00:00:00,3230.0,3280.0,3210.0,3230.0,0.0,1178900.0,3825355000.0,858.0
2020-11-13T00:00:00,3230.0,3240.0,3200.0,3200.0,-30.0,2097900.0,6728184000.0,721.0
2020-11-16T00:00:00,3200.0,3270.0,3210.0,3250.0,50.0,1277600.0,4131617000.0,792.0
2020-11-17T00:00:00,3250.0,3350.0,3250.0,3270.0,20.0,4685100.0,15387691000.0,2235.0
2020-11-18T00:00:00,3270.0,3320.0,3240.0,3290.0,20.0,3122400.0,10227613000.0,1326.0
2020-11-19T00:00:00,3290.0,3320.0,3270.0,3270.0,-20.0,1479600.0,4859368000.0,1038.0
2020-11-20T00:00:00,3270.0,3300.0,3240.0,3260.0,-10.0,1517900.0,4943071000.0,794.0
2020-11-23T00:00:00,3260.0,3300.0,3250.0,3270.0,10.0,1993600.0,6530163000.0,976.0
2020-11-24T00:00:00,3270.0,3320.0,3260.0,3280.0,10.0,4849000.0,15954267000.0,1540.0
2020-11-25T00:00:00,3280.0,3310.0,3240.0,3240.0,-40.0,2873400.0,9380363000.0,1314.0
2020-11-26T00:00:00,3240.0,3290.0,3230.0,3230.0,-10.0,1106100.0,3592483000.0,676.0
2020-11-27T00:00:00,3230.0,3270.0,3240.0,3260.0,30.0,1325400.0,4313008000.0,662.0
2020-11-30T00:00:00,3260.0,3290.0,3100.0,3160.0,-100.0,3115000.0,9993561000.0,1249.0
