date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,50.0,55.0,50.0,52.0,2.0,4348700.0,225575500.0,274.0
2020-10-09T00:00:00,52.0,54.0,50.0,50.0,-2.0,2240900.0,115810900.0,723.0
2020-10-12T00:00:00,50.0,55.0,50.0,51.0,1.0,7329000.0,385801900.0,1368.0
2020-10-13T00:00:00,51.0,54.0,50.0,52.0,1.0,1443400.0,74983200.0,218.0
2020-10-14T00:00:00,52.0,60.0,52.0,54.0,2.0,11592200.0,646592300.0,858.0
2020-10-15T00:00:00,54.0,54.0,51.0,51.0,-3.0,1887300.0,97217600.0,238.0
2020-10-16T00:00:00,51.0,52.0,50.0,50.0,-1.0,1255800.0,63623600.0,124.0
2020-10-19T00:00:00,50.0,55.0,51.0,53.0,3.0,1448300.0,75985800.0,488.0
2020-10-20T00:00:00,53.0,60.0,50.0,55.0,2.0,10492800.0,591777800.0,617.0
2020-10-21T00:00:00,55.0,58.0,53.0,53.0,-2.0,1680100.0,90865300.0,161.0
2020-10-22T00:00:00,53.0,54.0,53.0,53.0,0.0,868300.0,46203400.0,155.0
2020-10-23T00:00:00,53.0,55.0,53.0,54.0,1.0,508300.0,27303700.0,82.0
2020-10-26T00:00:00,54.0,55.0,53.0,53.0,-1.0,528700.0,28393800.0,335.0
2020-10-27T00:00:00,53.0,54.0,50.0,52.0,-1.0,2971400.0,151117000.0,193.0
2020-11-02T00:00:00,52.0,60.0,51.0,57.0,5.0,7975700.0,450708600.0,281.0
2020-11-03T00:00:00,57.0,62.0,57.0,58.0,1.0,6437500.0,378811200.0,578.0
2020-11-04T00:00:00,58.0,63.0,57.0,63.0,5.0,4205800.0,256733100.0,236.0
2020-11-05T00:00:00,63.0,64.0,60.0,61.0,-2.0,3378300.0,206999400.0,221.0
2020-11-06T00:00:00,61.0,70.0,60.0,68.0,7.0,4158000.0,276896600.0,339.0
2020-11-09T00:00:00,68.0,75.0,65.0,72.0,4.0,5174300.0,364278200.0,1002.0
2020-11-10T00:00:00,72.0,78.0,67.0,74.0,2.0,10539000.0,760354600.0,728.0
2020-11-11T00:00:00,74.0,74.0,69.0,69.0,-5.0,3277700.0,228017800.0,333.0
2020-11-12T00:00:00,69.0,70.0,65.0,68.0,-1.0,1148400.0,76133200.0,204.0
2020-11-13T00:00:00,68.0,69.0,65.0,67.0,-1.0,699300.0,46609000.0,110.0
2020-11-16T00:00:00,67.0,70.0,64.0,69.0,2.0,843500.0,56724900.0,182.0
2020-11-17T00:00:00,69.0,69.0,65.0,65.0,-4.0,1123900.0,74096300.0,135.0
2020-11-18T00:00:00,65.0,68.0,64.0,66.0,1.0,477500.0,31257500.0,74.0
2020-11-19T00:00:00,66.0,69.0,62.0,67.0,1.0,1556300.0,100370600.0,208.0
2020-11-20T00:00:00,67.0,67.0,65.0,67.0,0.0,299100.0,19759900.0,152.0
2020-11-23T00:00:00,67.0,69.0,63.0,67.0,0.0,2181800.0,143626800.0,152.0
2020-11-24T00:00:00,67.0,68.0,66.0,67.0,0.0,197700.0,13259800.0,60.0
2020-11-25T00:00:00,67.0,69.0,65.0,67.0,0.0,845900.0,57323400.0,90.0
2020-11-26T00:00:00,67.0,68.0,65.0,66.0,-1.0,3672900.0,242259000.0,76.0
2020-11-27T00:00:00,66.0,70.0,66.0,67.0,1.0,1556900.0,103578900.0,112.0
2020-11-30T00:00:00,67.0,67.0,63.0,63.0,-4.0,1740900.0,111485400.0,169.0
2020-12-01T00:00:00,63.0,65.0,60.0,62.0,-1.0,571500.0,35440200.0,200.0
2020-12-02T00:00:00,62.0,70.0,62.0,69.0,7.0,5059900.0,343709000.0,326.0
2020-12-03T00:00:00,69.0,69.0,65.0,67.0,-2.0,2404300.0,160088300.0,247.0
2020-12-04T00:00:00,67.0,75.0,67.0,69.0,2.0,4550400.0,319939600.0,310.0
2020-12-07T00:00:00,69.0,70.0,68.0,70.0,1.0,724000.0,49888700.0,132.0
2020-12-08T00:00:00,70.0,71.0,68.0,68.0,-2.0,1290800.0,89203500.0,170.0
2020-12-10T00:00:00,68.0,70.0,67.0,69.0,1.0,817200.0,56136800.0,74.0
2020-12-11T00:00:00,69.0,70.0,68.0,69.0,0.0,920800.0,63015000.0,47.0
2020-12-14T00:00:00,69.0,69.0,66.0,68.0,-1.0,1011200.0,67918700.0,102.0
2020-12-15T00:00:00,68.0,68.0,66.0,67.0,-1.0,673600.0,44789300.0,153.0
2020-12-16T00:00:00,67.0,68.0,65.0,66.0,-1.0,1126000.0,74633300.0,1261.0
2020-12-17T00:00:00,66.0,68.0,65.0,67.0,1.0,1100400.0,72850400.0,594.0
2020-12-18T00:00:00,67.0,68.0,65.0,66.0,-1.0,587400.0,38922600.0,72.0
2020-12-21T00:00:00,66.0,72.0,66.0,70.0,4.0,2973200.0,206159800.0,351.0
2020-12-22T00:00:00,70.0,72.0,68.0,70.0,0.0,2080500.0,144203100.0,279.0
2020-12-23T00:00:00,70.0,70.0,67.0,69.0,-1.0,570300.0,39060000.0,186.0
2020-12-28T00:00:00,69.0,71.0,68.0,70.0,1.0,2196000.0,153824600.0,145.0
2020-12-29T00:00:00,70.0,72.0,69.0,70.0,0.0,547300.0,38168900.0,226.0
2020-12-30T00:00:00,70.0,72.0,68.0,69.0,-1.0,931600.0,64729000.0,189.0
2021-01-04T00:00:00,69.0,70.0,67.0,69.0,0.0,624200.0,42608800.0,108.0
2021-01-05T00:00:00,69.0,71.0,69.0,69.0,0.0,599800.0,41800200.0,94.0
2021-01-06T00:00:00,69.0,71.0,67.0,69.0,0.0,3304100.0,229060600.0,288.0
2021-01-07T00:00:00,69.0,92.0,68.0,76.0,7.0,53234900.0,4293083400.0,2950.0
2021-01-08T00:00:00,76.0,79.0,72.0,73.0,-3.0,9724000.0,731361700.0,1470.0
2021-01-11T00:00:00,73.0,76.0,71.0,73.0,0.0,4745100.0,347376700.0,805.0
2021-01-12T00:00:00,73.0,78.0,71.0,74.0,1.0,9321300.0,697216500.0,996.0
2021-01-13T00:00:00,74.0,76.0,69.0,69.0,-5.0,21698700.0,1522431900.0,813.0
2021-01-14T00:00:00,69.0,71.0,67.0,69.0,0.0,5734900.0,394786700.0,360.0
2021-01-15T00:00:00,69.0,71.0,68.0,68.0,-1.0,1586300.0,109404200.0,211.0
2021-01-18T00:00:00,68.0,75.0,69.0,72.0,4.0,18289200.0,1311346600.0,1055.0
2021-01-19T00:00:00,72.0,73.0,69.0,69.0,-3.0,7159300.0,500869900.0,440.0
2021-01-20T00:00:00,69.0,78.0,67.0,73.0,4.0,17269200.0,1264953800.0,721.0
2021-01-21T00:00:00,73.0,77.0,73.0,75.0,2.0,10948200.0,824752000.0,777.0
2021-01-22T00:00:00,75.0,100.0,75.0,87.0,12.0,265973200.0,24274017600.0,10239.0
2021-01-25T00:00:00,87.0,93.0,81.0,81.0,-6.0,36218000.0,3008842600.0,2054.0
2021-01-26T00:00:00,81.0,79.0,76.0,76.0,-5.0,7613900.0,578705300.0,383.0
2021-01-27T00:00:00,76.0,74.0,71.0,71.0,-5.0,13493800.0,961574900.0,689.0
2021-01-28T00:00:00,71.0,81.0,67.0,67.0,-4.0,35800200.0,2544760800.0,1972.0
2021-01-29T00:00:00,67.0,70.0,63.0,64.0,-3.0,7438700.0,479207900.0,528.0
2021-02-01T00:00:00,64.0,71.0,61.0,67.0,3.0,13064000.0,888586600.0,818.0
2021-02-02T00:00:00,67.0,70.0,66.0,67.0,0.0,5306800.0,361110200.0,630.0
2021-02-03T00:00:00,67.0,75.0,66.0,70.0,3.0,14535200.0,1033019500.0,933.0
2021-02-04T00:00:00,70.0,74.0,69.0,70.0,0.0,10542000.0,753673400.0,982.0
2021-02-05T00:00:00,70.0,75.0,68.0,74.0,4.0,12057900.0,863011600.0,548.0
2021-02-08T00:00:00,74.0,80.0,71.0,78.0,4.0,11263900.0,854335900.0,562.0
2021-02-09T00:00:00,78.0,80.0,74.0,75.0,-3.0,9970900.0,760359200.0,424.0
2021-02-10T00:00:00,75.0,78.0,75.0,75.0,0.0,1521400.0,115632100.0,148.0
2021-02-11T00:00:00,75.0,79.0,74.0,79.0,4.0,5198200.0,403963600.0,392.0
2021-02-15T00:00:00,79.0,81.0,77.0,79.0,0.0,3351900.0,264150600.0,311.0
2021-02-16T00:00:00,79.0,84.0,77.0,80.0,1.0,7872700.0,631087200.0,458.0
2021-02-17T00:00:00,80.0,108.0,80.0,108.0,28.0,218030800.0,22322032800.0,7187.0
2021-02-18T00:00:00,108.0,140.0,101.0,101.0,-7.0,417089100.0,51385795800.0,18172.0
2021-02-19T00:00:00,101.0,102.0,94.0,94.0,-7.0,115692200.0,11075518100.0,4149.0
2021-02-22T00:00:00,94.0,100.0,90.0,93.0,-1.0,76650200.0,7318717900.0,4631.0
