date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,94.0,113.0,88.0,88.0,-6.0,58751500.0,6025608600.0,3224.0
2020-10-09T00:00:00,88.0,82.0,82.0,82.0,-6.0,878700.0,72053400.0,59.0
2020-10-12T00:00:00,82.0,77.0,77.0,77.0,-5.0,508700.0,39169900.0,82.0
2020-10-13T00:00:00,77.0,72.0,72.0,72.0,-5.0,478100.0,34423200.0,55.0
2020-10-14T00:00:00,72.0,67.0,67.0,67.0,-5.0,341600.0,22887200.0,64.0
2020-10-15T00:00:00,67.0,63.0,63.0,63.0,-4.0,221300.0,13941900.0,53.0
2020-10-16T00:00:00,63.0,66.0,59.0,59.0,-4.0,26806500.0,1604963000.0,1986.0
2020-10-19T00:00:00,59.0,55.0,55.0,55.0,-4.0,1786400.0,98252000.0,120.0
2020-10-20T00:00:00,55.0,52.0,52.0,52.0,-3.0,1827300.0,95019600.0,116.0
2020-10-21T00:00:00,52.0,59.0,50.0,50.0,-2.0,38504000.0,2004918300.0,2347.0
2020-10-22T00:00:00,50.0,55.0,50.0,51.0,1.0,9707800.0,505866300.0,746.0
2020-10-23T00:00:00,51.0,52.0,50.0,50.0,-1.0,2251500.0,113200900.0,184.0
2020-10-26T00:00:00,50.0,54.0,50.0,51.0,1.0,4447400.0,231168200.0,332.0
2020-10-27T00:00:00,51.0,53.0,50.0,51.0,0.0,1598000.0,81650100.0,193.0
2020-11-02T00:00:00,51.0,51.0,50.0,50.0,-1.0,3698500.0,185218000.0,217.0
2020-11-03T00:00:00,50.0,59.0,50.0,51.0,1.0,13082600.0,702325800.0,915.0
2020-11-04T00:00:00,51.0,54.0,50.0,51.0,0.0,2789000.0,144372700.0,313.0
2020-11-05T00:00:00,51.0,64.0,51.0,55.0,4.0,30752400.0,1792792100.0,1640.0
2020-11-06T00:00:00,55.0,60.0,52.0,57.0,2.0,10784800.0,599919200.0,813.0
2020-11-09T00:00:00,57.0,64.0,57.0,58.0,1.0,11590900.0,688001000.0,956.0
2020-11-10T00:00:00,58.0,60.0,55.0,55.0,-3.0,3355300.0,189626100.0,242.0
2020-11-11T00:00:00,55.0,57.0,52.0,53.0,-2.0,3524800.0,187552700.0,291.0
2020-11-12T00:00:00,53.0,55.0,53.0,53.0,0.0,1192900.0,63965300.0,220.0
2020-11-13T00:00:00,53.0,55.0,53.0,54.0,1.0,1664300.0,89952900.0,117.0
2020-11-16T00:00:00,54.0,55.0,53.0,53.0,-1.0,1719700.0,91535900.0,135.0
2020-11-17T00:00:00,53.0,54.0,53.0,53.0,0.0,543300.0,28813600.0,61.0
2020-11-18T00:00:00,53.0,58.0,52.0,58.0,5.0,11030100.0,617743700.0,555.0
2020-11-19T00:00:00,58.0,64.0,58.0,58.0,0.0,16111900.0,978083800.0,980.0
2020-11-20T00:00:00,58.0,61.0,56.0,56.0,-2.0,5612100.0,329837500.0,289.0
2020-11-23T00:00:00,56.0,58.0,55.0,57.0,1.0,3826200.0,216185100.0,184.0
2020-11-24T00:00:00,57.0,64.0,56.0,58.0,1.0,11063700.0,671526200.0,682.0
2020-11-25T00:00:00,58.0,66.0,58.0,61.0,3.0,10885600.0,685075900.0,774.0
2020-11-26T00:00:00,61.0,79.0,62.0,75.0,14.0,37568500.0,2739981500.0,1913.0
2020-11-27T00:00:00,75.0,78.0,70.0,71.0,-4.0,14659000.0,1077548500.0,1017.0
2020-11-30T00:00:00,71.0,76.0,68.0,69.0,-2.0,9524600.0,690278400.0,697.0
2020-12-01T00:00:00,69.0,74.0,65.0,70.0,1.0,9315900.0,650749600.0,648.0
2020-12-02T00:00:00,70.0,76.0,69.0,70.0,0.0,8887100.0,645132300.0,512.0
2020-12-03T00:00:00,70.0,71.0,69.0,70.0,0.0,1758200.0,122931100.0,155.0
