date,previous,high,low,close,change,volume,value,frequency
2020-10-08T00:00:00,171.0,174.0,171.0,171.0,0.0,10800.0,1855100.0,21.0
2020-10-09T00:00:00,171.0,161.0,161.0,161.0,-10.0,100.0,16100.0,1.0
2020-10-12T00:00:00,161.0,160.0,150.0,160.0,-1.0,3600.0,548100.0,5.0
2020-10-13T00:00:00,160.0,172.0,151.0,172.0,12.0,21600.0,3377300.0,13.0
2020-10-14T00:00:00,172.0,176.0,171.0,171.0,-1.0,11900.0,2066600.0,14.0
2020-10-15T00:00:00,171.0,180.0,160.0,160.0,-11.0,2500.0,434300.0,7.0
2020-10-16T00:00:00,160.0,176.0,154.0,168.0,8.0,24600.0,4045800.0,30.0
2020-10-19T00:00:00,168.0,169.0,160.0,160.0,-8.0,16400.0,2768000.0,6.0
2020-10-20T00:00:00,160.0,172.0,154.0,172.0,12.0,30200.0,4711100.0,18.0
2020-10-21T00:00:00,172.0,176.0,175.0,175.0,3.0,200.0,35100.0,2.0
2020-10-22T00:00:00,175.0,176.0,174.0,174.0,-1.0,600.0,104600.0,3.0
2020-10-23T00:00:00,174.0,176.0,173.0,173.0,-1.0,300.0,52200.0,3.0
2020-10-26T00:00:00,173.0,173.0,170.0,170.0,-3.0,8600.0,1485400.0,6.0
2020-10-27T00:00:00,170.0,170.0,159.0,168.0,-2.0,2100.0,338900.0,7.0
2020-11-02T00:00:00,168.0,190.0,168.0,168.0,0.0,5200.0,928200.0,12.0
2020-11-03T00:00:00,168.0,178.0,160.0,178.0,10.0,900.0,154700.0,7.0
2020-11-04T00:00:00,178.0,178.0,166.0,166.0,-12.0,600.0,105600.0,5.0
2020-11-05T00:00:00,166.0,178.0,155.0,166.0,0.0,23000.0,3647100.0,20.0
2020-11-06T00:00:00,166.0,170.0,155.0,155.0,-11.0,38200.0,5934000.0,14.0
2020-11-09T00:00:00,155.0,155.0,150.0,155.0,0.0,22000.0,3393700.0,23.0
2020-11-10T00:00:00,155.0,165.0,155.0,155.0,0.0,13500.0,2095100.0,20.0
2020-11-11T00:00:00,155.0,155.0,145.0,153.0,-2.0,28800.0,4196600.0,22.0
2020-11-12T00:00:00,153.0,163.0,153.0,153.0,0.0,9000.0,1378000.0,10.0
2020-11-13T00:00:00,153.0,153.0,153.0,153.0,0.0,15200.0,2325600.0,12.0
2020-11-16T00:00:00,153.0,153.0,144.0,144.0,-9.0,500.0,72900.0,4.0
2020-11-17T00:00:00,144.0,145.0,144.0,145.0,1.0,500.0,72400.0,3.0
2020-11-18T00:00:00,145.0,146.0,146.0,146.0,1.0,12400.0,1810400.0,12.0
2020-11-19T00:00:00,146.0,165.0,148.0,160.0,14.0,34200.0,5408400.0,27.0
2020-11-20T00:00:00,160.0,160.0,160.0,160.0,0.0,22200.0,3552000.0,10.0
2020-11-23T00:00:00,160.0,178.0,160.0,169.0,9.0,25200.0,4141300.0,23.0
2020-11-24T00:00:00,169.0,177.0,164.0,164.0,-5.0,22500.0,3783800.0,16.0
2020-11-25T00:00:00,164.0,164.0,163.0,163.0,-1.0,1300.0,212500.0,4.0
2020-11-26T00:00:00,163.0,163.0,153.0,160.0,-3.0,14600.0,2335900.0,6.0
2020-11-27T00:00:00,160.0,160.0,154.0,155.0,-5.0,2300.0,356700.0,12.0
2020-11-30T00:00:00,155.0,155.0,148.0,148.0,-7.0,15600.0,2377400.0,12.0
2020-12-01T00:00:00,148.0,148.0,139.0,148.0,0.0,16900.0,2486900.0,6.0
2020-12-02T00:00:00,148.0,148.0,145.0,148.0,0.0,10800.0,1594200.0,8.0
2020-12-03T00:00:00,148.0,148.0,138.0,138.0,-10.0,51800.0,7190000.0,29.0
2020-12-04T00:00:00,138.0,138.0,131.0,138.0,0.0,633500.0,86668800.0,44.0
2020-12-07T00:00:00,138.0,145.0,130.0,145.0,7.0,9300.0,1288400.0,58.0
2020-12-08T00:00:00,145.0,145.0,140.0,140.0,-5.0,11500.0,1640000.0,8.0
2020-12-10T00:00:00,140.0,162.0,133.0,162.0,22.0,1400.0,190300.0,5.0
2020-12-11T00:00:00,162.0,170.0,151.0,152.0,-10.0,30400.0,4847600.0,23.0
2020-12-14T00:00:00,152.0,152.0,143.0,143.0,-9.0,2200.0,333500.0,3.0
2020-12-15T00:00:00,143.0,144.0,143.0,144.0,1.0,1500.0,215900.0,2.0
2020-12-16T00:00:00,144.0,144.0,144.0,144.0,0.0,5900.0,849600.0,4.0
2020-12-17T00:00:00,144.0,144.0,144.0,144.0,0.0,300.0,43200.0,2.0
2020-12-18T00:00:00,144.0,144.0,144.0,144.0,0.0,800.0,115200.0,2.0
2020-12-21T00:00:00,144.0,184.0,136.0,153.0,9.0,58800.0,8907100.0,24.0
2020-12-22T00:00:00,153.0,153.0,150.0,150.0,-3.0,600.0,90300.0,3.0
2020-12-23T00:00:00,150.0,150.0,150.0,150.0,0.0,800.0,120000.0,2.0
2020-12-28T00:00:00,150.0,150.0,140.0,148.0,-2.0,3400.0,508600.0,5.0
2020-12-29T00:00:00,148.0,156.0,148.0,148.0,0.0,700.0,108400.0,3.0
2020-12-30T00:00:00,148.0,148.0,148.0,148.0,0.0,100.0,14800.0,1.0
2021-01-04T00:00:00,148.0,148.0,138.0,139.0,-9.0,17800.0,2461400.0,12.0
2021-01-05T00:00:00,139.0,149.0,139.0,139.0,0.0,8900.0,1288100.0,8.0
2021-01-06T00:00:00,139.0,139.0,139.0,139.0,0.0,1900.0,264100.0,3.0
2021-01-07T00:00:00,139.0,139.0,131.0,131.0,-8.0,8600.0,1189000.0,6.0
2021-01-08T00:00:00,131.0,140.0,131.0,132.0,1.0,300.0,40300.0,3.0
2021-01-11T00:00:00,132.0,133.0,132.0,133.0,1.0,50200.0,6676500.0,10.0
2021-01-12T00:00:00,133.0,177.0,125.0,174.0,41.0,126200.0,18049800.0,62.0
2021-01-13T00:00:00,174.0,234.0,175.0,234.0,60.0,196100.0,44232000.0,89.0
